ENSACAP00000021934	ENSACAG00000029419	Anolis_carolinensis	ENSACAT00000029352
ENSPVIP00000019568	ENSPVIG00000014917	Pogona_vitticeps	ENSPVIT00000024303
ENSSMRP00000015898	ENSSMRG00000012360	Salvator_merianae
ENSSPUP00000021789	ENSSPUG00000016720	Sphenodon_punctatus
ENSXETP00000017074	ENSXETG00000002817	Xenopus_tropicalis
ENSLACP00000020457	ENSLACG00000017980	Latimeria_chalumnae
ENSAMXP00005008699	ENSAMXG00005005031	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000017089	ENSAMXG00000016589	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000033516	ENSPNAG00000022173	Pygocentrus_nattereri
ENSEEEP00000052094	ENSEEEG00000024433	Electrophorus_electricus
ENSDARP00000014473	ENSDARG00000017811	Danio_rerio
ENSDCDP00000032358	ENSDCDG00000022274	Denticeps_clupeoides
ENSMAMP00000003507	ENSMAMG00000002396	Mastacembelus_armatus
ENSMALP00000018249	ENSMALG00000012711	Monopterus_albus
ENSATEP00000035071	ENSATEG00000024100	Anabas_testudineus
ENSBSLP00000026709	ENSBSLG00000013401	Betta_splendens
ENSLCAP00010049621	ENSLCAG00010023099	Lates_calcarifer
ENSCSEP00000023750	ENSCSEG00000015140	Cynoglossus_semilaevis
ENSSLDP00000018605	ENSSLDG00000014632	Seriola_lalandi_dorsalis
ENSSDUP00000003371	ENSSDUG00000002565	Seriola_dumerili
ENSLCRP00005017011	ENSLCRG00005007056	Larimichthys_crocea
ENSAOCP00000030683	ENSAOCG00000021813	Amphiprion_ocellaris
ENSAPEP00000032902	ENSAPEG00000023368	Amphiprion_percula
ENSAPOP00000030078	ENSAPOG00000016409	Acanthochromis_polyacanthus
ENSSPAP00000025815	ENSSPAG00000019482	Stegastes_partitus
ENSPRNP00000036165	ENSPRNG00000018084	Parambassis_ranga
ENSACLP00000034091	ENSACLG00000023074	Astatotilapia_calliptera
ENSMZEP00005035465	ENSMZEG00005026499	Maylandia_zebra
ENSHBUP00000024335	ENSHBUG00000005668	Haplochromis_burtoni
ENSPNYP00000004316	ENSPNYG00000003346	Pundamilia_nyererei
ENSONIP00000021030	ENSONIG00000016693	Oreochromis_niloticus
ENSNBRP00000007153	ENSNBRG00000005604	Neolamprologus_brichardi
ENSACIP00000017758	ENSACIG00000013852	Amphilophus_citrinellus
ENSGACP00000014407	ENSGACG00000010885	Gasterosteus_aculeatus
ENSCGOP00000034351	ENSCGOG00000015936	Cottoperca_gobio
ENSLBEP00000021464	ENSLBEG00000016489	Labrus_bergylta
ENSTRUP00000051005	ENSTRUG00000023312	Takifugu_rubripes
ENSTNIP00000015494	ENSTNIG00000012525	Tetraodon_nigroviridis
ENSMMOP00000022738	ENSMMOG00000017295	Mola_mola
ENSSMAP00000034038	ENSSMAG00000020815	Scophthalmus_maximus
ENSFHEP00000024791	ENSFHEG00000006607	Fundulus_heteroclitus
ENSCVAP00000025078	ENSCVAG00000009569	Cyprinodon_variegatus
ENSXMAP00000030142	ENSXMAG00000023943	Xiphophorus_maculatus
ENSXCOP00000019191	ENSXCOG00000014428	Xiphophorus_couchianus
ENSGAFP00000030739	ENSGAFG00000020712	Gambusia_affinis
ENSPFOP00000011447	ENSPFOG00000011450	Poecilia_formosa
ENSPLAP00000016116	ENSPLAG00000020213	Poecilia_latipinna
ENSPMEP00000034795	ENSPMEG00000024193	Poecilia_mexicana
ENSPREP00000033297	ENSPREG00000022563	Poecilia_reticulata
ENSKMAP00000007416	ENSKMAG00000005586	Kryptolebias_marmoratus
ENSORLP00000044823	ENSORLG00000024430	Oryzias_latipes_ASM223467v1
ENSORLP00015003800	ENSORLG00015004551	Oryzias_latipes_ASM223469v1
ENSORLP00020009593	ENSORLG00020010501	Oryzias_latipes_ASM223471v1
ENSOMEP00000019425	ENSOMEG00000021256	Oryzias_melastigma
ENSGWIP00000037797	ENSGWIG00000019416	Gouania_willdenowi
ENSHCOP00000021912	ENSHCOG00000009139	Hippocampus_comes
ENSGMOP00000007982	ENSGMOG00000007466	Gadus_morhua
ENSPMGP00000028940	ENSPMGG00000023295	Periophthalmus_magnuspinnatus
ENSHHUP00000047589	ENSHHUG00000028923	Hucho_hucho
ENSHHUP00000030227	ENSHHUG00000019246	Hucho_hucho
ENSELUP00000002169	ENSELUG00000003536	Esox_lucius
ENSSFOP00015034486	ENSSFOG00015021967	Scleropages_formosus
ENSPKIP00000035720	ENSPKIG00000014557	Paramormyrops_kingsleyae
ENSLOCP00000005692	ENSLOCG00000004747	Lepisosteus_oculatus
ENSECRP00000008091	ENSECRG00000005395	Erpetoichthys_calabaricus
ENSPMAP00000008351	ENSPMAG00000007586	Petromyzon_marinus
ENSSLDP00000004360	ENSSLDG00000003473	Seriola_lalandi_dorsalis
ENSCINP00000005729	ENSCING00000002807	Ciona_intestinalis
ENSCSAVP00000013491	ENSCSAVG00000007911	Ciona_savignyi
FBpp0303198	FBgn0035914	Drosophila_melanogaster
