ENSAPEP00000031886	ENSAPEG00000022650	Amphiprion_percula
ENSAPOP00000004553	ENSAPOG00000006168	Acanthochromis_polyacanthus
ENSSPAP00000009173	ENSSPAG00000006999	Stegastes_partitus
ENSPRNP00000020918	ENSPRNG00000010868	Parambassis_ranga
ENSPMEP00000031381	ENSPMEG00000018473	Poecilia_mexicana
ENSPLAP00000001850	ENSPLAG00000002991	Poecilia_latipinna
ENSPREP00000033857	ENSPREG00000022935	Poecilia_reticulata
ENSXMAP00000029336	ENSXMAG00000028696	Xiphophorus_maculatus
ENSXCOP00000023430	ENSXCOG00000017495	Xiphophorus_couchianus
ENSFHEP00000017600	ENSFHEG00000019345	Fundulus_heteroclitus
ENSKMAP00000021427	ENSKMAG00000015920	Kryptolebias_marmoratus
ENSMALP00000032907	ENSMALG00000022633	Monopterus_albus
ENSBSLP00000008799	ENSBSLG00000004373	Betta_splendens
ENSATEP00000006074	ENSATEG00000004287	Anabas_testudineus
ENSMAMP00000020168	ENSMAMG00000013580	Mastacembelus_armatus
ENSSDUP00000026472	ENSSDUG00000019207	Seriola_dumerili
ENSSLDP00000006800	ENSSLDG00000005412	Seriola_lalandi_dorsalis
ENSSMAP00000005034	ENSSMAG00000003102	Scophthalmus_maximus
ENSLBEP00000015088	ENSLBEG00000011771	Labrus_bergylta
ENSTNIP00000002287	ENSTNIG00000000825	Tetraodon_nigroviridis
ENSSFOP00015008867	ENSSFOG00015005787	Scleropages_formosus
ENSLOCP00000007002	ENSLOCG00000005797	Lepisosteus_oculatus
ENSECRP00000019591	ENSECRG00000013099	Erpetoichthys_calabaricus
ENSDCDP00000003636	ENSDCDG00000001858	Denticeps_clupeoides	ENSDCDT00000004032
ENSIPUP00000002052	ENSIPUG00000001475	Ictalurus_punctatus	ENSIPUT00000002156
ENSELUP00000010983	ENSELUG00000011414	Esox_lucius	ENSELUT00000001229
ENSAPLP00000003203	ENSAPLG00000003633	Anas_platyrhynchos_platyrhynchos
ENSCMIP00000016365	ENSCMIG00000007888	Callorhinchus_milii
ENSSMRP00000011208	ENSSMRG00000008818	Salvator_merianae
ENSNSUP00000002195	ENSNSUG00000001857	Notechis_scutatus
ENSSPUP00000021907	ENSSPUG00000016810	Sphenodon_punctatus
ENSAOWP00000017504	ENSAOWG00000011964	Apteryx_owenii
ENSAHAP00000022809	ENSAHAG00000015973	Apteryx_haastii
ENSARWP00000001195	ENSARWG00000000974	Apteryx_rowi
ENSDNVP00000022982	ENSDNVG00000015985	Dromaius_novaehollandiae
ENSNPEP00000005783	ENSNPEG00000004374	Nothoprocta_perdicaria
ENSMGAP00000006448	ENSMGAG00000006443	Meleagris_gallopavo
ENSGALP00000061991	ENSGALG00000004771	Gallus_gallus
ENSCJPP00005007409	ENSCJPG00005006836	Coturnix_japonica
ENSNMEP00000020315	ENSNMEG00000017446	Numida_meleagris
ENSABRP00000024973	ENSABRG00000020957	Anser_brachyrhynchus
ENSAPLP00000002435	ENSAPLG00000002995	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000006412	ENSCPGG00000004617	Calidris_pygmaea
ENSCPUP00000029758	ENSCPUG00000019929	Calidris_pugnax
ENSMUNP00000021551	ENSMUNG00000016261	Melopsittacus_undulatus
ENSLCOP00000011356	ENSLCOG00000008236	Lepidothrix_coronata
ENSMVIP00005003337	ENSMVIG00005002612	Manacus_vitellinus
ENSLSDP00000021220	ENSLSDG00000015017	Lonchura_striata_domestica
ENSTGUP00000017515	ENSTGUG00000017237	Taeniopygia_guttata
ENSPMJP00000003162	ENSPMJG00000002787	Parus_major
ENSCCEP00000016683	ENSCCEG00000015572	Cyanistes_caeruleus
ENSFALP00000010848	ENSFALG00000010401	Ficedula_albicollis
ENSZALP00000013295	ENSZALG00000011070	Zonotrichia_albicollis
ENSJHYP00000020772	ENSJHYG00000015708	Junco_hyemalis
ENSSCAP00000022890	ENSSCAG00000016420	Serinus_canaria
ENSCPRP00005021172	ENSCPRG00005014742	Crocodylus_porosus
ENSGAGP00000024399	ENSGAGG00000017828	Gopherus_agassizii
ENSCABP00000019942	ENSCABG00000014711	Chelonoidis_abingdonii
ENSCPBP00000013892	ENSCPBG00000010357	Chrysemys_picta_bellii
ENSPSIP00000002078	ENSPSIG00000002084	Pelodiscus_sinensis
ENSPVAP00000008139	ENSPVAG00000008620	Pteropus_vampyrus
ENSMLUP00000002872	ENSMLUG00000003164	Myotis_lucifugus
ENSEEUP00000008314	ENSEEUG00000009137	Erinaceus_europaeus
ENSECAP00000017316	ENSECAG00000019868	Equus_caballus
ENSEASP00005010197	ENSEASG00005007247	Equus_asinus_asinus
ENSUMAP00000018374	ENSUMAG00000013490	Ursus_maritimus
ENSUAMP00000026269	ENSUAMG00000020368	Ursus_americanus
ENSAMEP00000015570	ENSAMEG00000014789	Ailuropoda_melanoleuca
ENSNVIP00000029320	ENSNVIG00000022599	Neovison_vison
ENSMPUP00000015843	ENSMPUG00000015948	Mustela_putorius_furo
ENSCAFP00000039386	ENSCAFG00000032344	Canis_lupus_familiaris
ENSCAFP00020024957	ENSCAFG00020019603	Canis_lupus_dingo
ENSVVUP00000036087	ENSVVUG00000025926	Vulpes_vulpes
ENSPTIP00000005190	ENSPTIG00000007497	Panthera_tigris_altaica
ENSPPRP00000023936	ENSPPRG00000014179	Panthera_pardus
ENSFCAP00000000503	ENSFCAG00000000543	Felis_catus
ENSVPAP00000002703	ENSVPAG00000002925	Vicugna_pacos
ENSSSCP00000063693	ENSSSCG00000033512	Sus_scrofa_strain_reference
ENSCHIP00000017676	ENSCHIG00000017414	Capra_hircus
ENSOARP00000008560	ENSOARG00000007977	Ovis_aries
ENSBIXP00000022803	ENSBIXG00000025596	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005000052	ENSBIXG00005030741	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000014871	ENSBTAG00000011196	Bos_taurus
ENSBMUP00000019969	ENSBMUG00000015055	Bos_mutus
ENSBBBP00000006719	ENSBBBG00000000810	Bison_bison_bison
ENSTTRP00000002481	ENSTTRG00000002652	Tursiops_truncatus
ENSOCUP00000044926	ENSOCUG00000015143	Oryctolagus_cuniculus
ENSOPRP00000002943	ENSOPRG00000003222	Ochotona_princeps
ENSTBEP00000002627	ENSTBEG00000003062	Tupaia_belangeri
ENSMFAP00000038597	ENSMFAG00000038651	Macaca_fascicularis
ENSMNEP00000029509	ENSMNEG00000038237	Macaca_nemestrina
ENSMMUP00000076042	ENSMMUG00000058486	Macaca_mulatta
ENSTGEP00000003876	ENSTGEG00000003265	Theropithecus_gelada
ENSPANP00000004662	ENSPANG00000017892	Papio_anubis
ENSMLEP00000007495	ENSMLEG00000027801	Mandrillus_leucophaeus
ENSCATP00000018214	ENSCATG00000032963	Cercocebus_atys
ENSCSAP00000017092	ENSCSAG00000000915	Chlorocebus_sabaeus
ENSRBIP00000004451	ENSRBIG00000020453	Rhinopithecus_bieti
ENSRROP00000030191	ENSRROG00000038853	Rhinopithecus_roxellana
ENSPTEP00000009686	ENSPTEG00000010995	Piliocolobus_tephrosceles
ENSCANP00000033155	ENSCANG00000040243	Colobus_angolensis_palliatus
ENSGGOP00000009803	ENSGGOG00000041359	Gorilla_gorilla
ENSP00000313967	ENSG00000173369	Homo_sapiens
ENSPTRP00000078127	ENSPTRG00000043586	Pan_troglodytes
ENSPPAP00000032685	ENSPPAG00000039218	Pan_paniscus
ENSPPYP00000002024	ENSPPYG00000001748	Pongo_abelii
ENSNLEP00000010134	ENSNLEG00000008329	Nomascus_leucogenys
ENSCCAP00000007356	ENSCCAG00000021430	Cebus_capucinus_imitator
ENSSBOP00000009903	ENSSBOG00000021816	Saimiri_boliviensis_boliviensis
ENSCJAP00000069768	ENSCJAG00000067396	Callithrix_jacchus
ENSANAP00000028360	ENSANAG00000032021	Aotus_nancymaae
ENSPSMP00000005837	ENSPSMG00000004435	Prolemur_simus
ENSPCOP00000031858	ENSPCOG00000028706	Propithecus_coquereli
ENSMICP00000046921	ENSMICG00000047215	Microcebus_murinus
ENSOGAP00000010699	ENSOGAG00000011960	Otolemur_garnettii
ENSTSYP00000028483	ENSTSYG00000032136	Carlito_syrichta
ENSMSIP00000005722	ENSMSIG00000005145	Mus_spicilegus
MGP_SPRETEiJ_P0067836	MGP_SPRETEiJ_G0027648	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000040246	ENSMUSG00000036905	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0065287	MGP_CAROLIEiJ_G0026668	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0080372	MGP_PahariEiJ_G0029001	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000017060	ENSRNOG00000012749	Rattus_norvegicus
ENSMUGP00000024410	ENSMUGG00000020399	Meriones_unguiculatus
ENSCGRP00001004563	ENSCGRG00001005823	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015028084	ENSCGRG00015021289	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000004517	ENSCGRG00000003324	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000017599	ENSMAUG00000016429	Mesocricetus_auratus
ENSPEMP00000013085	ENSPEMG00000013227	Peromyscus_maniculatus_bairdii
ENSMOCP00000007382	ENSMOCG00000007179	Microtus_ochrogaster
ENSNGAP00000013746	ENSNGAG00000015245	Nannospalax_galili
ENSJJAP00000015834	ENSJJAG00000017879	Jaculus_jaculus
ENSSDAP00000011270	ENSSDAG00000010189	Spermophilus_dauricus
ENSMMMP00000021607	ENSMMMG00000019024	Marmota_marmota_marmota
ENSUPAP00010026335	ENSUPAG00010020826	Urocitellus_parryii
ENSSTOP00000016458	ENSSTOG00000023153	Ictidomys_tridecemlineatus
ENSDORP00000012926	ENSDORG00000013748	Dipodomys_ordii
ENSCCNP00000010576	ENSCCNG00000011037	Castor_canadensis
ENSHGLP00100010686	ENSHGLG00100007937	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023811	ENSHGLG00000016977	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000005135	ENSFDAG00000014218	Fukomys_damarensis
ENSCLAP00000016002	ENSCLAG00000011016	Chinchilla_lanigera
ENSODEP00000020528	ENSODEG00000015143	Octodon_degus
ENSCAPP00000017150	ENSCAPG00000016879	Cavia_aperea
