ENSARWP00000009543	ENSARWG00000006669	Apteryx_rowi	ENSARWT00000010878
ENSAOWP00000009489	ENSAOWG00000006521	Apteryx_owenii	ENSAOWT00000010756
ENSNPEP00000011608	ENSNPEG00000008725	Nothoprocta_perdicaria	ENSNPET00000011908
ENSCPUP00000022200	ENSCPUG00000015076	Calidris_pugnax
ENSCPGP00000003034	ENSCPGG00000002246	Calidris_pygmaea
ENSMUNP00000012059	ENSMUNG00000009504	Melopsittacus_undulatus
ENSLCOP00000001328	ENSLCOG00000001098	Lepidothrix_coronata
ENSMVIP00005026041	ENSMVIG00005018185	Manacus_vitellinus
ENSSCAP00000015499	ENSSCAG00000011363	Serinus_canaria
ENSJHYP00000009124	ENSJHYG00000007234	Junco_hyemalis
ENSPMJP00000003996	ENSPMJG00000003453	Parus_major
ENSABRP00000012712	ENSABRG00000011405	Anser_brachyrhynchus
ENSAPLP00000015974	ENSAPLG00000016091	Anas_platyrhynchos_platyrhynchos
ENSGALP00000048036	ENSGALG00000039576	Gallus_gallus
ENSCJPP00005016481	ENSCJPG00005013539	Coturnix_japonica
ENSMGAP00000003166	ENSMGAG00000003457	Meleagris_gallopavo
ENSNMEP00000004632	ENSNMEG00000004975	Numida_meleagris
ENSCPRP00005026996	ENSCPRG00005018695	Crocodylus_porosus
ENSCPBP00000018906	ENSCPBG00000013717	Chrysemys_picta_bellii
ENSCABP00000008935	ENSCABG00000006723	Chelonoidis_abingdonii
ENSSPUP00000024785	ENSSPUG00000018996	Sphenodon_punctatus
ENSPVIP00000019781	ENSPVIG00000015076	Pogona_vitticeps
ENSACAP00000013778	ENSACAG00000014047	Anolis_carolinensis
ENSPCIP00000031196	ENSPCIG00000023184	Phascolarctos_cinereus
ENSVURP00010010529	ENSVURG00010008142	Vombatus_ursinus
ENSMEUP00000005623	ENSMEUG00000006158	Notamacropus_eugenii
ENSMODP00000047571	ENSMODG00000046694	Monodelphis_domestica
ENSMSIP00000014018	ENSMSIG00000012070	Mus_spicilegus
ENSMUSP00000115860	ENSMUSG00000027331	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0055876	MGP_SPRETEiJ_G0025041	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0053777	MGP_CAROLIEiJ_G0024125	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0064757	MGP_PahariEiJ_G0025568	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000012454	ENSRNOG00000009334	Rattus_norvegicus
ENSMUGP00000010277	ENSMUGG00000009079	Meriones_unguiculatus
ENSCGRP00015001286	ENSCGRG00015001084	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001019497	ENSCGRG00001018916	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000003466	ENSCGRG00000002552	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000001703	ENSMAUG00000001255	Mesocricetus_auratus
ENSMOCP00000000912	ENSMOCG00000000706	Microtus_ochrogaster
ENSPEMP00000016136	ENSPEMG00000015457	Peromyscus_maniculatus_bairdii
ENSPEMP00000031577	ENSPEMG00000028128	Peromyscus_maniculatus_bairdii
