ENSMPUP00000013431	ENSMPUG00000013534	Mustela_putorius_furo
ENSNVIP00000016703	ENSNVIG00000013104	Neovison_vison
ENSAMEP00000003658	ENSAMEG00000003483	Ailuropoda_melanoleuca
ENSUMAP00000000231	ENSUMAG00000000343	Ursus_maritimus
ENSCAFP00000004063	ENSCAFG00000002755	Canis_lupus_familiaris
ENSCAFP00020003183	ENSCAFG00020002703	Canis_lupus_dingo
ENSPPRP00000027716	ENSPPRG00000019365	Panthera_pardus
ENSPTIP00000005299	ENSPTIG00000007567	Panthera_tigris_altaica
ENSFCAP00000023660	ENSFCAG00000029829	Felis_catus
ENSBMUP00000029246	ENSBMUG00000021893	Bos_mutus
ENSBIXP00005017054	ENSBIXG00005003472	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000022293	ENSBBBG00000004003	Bison_bison_bison
ENSCHIP00000027431	ENSCHIG00000023356	Capra_hircus
ENSOARP00000013744	ENSOARG00000012833	Ovis_aries
ENSTTRP00000008461	ENSTTRG00000008920	Tursiops_truncatus
ENSSSCP00000039714	ENSSSCG00000036722	Sus_scrofa_strain_reference
ENSPVAP00000010646	ENSPVAG00000011294	Pteropus_vampyrus
ENSMLUP00000018106	ENSMLUG00000027691	Myotis_lucifugus
ENSEEUP00000009474	ENSEEUG00000010411	Erinaceus_europaeus
ENSECAP00000013657	ENSECAG00000016105	Equus_caballus
ENSEASP00005032253	ENSEASG00005021994	Equus_asinus_asinus
ENSMSIP00000024270	ENSMSIG00000020518	Mus_spicilegus
MGP_SPRETEiJ_P0076614	MGP_SPRETEiJ_G0029366	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000122941	ENSMUSG00000029815	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0073746	MGP_CAROLIEiJ_G0028363	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0049837	MGP_PahariEiJ_G0022113	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000011971	ENSRNOG00000009035	Rattus_norvegicus
ENSMUGP00000022820	ENSMUGG00000019119	Meriones_unguiculatus
ENSPEMP00000033664	ENSPEMG00000030325	Peromyscus_maniculatus_bairdii
ENSPEMP00000023412	ENSPEMG00000020458	Peromyscus_maniculatus_bairdii
ENSMOCP00000010928	ENSMOCG00000011177	Microtus_ochrogaster
ENSCGRP00001005899	ENSCGRG00001007836	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015025610	ENSCGRG00015019444	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000007639	ENSCGRG00000005563	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000000276	ENSMAUG00000000260	Mesocricetus_auratus
ENSNGAP00000023845	ENSNGAG00000022280	Nannospalax_galili
ENSJJAP00000024786	ENSJJAG00000024157	Jaculus_jaculus
ENSUPAP00010019177	ENSUPAG00010015195	Urocitellus_parryii
ENSSTOP00000016594	ENSSTOG00000027376	Ictidomys_tridecemlineatus
ENSMMMP00000005879	ENSMMMG00000005281	Marmota_marmota_marmota
ENSSDAP00000011369	ENSSDAG00000010269	Spermophilus_dauricus
ENSCCNP00000021780	ENSCCNG00000021516	Castor_canadensis
ENSDORP00000013336	ENSDORG00000014184	Dipodomys_ordii
ENSCAPP00000004394	ENSCAPG00000006950	Cavia_aperea
ENSCPOP00000013581	ENSCPOG00000015067	Cavia_porcellus
ENSODEP00000011025	ENSODEG00000008210	Octodon_degus
ENSCLAP00000012270	ENSCLAG00000008469	Chinchilla_lanigera
ENSHGLP00100013057	ENSHGLG00100009667	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000020718	ENSHGLG00000014820	Heterocephalus_glaber_HetGla_female_1.0
ENSTBEP00000000611	ENSTBEG00000000719	Tupaia_belangeri
ENSPPAP00000012320	ENSPPAG00000029348	Pan_paniscus
ENSPTRP00000032445	ENSPTRG00000018985	Pan_troglodytes
ENSGGOP00000010028	ENSGGOG00000010277	Gorilla_gorilla
ENSP00000419370	ENSG00000156928	Homo_sapiens
ENSPPYP00000019874	ENSPPYG00000017731	Pongo_abelii
ENSNLEP00000030176	ENSNLEG00000033575	Nomascus_leucogenys
ENSMLEP00000035187	ENSMLEG00000041736	Mandrillus_leucophaeus
ENSCATP00000031896	ENSCATG00000039054	Cercocebus_atys
ENSPANP00000017228	ENSPANG00000016790	Papio_anubis
ENSTGEP00000027603	ENSTGEG00000022283	Theropithecus_gelada
ENSMFAP00000024238	ENSMFAG00000043713	Macaca_fascicularis
ENSMMUP00000067110	ENSMMUG00000061041	Macaca_mulatta
ENSMNEP00000024356	ENSMNEG00000035724	Macaca_nemestrina
ENSCSAP00000010111	ENSCSAG00000013969	Chlorocebus_sabaeus
ENSRROP00000043102	ENSRROG00000044633	Rhinopithecus_roxellana
ENSRBIP00000040149	ENSRBIG00000043513	Rhinopithecus_bieti
ENSCANP00000015767	ENSCANG00000031341	Colobus_angolensis_palliatus
ENSPTEP00000040264	ENSPTEG00000037116	Piliocolobus_tephrosceles
ENSCCAP00000037456	ENSCCAG00000036592	Cebus_capucinus_imitator
ENSSBOP00000004656	ENSSBOG00000018985	Saimiri_boliviensis_boliviensis
ENSCJAP00000053383	ENSCJAG00000042462	Callithrix_jacchus
ENSANAP00000041809	ENSANAG00000038181	Aotus_nancymaae
ENSTSYP00000011611	ENSTSYG00000012660	Carlito_syrichta
ENSMICP00000027297	ENSMICG00000033474	Microcebus_murinus
ENSPCOP00000022691	ENSPCOG00000023462	Propithecus_coquereli
ENSPSMP00000006036	ENSPSMG00000004591	Prolemur_simus
ENSOGAP00000015369	ENSOGAG00000017157	Otolemur_garnettii
ENSCHOP00000002064	ENSCHOG00000002338	Choloepus_hoffmanni
ENSDNOP00000016488	ENSDNOG00000025603	Dasypus_novemcinctus
ENSLAFP00000009957	ENSLAFG00000011921	Loxodonta_africana
ENSETEP00000012621	ENSETEG00000015566	Echinops_telfairi
ENSOPRP00000009566	ENSOPRG00000010485	Ochotona_princeps
ENSBIXP00000023774	ENSBIXG00000026156	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000066887	ENSBTAG00000019403	Bos_taurus
ENSOCUP00000007743	ENSOCUG00000008972	Oryctolagus_cuniculus
ENSPCIP00000009744	ENSPCIG00000007943	Phascolarctos_cinereus
ENSMEUP00000001577	ENSMEUG00000001727	Notamacropus_eugenii
ENSVURP00010026273	ENSVURG00010020118	Vombatus_ursinus
ENSVURP00010002164	ENSVURG00010001806	Vombatus_ursinus
ENSMODP00000001223	ENSMODG00000001030	Monodelphis_domestica
ENSSHAP00000008752	ENSSHAG00000007578	Sarcophilus_harrisii
ENSOANP00000022394	ENSOANG00000014204	Ornithorhynchus_anatinus
ENSACAP00000013358	ENSACAG00000013606	Anolis_carolinensis	ENSACAT00000013629
ENSPVIP00000021456	ENSPVIG00000016300	Pogona_vitticeps	ENSPVIT00000026634
ENSNSUP00000020879	ENSNSUG00000015188	Notechis_scutatus
ENSSMRP00000004149	ENSSMRG00000003463	Salvator_merianae
ENSSPUP00000007987	ENSSPUG00000006180	Sphenodon_punctatus
ENSAOWP00000008047	ENSAOWG00000005510	Apteryx_owenii
ENSAHAP00000011684	ENSAHAG00000008462	Apteryx_haastii
ENSARWP00000024854	ENSARWG00000016934	Apteryx_rowi
ENSNPEP00000003453	ENSNPEG00000002629	Nothoprocta_perdicaria
ENSABRP00000011793	ENSABRG00000010548	Anser_brachyrhynchus
ENSAPLP00000013072	ENSAPLG00000013280	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005014462	ENSCJPG00005012072	Coturnix_japonica
ENSGALP00000069729	ENSGALG00000010954	Gallus_gallus
ENSMGAP00000010897	ENSMGAG00000010496	Meleagris_gallopavo
ENSNMEP00000007370	ENSNMEG00000007394	Numida_meleagris
ENSCPGP00000005808	ENSCPGG00000004150	Calidris_pygmaea
ENSCPUP00000015627	ENSCPUG00000010872	Calidris_pugnax
ENSMUNP00000019046	ENSMUNG00000014583	Melopsittacus_undulatus
ENSLSDP00000002554	ENSLSDG00000002030	Lonchura_striata_domestica
ENSTGUP00000002849	ENSTGUG00000002770	Taeniopygia_guttata
ENSSCAP00000020573	ENSSCAG00000014831	Serinus_canaria
ENSCCEP00000000573	ENSCCEG00000000730	Cyanistes_caeruleus
ENSPMJP00000000869	ENSPMJG00000000709	Parus_major
ENSJHYP00000006165	ENSJHYG00000004978	Junco_hyemalis
ENSZALP00000013031	ENSZALG00000010881	Zonotrichia_albicollis
ENSFALP00000010034	ENSFALG00000009627	Ficedula_albicollis
ENSLCOP00000017440	ENSLCOG00000012343	Lepidothrix_coronata
ENSMVIP00005025253	ENSMVIG00005017679	Manacus_vitellinus
ENSCPRP00005022948	ENSCPRG00005015969	Crocodylus_porosus
ENSPSIP00000015816	ENSPSIG00000014119	Pelodiscus_sinensis
ENSCPBP00000031998	ENSCPBG00000022463	Chrysemys_picta_bellii
ENSXETP00000018891	ENSXETG00000001541	Xenopus_tropicalis
ENSLACP00000014599	ENSLACG00000012849	Latimeria_chalumnae
ENSDCDP00000003339	ENSDCDG00000001715	Denticeps_clupeoides
ENSCHAP00000030222	ENSCHAG00000014521	Clupea_harengus
ENSEEEP00000008902	ENSEEEG00000004597	Electrophorus_electricus
ENSEEEP00000005395	ENSEEEG00000002823	Electrophorus_electricus
ENSIPUP00000000024	ENSIPUG00000000046	Ictalurus_punctatus
ENSAMXP00000036468	ENSAMXG00000042471	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005051066	ENSAMXG00005023112	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000016011	ENSPNAG00000022117	Pygocentrus_nattereri
ENSDARP00000105998	ENSDARG00000091079	Danio_rerio
ENSLCAP00010025681	ENSLCAG00010012008	Lates_calcarifer
ENSSMAP00000032863	ENSSMAG00000020144	Scophthalmus_maximus
ENSSDUP00000008010	ENSSDUG00000005872	Seriola_dumerili
ENSSLDP00000019512	ENSSLDG00000015308	Seriola_lalandi_dorsalis
ENSMALP00000016411	ENSMALG00000011502	Monopterus_albus
ENSATEP00000007861	ENSATEG00000005514	Anabas_testudineus
ENSBSLP00000041201	ENSBSLG00000019936	Betta_splendens
ENSCGOP00000055100	ENSCGOG00000024055	Cottoperca_gobio
ENSMAMP00000019157	ENSMAMG00000012908	Mastacembelus_armatus
ENSMMOP00000002080	ENSMMOG00000001717	Mola_mola
ENSTRUP00000049728	ENSTRUG00000021896	Takifugu_rubripes
ENSLCRP00005022599	ENSLCRG00005009117	Larimichthys_crocea
ENSLBEP00000000748	ENSLBEG00000000603	Labrus_bergylta
ENSSLDP00000005565	ENSSLDG00000004416	Seriola_lalandi_dorsalis
