ENSMMOP00000027343	ENSMMOG00000020682	Mola_mola
ENSCSEP00000004275	ENSCSEG00000002779	Cynoglossus_semilaevis
ENSSDUP00000017770	ENSSDUG00000012984	Seriola_dumerili
ENSSLDP00000024125	ENSSLDG00000018813	Seriola_lalandi_dorsalis
ENSSMAP00000003238	ENSSMAG00000002031	Scophthalmus_maximus
ENSMALP00000022420	ENSMALG00000015647	Monopterus_albus
ENSMAMP00000030010	ENSMAMG00000020238	Mastacembelus_armatus
ENSKMAP00000004450	ENSKMAG00000003402	Kryptolebias_marmoratus
ENSCVAP00000027697	ENSCVAG00000014233	Cyprinodon_variegatus
ENSORLP00000033803	ENSORLG00000023791	Oryzias_latipes_ASM223467v1
ENSORLP00020034144	ENSORLG00020020506	Oryzias_latipes_ASM223471v1
ENSORLP00015018242	ENSORLG00015019278	Oryzias_latipes_ASM223469v1
ENSOMEP00000022916	ENSOMEG00000002735	Oryzias_melastigma
ENSPNYP00000011544	ENSPNYG00000008761	Pundamilia_nyererei
ENSLBEP00000013764	ENSLBEG00000010646	Labrus_bergylta
ENSLBEP00000037006	ENSLBEG00000027641	Labrus_bergylta
ENSHCOP00000017846	ENSHCOG00000001957	Hippocampus_comes
ENSCVAP00000011912	ENSCVAG00000014255	Cyprinodon_variegatus
ENSMZEP00005001613	ENSMZEG00005001313	Maylandia_zebra
ENSACLP00000024736	ENSACLG00000016841	Astatotilapia_calliptera
ENSHBUP00000007173	ENSHBUG00000008652	Haplochromis_burtoni
ENSNBRP00000014228	ENSNBRG00000010987	Neolamprologus_brichardi
ENSONIP00000022437	ENSONIG00000017799	Oreochromis_niloticus
ENSXCOP00000018310	ENSXCOG00000013786	Xiphophorus_couchianus
ENSSPAP00000004894	ENSSPAG00000003796	Stegastes_partitus
ENSAPOP00000001699	ENSAPOG00000003028	Acanthochromis_polyacanthus
ENSSDUP00000023028	ENSSDUG00000016734	Seriola_dumerili
ENSSLDP00000005640	ENSSLDG00000004485	Seriola_lalandi_dorsalis
ENSLCAP00010058079	ENSLCAG00010027073	Lates_calcarifer
ENSMAMP00000023275	ENSMAMG00000015670	Mastacembelus_armatus
ENSMALP00000016944	ENSMALG00000011860	Monopterus_albus
ENSATEP00000033440	ENSATEG00000023044	Anabas_testudineus
ENSFHEP00000022907	ENSFHEG00000003583	Fundulus_heteroclitus
ENSPREP00000010455	ENSPREG00000007135	Poecilia_reticulata
ENSORLP00000034070	ENSORLG00000027418	Oryzias_latipes_ASM223467v1
ENSORLP00020026332	ENSORLG00020008744	Oryzias_latipes_ASM223471v1
ENSORLP00015026366	ENSORLG00015007973	Oryzias_latipes_ASM223469v1
ENSOMEP00000002496	ENSOMEG00000003451	Oryzias_melastigma
ENSSMAP00000008216	ENSSMAG00000005081	Scophthalmus_maximus
ENSTRUP00000055922	ENSTRUG00000025881	Takifugu_rubripes
ENSCSEP00000007322	ENSCSEG00000004721	Cynoglossus_semilaevis
ENSXMAP00000034583	ENSXMAG00000024762	Xiphophorus_maculatus
ENSGAFP00000024205	ENSGAFG00000016332	Gambusia_affinis
ENSATEP00000034310	ENSATEG00000023577	Anabas_testudineus
ENSBSLP00000036436	ENSBSLG00000017792	Betta_splendens
ENSMAMP00000035196	ENSMAMG00000023625	Mastacembelus_armatus
ENSMALP00000009448	ENSMALG00000006709	Monopterus_albus
ENSELUP00000022648	ENSELUG00000001473	Esox_lucius	ENSELUT00000042358
ENSUAMP00000001850	ENSUAMG00000001737	Ursus_americanus
ENSUMAP00000009686	ENSUMAG00000007322	Ursus_maritimus
ENSAMEP00000014233	ENSAMEG00000013519	Ailuropoda_melanoleuca
ENSMPUP00000002264	ENSMPUG00000002288	Mustela_putorius_furo
ENSNVIP00000019508	ENSNVIG00000015299	Neovison_vison
ENSCAFP00000043453	ENSCAFG00000032305	Canis_lupus_familiaris
ENSCAFP00020028396	ENSCAFG00020022250	Canis_lupus_dingo
ENSVVUP00000027743	ENSVVUG00000020346	Vulpes_vulpes
ENSPPRP00000025044	ENSPPRG00000015244	Panthera_pardus
ENSPTIP00000025876	ENSPTIG00000021495	Panthera_tigris_altaica
ENSFCAP00000053688	ENSFCAG00000048160	Felis_catus
ENSFCAP00000029080	ENSFCAG00000038335	Felis_catus
ENSSSCP00000037081	ENSSSCG00000037710	Sus_scrofa_strain_reference
ENSPVAP00000005278	ENSPVAG00000005577	Pteropus_vampyrus
ENSBIXP00005045711	ENSBIXG00005001604	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000013461	ENSBIXG00000018392	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000006607	ENSBMUG00000005224	Bos_mutus
ENSBTAP00000016000	ENSBTAG00000012064	Bos_taurus
ENSBBBP00000000692	ENSBBBG00000009834	Bison_bison_bison
ENSCHIP00000005537	ENSCHIG00000009646	Capra_hircus
ENSOARP00000014706	ENSOARG00000013717	Ovis_aries
ENSTTRP00000001064	ENSTTRG00000001130	Tursiops_truncatus
ENSVPAP00000007671	ENSVPAG00000008250	Vicugna_pacos
ENSEASP00005011831	ENSEASG00005008286	Equus_asinus_asinus
ENSECAP00000020800	ENSECAG00000023381	Equus_caballus
ENSEEUP00000006657	ENSEEUG00000007315	Erinaceus_europaeus
ENSSARP00000008718	ENSSARG00000009638	Sorex_araneus
ENSPPAP00000006195	ENSPPAG00000024592	Pan_paniscus
ENSPTRP00000019461	ENSPTRG00000011331	Pan_troglodytes
ENSP00000472808	ENSG00000142528	Homo_sapiens
ENSGGOP00000016462	ENSGGOG00000016872	Gorilla_gorilla
ENSPPYP00000011502	ENSPPYG00000010275	Pongo_abelii
ENSNLEP00000006682	ENSNLEG00000005521	Nomascus_leucogenys
ENSTGEP00000000378	ENSTGEG00000000408	Theropithecus_gelada
ENSPANP00000024118	ENSPANG00000012211	Papio_anubis
ENSCATP00000036753	ENSCATG00000041165	Cercocebus_atys
ENSMLEP00000037688	ENSMLEG00000042932	Mandrillus_leucophaeus
ENSMFAP00000032644	ENSMFAG00000002877	Macaca_fascicularis
ENSMMUP00000014201	ENSMMUG00000010838	Macaca_mulatta
ENSMNEP00000014578	ENSMNEG00000031438	Macaca_nemestrina
ENSCSAP00000015684	ENSCSAG00000002354	Chlorocebus_sabaeus
ENSPTEP00000019777	ENSPTEG00000021073	Piliocolobus_tephrosceles
ENSCANP00000017277	ENSCANG00000032087	Colobus_angolensis_palliatus
ENSRBIP00000005169	ENSRBIG00000023397	Rhinopithecus_bieti
ENSRROP00000036061	ENSRROG00000041488	Rhinopithecus_roxellana
ENSCCAP00000035372	ENSCCAG00000035609	Cebus_capucinus_imitator
ENSSBOP00000025418	ENSSBOG00000029181	Saimiri_boliviensis_boliviensis
ENSCJAP00000077294	ENSCJAG00000042670	Callithrix_jacchus
ENSANAP00000033963	ENSANAG00000034634	Aotus_nancymaae
ENSTSYP00000033501	ENSTSYG00000001897	Carlito_syrichta
ENSMICP00000025386	ENSMICG00000038653	Microcebus_murinus
ENSPCOP00000010565	ENSPCOG00000016747	Propithecus_coquereli
ENSPSMP00000024104	ENSPSMG00000017000	Prolemur_simus
ENSOGAP00000016493	ENSOGAG00000025068	Otolemur_garnettii
ENSTBEP00000013440	ENSTBEG00000015496	Tupaia_belangeri
ENSMSIP00000010141	ENSMSIG00000008895	Mus_spicilegus
ENSMUSP00000051069	ENSMUSG00000048012	Mus_musculus_strain_reference_(CL57BL6)
