ENSMALP00000009965	ENSMALG00000007082	Monopterus_albus
ENSMAMP00000015148	ENSMAMG00000010285	Mastacembelus_armatus
ENSATEP00000016541	ENSATEG00000011509	Anabas_testudineus
ENSCGOP00000003066	ENSCGOG00000001612	Cottoperca_gobio
ENSGACP00000012107	ENSGACG00000009173	Gasterosteus_aculeatus
ENSTRUP00000054120	ENSTRUG00000024454	Takifugu_rubripes
ENSTNIP00000000407	ENSTNIG00000000363	Tetraodon_nigroviridis
ENSMMOP00000015903	ENSMMOG00000012139	Mola_mola
ENSLCRP00005031283	ENSLCRG00005012402	Larimichthys_crocea
ENSLBEP00000025399	ENSLBEG00000019406	Labrus_bergylta
ENSSDUP00000029415	ENSSDUG00000021195	Seriola_dumerili
ENSSLDP00000023219	ENSSLDG00000018133	Seriola_lalandi_dorsalis
ENSLCAP00010018511	ENSLCAG00010008764	Lates_calcarifer
ENSSMAP00000025201	ENSSMAG00000015426	Scophthalmus_maximus
ENSCSEP00000025951	ENSCSEG00000016583	Cynoglossus_semilaevis
ENSXMAP00000025443	ENSXMAG00000021193	Xiphophorus_maculatus
ENSXCOP00000016876	ENSXCOG00000012727	Xiphophorus_couchianus
ENSGAFP00000017062	ENSGAFG00000011526	Gambusia_affinis
ENSPFOP00000005618	ENSPFOG00000005741	Poecilia_formosa
ENSPLAP00000009426	ENSPLAG00000012184	Poecilia_latipinna
ENSPMEP00000007546	ENSPMEG00000009194	Poecilia_mexicana
ENSPREP00000033150	ENSPREG00000022465	Poecilia_reticulata
ENSFHEP00000005301	ENSFHEG00000006255	Fundulus_heteroclitus
ENSCVAP00000015172	ENSCVAG00000000465	Cyprinodon_variegatus
ENSKMAP00000012740	ENSKMAG00000009559	Kryptolebias_marmoratus
ENSORLP00020021042	ENSORLG00020022087	Oryzias_latipes_ASM223471v1
ENSORLP00000009385	ENSORLG00000007486	Oryzias_latipes_ASM223467v1
ENSORLP00015023566	ENSORLG00015003603	Oryzias_latipes_ASM223469v1
ENSOMEP00000013565	ENSOMEG00000015031	Oryzias_melastigma
ENSGWIP00000010409	ENSGWIG00000006115	Gouania_willdenowi
ENSMZEP00005021171	ENSMZEG00005015894	Maylandia_zebra
ENSACLP00000027954	ENSACLG00000019003	Astatotilapia_calliptera
ENSPNYP00000023653	ENSPNYG00000017878	Pundamilia_nyererei
ENSHBUP00000015917	ENSHBUG00000017856	Haplochromis_burtoni
ENSNBRP00000009419	ENSNBRG00000007360	Neolamprologus_brichardi
ENSONIP00000007749	ENSONIG00000006152	Oreochromis_niloticus
ENSACIP00000002144	ENSACIG00000001742	Amphilophus_citrinellus
ENSAPEP00000017567	ENSAPEG00000012570	Amphiprion_percula
ENSAOCP00000021389	ENSAOCG00000006127	Amphiprion_ocellaris
ENSAPOP00000023418	ENSAPOG00000005223	Acanthochromis_polyacanthus
ENSSPAP00000022933	ENSSPAG00000017325	Stegastes_partitus
ENSPRNP00000038300	ENSPRNG00000018990	Parambassis_ranga
ENSBSLP00000031244	ENSBSLG00000015434	Betta_splendens
ENSHCOP00000027791	ENSHCOG00000019889	Hippocampus_comes
ENSHCOP00000020225	ENSHCOG00000006111	Hippocampus_comes
ENSPMGP00000011693	ENSPMGG00000009672	Periophthalmus_magnuspinnatus
ENSGMOP00000009066	ENSGMOG00000008473	Gadus_morhua
ENSHHUP00000022794	ENSHHUG00000014284	Hucho_hucho	ENSHHUT00000023657
ENSHHUP00000074579	ENSHHUG00000043757	Hucho_hucho
ENSELUP00000036375	ENSELUG00000015663	Esox_lucius
ENSAMXP00000018870	ENSAMXG00000018321	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005013355	ENSAMXG00005007165	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000001971	ENSPNAG00000008470	Pygocentrus_nattereri
ENSIPUP00000017800	ENSIPUG00000012088	Ictalurus_punctatus
ENSEEEP00000033953	ENSEEEG00000016176	Electrophorus_electricus
ENSDARP00000107442	ENSDARG00000069375	Danio_rerio
ENSCHAP00000026739	ENSCHAG00000013019	Clupea_harengus
