ENSPMAP00000010285	ENSPMAG00000009351	Petromyzon_marinus	ENSPMAT00000010331
ENSEBUP00000019786	ENSEBUG00000012288	Eptatretus_burgeri	ENSEBUT00000020362
ENSLACP00000012302	ENSLACG00000010831	Latimeria_chalumnae
ENSXETP00000043947	ENSXETG00000010185	Xenopus_tropicalis
ENSAMXP00005023317	ENSAMXG00005003712	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000037174	ENSAMXG00000004462	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000010861	ENSPNAG00000016501	Pygocentrus_nattereri
ENSIPUP00000032080	ENSIPUG00000021568	Ictalurus_punctatus
ENSEEEP00000048255	ENSEEEG00000022555	Electrophorus_electricus
ENSDARP00000047895	ENSDARG00000044528	Danio_rerio
ENSDCDP00000004958	ENSDCDG00000002457	Denticeps_clupeoides
ENSCHAP00000023378	ENSCHAG00000011257	Clupea_harengus
ENSTNIP00000004831	ENSTNIG00000013281	Tetraodon_nigroviridis
ENSTRUP00000018595	ENSTRUG00000007507	Takifugu_rubripes
ENSMMOP00000005865	ENSMMOG00000004586	Mola_mola
ENSORLP00000003654	ENSORLG00000002922	Oryzias_latipes_ASM223467v1
ENSORLP00020034760	ENSORLG00020000642	Oryzias_latipes_ASM223471v1
ENSORLP00015034148	ENSORLG00015020494	Oryzias_latipes_ASM223469v1
ENSOMEP00000022554	ENSOMEG00000000034	Oryzias_melastigma
ENSFHEP00000025415	ENSFHEG00000007716	Fundulus_heteroclitus
ENSCVAP00000026031	ENSCVAG00000011275	Cyprinodon_variegatus
ENSPFOP00000028889	ENSPFOG00000024308	Poecilia_formosa
ENSPMEP00000003971	ENSPMEG00000006694	Poecilia_mexicana
ENSPLAP00000011047	ENSPLAG00000015656	Poecilia_latipinna
ENSPREP00000020533	ENSPREG00000013895	Poecilia_reticulata
ENSXCOP00000027502	ENSXCOG00000020533	Xiphophorus_couchianus
ENSXMAP00000027510	ENSXMAG00000013781	Xiphophorus_maculatus
ENSGAFP00000026096	ENSGAFG00000015186	Gambusia_affinis
ENSKMAP00000001641	ENSKMAG00000001304	Kryptolebias_marmoratus
ENSMZEP00005000222	ENSMZEG00005000174	Maylandia_zebra
ENSACLP00000037340	ENSACLG00000025290	Astatotilapia_calliptera
ENSHBUP00000019369	ENSHBUG00000021555	Haplochromis_burtoni
ENSPNYP00000025158	ENSPNYG00000018969	Pundamilia_nyererei
ENSNBRP00000030675	ENSNBRG00000022949	Neolamprologus_brichardi
ENSONIP00000023077	ENSONIG00000018326	Oreochromis_niloticus
ENSACIP00000027663	ENSACIG00000020370	Amphilophus_citrinellus
ENSGACP00000018285	ENSGACG00000013831	Gasterosteus_aculeatus
ENSBSLP00000006171	ENSBSLG00000003010	Betta_splendens
ENSLBEP00000011365	ENSLBEG00000007780	Labrus_bergylta
ENSPMGP00000019093	ENSPMGG00000015462	Periophthalmus_magnuspinnatus
ENSMALP00000018331	ENSMALG00000012775	Monopterus_albus
ENSATEP00000013099	ENSATEG00000008641	Anabas_testudineus
ENSHCOP00000024395	ENSHCOG00000013726	Hippocampus_comes
ENSAOCP00000008417	ENSAOCG00000012430	Amphiprion_ocellaris
ENSAPEP00000013583	ENSAPEG00000009672	Amphiprion_percula
ENSAPOP00000031028	ENSAPOG00000017991	Acanthochromis_polyacanthus
ENSSPAP00000030905	ENSSPAG00000022739	Stegastes_partitus
ENSGWIP00000044735	ENSGWIG00000021667	Gouania_willdenowi
ENSLCAP00010032927	ENSLCAG00010015277	Lates_calcarifer
ENSSMAP00000000658	ENSSMAG00000000418	Scophthalmus_maximus
ENSLCRP00005058100	ENSLCRG00005021459	Larimichthys_crocea
ENSCSEP00000007589	ENSCSEG00000004891	Cynoglossus_semilaevis
ENSMAMP00000030341	ENSMAMG00000010395	Mastacembelus_armatus
ENSSLDP00000032442	ENSSLDG00000024908	Seriola_lalandi_dorsalis
ENSSDUP00000011366	ENSSDUG00000008291	Seriola_dumerili
ENSCGOP00000015589	ENSCGOG00000007513	Cottoperca_gobio
ENSPRNP00000007282	ENSPRNG00000004195	Parambassis_ranga
ENSGMOP00000004085	ENSGMOG00000003831	Gadus_morhua
ENSHHUP00000069312	ENSHHUG00000040738	Hucho_hucho
ENSELUP00000001267	ENSELUG00000002755	Esox_lucius
ENSIPUP00000028298	ENSIPUG00000019129	Ictalurus_punctatus
ENSEEEP00000035581	ENSEEEG00000016944	Electrophorus_electricus
ENSAMXP00005023008	ENSAMXG00005007928	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000008973	ENSAMXG00000008443	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000033604	ENSPNAG00000022342	Pygocentrus_nattereri
ENSDARP00000149182	ENSDARG00000100315	Danio_rerio
ENSCHAP00000052666	ENSCHAG00000023630	Clupea_harengus
ENSDCDP00000021107	ENSDCDG00000015624	Denticeps_clupeoides
ENSTNIP00000016989	ENSTNIG00000013982	Tetraodon_nigroviridis
ENSTRUP00000044541	ENSTRUG00000017387	Takifugu_rubripes
ENSPMGP00000014195	ENSPMGG00000011592	Periophthalmus_magnuspinnatus
ENSMMOP00000026649	ENSMMOG00000020166	Mola_mola
ENSFHEP00000005582	ENSFHEG00000006577	Fundulus_heteroclitus
ENSSDUP00000002317	ENSSDUG00000001105	Seriola_dumerili
ENSSLDP00000001174	ENSSLDG00000001010	Seriola_lalandi_dorsalis
ENSLCAP00010058750	ENSLCAG00010027270	Lates_calcarifer
ENSSMAP00000026084	ENSSMAG00000015951	Scophthalmus_maximus
ENSMALP00000015187	ENSMALG00000010605	Monopterus_albus
ENSMAMP00000017777	ENSMAMG00000006800	Mastacembelus_armatus
ENSATEP00000021227	ENSATEG00000014517	Anabas_testudineus
ENSBSLP00000055140	ENSBSLG00000025555	Betta_splendens
ENSCGOP00000011774	ENSCGOG00000005836	Cottoperca_gobio
ENSGACP00000005651	ENSGACG00000004265	Gasterosteus_aculeatus
ENSLCRP00005060104	ENSLCRG00005021809	Larimichthys_crocea
ENSLBEP00000023688	ENSLBEG00000017752	Labrus_bergylta
ENSAPEP00000032663	ENSAPEG00000022998	Amphiprion_percula
ENSAOCP00000023554	ENSAOCG00000009765	Amphiprion_ocellaris
ENSAPOP00000017010	ENSAPOG00000020270	Acanthochromis_polyacanthus
ENSAPOP00000013516	ENSAPOG00000016503	Acanthochromis_polyacanthus
ENSSPAP00000010674	ENSSPAG00000006750	Stegastes_partitus
ENSPRNP00000049118	ENSPRNG00000023321	Parambassis_ranga
ENSACLP00000012024	ENSACLG00000008071	Astatotilapia_calliptera
ENSMZEP00005005386	ENSMZEG00005003888	Maylandia_zebra
ENSPNYP00000013128	ENSPNYG00000009305	Pundamilia_nyererei
ENSHBUP00000018411	ENSHBUG00000021092	Haplochromis_burtoni
ENSNBRP00000013624	ENSNBRG00000010310	Neolamprologus_brichardi
ENSONIP00000010737	ENSONIG00000008539	Oreochromis_niloticus
ENSACIP00000025402	ENSACIG00000019680	Amphilophus_citrinellus
ENSCSEP00000004668	ENSCSEG00000003025	Cynoglossus_semilaevis
ENSXCOP00000025829	ENSXCOG00000019279	Xiphophorus_couchianus
ENSXMAP00000010664	ENSXMAG00000010624	Xiphophorus_maculatus
ENSGAFP00000009788	ENSGAFG00000004836	Gambusia_affinis
ENSPFOP00000015766	ENSPFOG00000015566	Poecilia_formosa
ENSPLAP00000030328	ENSPLAG00000021495	Poecilia_latipinna
ENSPMEP00000023080	ENSPMEG00000005614	Poecilia_mexicana
ENSPREP00000009320	ENSPREG00000006053	Poecilia_reticulata
ENSCVAP00000001446	ENSCVAG00000000079	Cyprinodon_variegatus
ENSKMAP00000022242	ENSKMAG00000016526	Kryptolebias_marmoratus
ENSORLP00015029762	ENSORLG00015013503	Oryzias_latipes_ASM223469v1
ENSORLP00020018357	ENSORLG00020019724	Oryzias_latipes_ASM223471v1
ENSORLP00000022073	ENSORLG00000017640	Oryzias_latipes_ASM223467v1
ENSOMEP00000004565	ENSOMEG00000005543	Oryzias_melastigma
ENSGWIP00000049753	ENSGWIG00000024027	Gouania_willdenowi
ENSGWIP00000050142	ENSGWIG00000024277	Gouania_willdenowi
ENSHCOP00000004132	ENSHCOG00000007794	Hippocampus_comes
ENSGMOP00000008321	ENSGMOG00000007774	Gadus_morhua
ENSELUP00000042539	ENSELUG00000024361	Esox_lucius
ENSHHUP00000059560	ENSHHUG00000035209	Hucho_hucho
ENSPKIP00000029497	ENSPKIG00000010712	Paramormyrops_kingsleyae
ENSSFOP00015018434	ENSSFOG00015011838	Scleropages_formosus
ENSLOCP00000004097	ENSLOCG00000003424	Lepisosteus_oculatus
ENSCPUP00000014976	ENSCPUG00000010452	Calidris_pugnax
ENSCPGP00000016494	ENSCPGG00000011466	Calidris_pygmaea
ENSMUNP00000001179	ENSMUNG00000000767	Melopsittacus_undulatus
ENSTGUP00000011386	ENSTGUG00000011018	Taeniopygia_guttata
ENSLSDP00000002708	ENSLSDG00000002141	Lonchura_striata_domestica
ENSSCAP00000022222	ENSSCAG00000015980	Serinus_canaria
ENSPMJP00000015956	ENSPMJG00000012074	Parus_major
ENSCCEP00000018863	ENSCCEG00000017079	Cyanistes_caeruleus
ENSFALP00000004576	ENSFALG00000004383	Ficedula_albicollis
ENSZALP00000022758	ENSZALG00000017645	Zonotrichia_albicollis
ENSJHYP00000014445	ENSJHYG00000011186	Junco_hyemalis
ENSZALP00000022757	ENSZALG00000017644	Zonotrichia_albicollis
ENSCCEP00000020417	ENSCCEG00000018507	Cyanistes_caeruleus
ENSJHYP00000014451	ENSJHYG00000011189	Junco_hyemalis
ENSMVIP00005018021	ENSMVIG00005012813	Manacus_vitellinus
ENSLCOP00000005399	ENSLCOG00000004021	Lepidothrix_coronata
ENSABRP00000020129	ENSABRG00000017176	Anser_brachyrhynchus
ENSAPLP00000003040	ENSAPLG00000003520	Anas_platyrhynchos_platyrhynchos
ENSGALP00000027228	ENSGALG00000016884	Gallus_gallus
ENSCJPP00005024619	ENSCJPG00005019045	Coturnix_japonica
ENSMGAP00000015789	ENSMGAG00000014897	Meleagris_gallopavo
ENSNMEP00000021883	ENSNMEG00000018758	Numida_meleagris
ENSAHAP00000026057	ENSAHAG00000018111	Apteryx_haastii
ENSAOWP00000025897	ENSAOWG00000017478	Apteryx_owenii
ENSARWP00000013136	ENSARWG00000009103	Apteryx_rowi
ENSDNVP00000003610	ENSDNVG00000002553	Dromaius_novaehollandiae
ENSNPEP00000010822	ENSNPEG00000008080	Nothoprocta_perdicaria
ENSCPRP00005026188	ENSCPRG00005018164	Crocodylus_porosus
ENSGAGP00000012123	ENSGAGG00000009331	Gopherus_agassizii
ENSCABP00000019780	ENSCABG00000014597	Chelonoidis_abingdonii
ENSCPBP00000038882	ENSCPBG00000026698	Chrysemys_picta_bellii
ENSPSIP00000003145	ENSPSIG00000003015	Pelodiscus_sinensis
ENSACAP00000016319	ENSACAG00000016518	Anolis_carolinensis
ENSPVIP00000008117	ENSPVIG00000006534	Pogona_vitticeps
ENSNSUP00000011465	ENSNSUG00000008647	Notechis_scutatus
ENSSMRP00000019547	ENSSMRG00000015240	Salvator_merianae
ENSSPUP00000006534	ENSSPUG00000004977	Sphenodon_punctatus
ENSPCIP00000035144	ENSPCIG00000026002	Phascolarctos_cinereus
ENSVURP00010031498	ENSVURG00010024088	Vombatus_ursinus
ENSMEUP00000004245	ENSMEUG00000004646	Notamacropus_eugenii
ENSSHAP00000004050	ENSSHAG00000003571	Sarcophilus_harrisii
ENSMODP00000010391	ENSMODG00000008358	Monodelphis_domestica
ENSPVAP00000011796	ENSPVAG00000012513	Pteropus_vampyrus
ENSMLUP00000000006	ENSMLUG00000000006	Myotis_lucifugus
ENSEASP00005032558	ENSEASG00005022231	Equus_asinus_asinus
ENSECAP00000008210	ENSECAG00000009334	Equus_caballus
ENSBIXP00000036967	ENSBIXG00000020475	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005043165	ENSBIXG00005026779	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000005822	ENSBTAG00000004440	Bos_taurus
ENSBMUP00000016279	ENSBMUG00000012371	Bos_mutus
ENSBBBP00000009786	ENSBBBG00000017955	Bison_bison_bison
