ENSHGLP00000014770	ENSHGLG00000010554	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026124	ENSHGLG00100019167	Heterocephalus_glaber_HetGla_1.0
ENSODEP00000026746	ENSODEG00000020215	Octodon_degus
ENSCLAP00000025530	ENSCLAG00000017618	Chinchilla_lanigera
ENSCPOP00000016861	ENSCPOG00000021348	Cavia_porcellus
ENSMUGP00000009177	ENSMUGG00000008213	Meriones_unguiculatus
ENSMSIP00000025522	ENSMSIG00000021572	Mus_spicilegus
ENSCGRP00001009280	ENSCGRG00001011419	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015003330	ENSCGRG00015002671	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000013933	ENSPEMG00000013875	Peromyscus_maniculatus_bairdii
ENSMOCP00000007907	ENSMOCG00000007804	Microtus_ochrogaster
ENSMAUP00000006353	ENSMAUG00000008331	Mesocricetus_auratus
ENSJJAP00000019259	ENSJJAG00000020265	Jaculus_jaculus
ENSCCNP00000025323	ENSCCNG00000024706	Castor_canadensis
ENSAMEP00000020919	ENSAMEG00000019865	Ailuropoda_melanoleuca
ENSDNOP00000017986	ENSDNOG00000033531	Dasypus_novemcinctus
