ENSHHUP00000017357	ENSHHUG00000010825	Hucho_hucho
ENSELUP00000003862	ENSELUG00000005106	Esox_lucius
ENSCGOP00000007334	ENSCGOG00000003753	Cottoperca_gobio
ENSLCRP00005025055	ENSLCRG00005010035	Larimichthys_crocea
ENSLCAP00010027667	ENSLCAG00010013009	Lates_calcarifer
ENSLBEP00000028896	ENSLBEG00000021888	Labrus_bergylta
ENSPRNP00000036056	ENSPRNG00000018038	Parambassis_ranga
ENSGWIP00000025656	ENSGWIG00000013513	Gouania_willdenowi
ENSMZEP00005035286	ENSMZEG00005026375	Maylandia_zebra
ENSACLP00000008382	ENSACLG00000005698	Astatotilapia_calliptera
ENSHBUP00000035095	ENSHBUG00000023072	Haplochromis_burtoni
ENSMALP00000015959	ENSMALG00000011198	Monopterus_albus
ENSORLP00020016504	ENSORLG00020017532	Oryzias_latipes_ASM223471v1
ENSORLP00000034189	ENSORLG00000025853	Oryzias_latipes_ASM223467v1
ENSOMEP00000005754	ENSOMEG00000006779	Oryzias_melastigma
ENSAMXP00005014605	ENSAMXG00005007778	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000042704	ENSAMXG00000029087	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000017926	ENSPNAG00000024250	Pygocentrus_nattereri
ENSIPUP00000022461	ENSIPUG00000015238	Ictalurus_punctatus
ENSDCDP00000060270	ENSDCDG00000034630	Denticeps_clupeoides
ENSPKIP00000000427	ENSPKIG00000019102	Paramormyrops_kingsleyae
ENSSFOP00015014860	ENSSFOG00015009570	Scleropages_formosus
ENSLOCP00000004071	ENSLOCG00000003435	Lepisosteus_oculatus
ENSECRP00000022882	ENSECRG00000015490	Erpetoichthys_calabaricus
ENSNMEP00000019572	ENSNMEG00000016881	Numida_meleagris
ENSGALP00000064828	ENSGALG00000040026	Gallus_gallus
ENSAPLP00000021532	ENSAPLG00000010843	Anas_platyrhynchos_platyrhynchos
ENSMUNP00000002821	ENSMUNG00000002472	Melopsittacus_undulatus
ENSCPGP00000025248	ENSCPGG00000017406	Calidris_pygmaea
ENSCPUP00000007164	ENSCPUG00000005163	Calidris_pugnax
ENSAHAP00000007010	ENSAHAG00000005256	Apteryx_haastii
ENSARWP00000016523	ENSARWG00000011373	Apteryx_rowi
ENSAOWP00000020064	ENSAOWG00000013576	Apteryx_owenii
ENSDNVP00000023294	ENSDNVG00000016195	Dromaius_novaehollandiae
ENSNPEP00000012079	ENSNPEG00000009050	Nothoprocta_perdicaria
ENSCPRP00005023144	ENSCPRG00005016089	Crocodylus_porosus
ENSGAGP00000010224	ENSGAGG00000008010	Gopherus_agassizii
