ENSPMAP00000005513	ENSPMAG00000005036	Petromyzon_marinus	ENSPMAT00000005533
ENSEBUP00000017019	ENSEBUG00000010654	Eptatretus_burgeri	ENSEBUT00000017595
ENSAOWP00000006949	ENSAOWG00000004786	Apteryx_owenii	ENSAOWT00000007856
ENSARWP00000024399	ENSARWG00000016629	Apteryx_rowi	ENSARWT00000027640
ENSAHAP00000012372	ENSAHAG00000008918	Apteryx_haastii	ENSAHAT00000013698
ENSDNVP00000012918	ENSDNVG00000009081	Dromaius_novaehollandiae
ENSNPEP00000013904	ENSNPEG00000010077	Nothoprocta_perdicaria
ENSCPGP00000009900	ENSCPGG00000006863	Calidris_pygmaea
ENSCPUP00000001307	ENSCPUG00000000954	Calidris_pugnax
ENSMUNP00000009918	ENSMUNG00000007824	Melopsittacus_undulatus
ENSGALP00000053962	ENSGALG00000031813	Gallus_gallus
ENSCJPP00005002452	ENSCJPG00005002704	Coturnix_japonica
ENSMGAP00000013996	ENSMGAG00000013247	Meleagris_gallopavo
ENSNMEP00000006748	ENSNMEG00000006834	Numida_meleagris
ENSABRP00000015816	ENSABRG00000013870	Anser_brachyrhynchus
ENSAPLP00000029661	ENSAPLG00000024680	Anas_platyrhynchos_platyrhynchos
ENSLSDP00000010181	ENSLSDG00000007502	Lonchura_striata_domestica
ENSTGUP00000002373	ENSTGUG00000002300	Taeniopygia_guttata
ENSSCAP00000010571	ENSSCAG00000007958	Serinus_canaria
ENSZALP00000000503	ENSZALG00000000594	Zonotrichia_albicollis
ENSJHYP00000001307	ENSJHYG00000001132	Junco_hyemalis
ENSPMJP00000024373	ENSPMJG00000017937	Parus_major
ENSCCEP00000024458	ENSCCEG00000021727	Cyanistes_caeruleus
ENSFALP00000000426	ENSFALG00000000412	Ficedula_albicollis
ENSMVIP00005004233	ENSMVIG00005003169	Manacus_vitellinus
ENSLCOP00000016081	ENSLCOG00000011454	Lepidothrix_coronata
ENSCPRP00005003994	ENSCPRG00005002894	Crocodylus_porosus
ENSCABP00000014984	ENSCABG00000011190	Chelonoidis_abingdonii
ENSGAGP00000011223	ENSGAGG00000008432	Gopherus_agassizii
ENSCPBP00000005952	ENSCPBG00000004750	Chrysemys_picta_bellii
ENSPSIP00000002364	ENSPSIG00000002339	Pelodiscus_sinensis
ENSACAP00000002654	ENSACAG00000002674	Anolis_carolinensis
ENSPVIP00000018651	ENSPVIG00000014263	Pogona_vitticeps
ENSNSUP00000022573	ENSNSUG00000016397	Notechis_scutatus
