ENSOMEP00000018746	ENSOMEG00000020515	Oryzias_melastigma
ENSCGRP00001028138	ENSCGRG00001024943	Cricetulus_griseus_CHOK1GS_HDv1
ENSACIP00000003920	ENSACIG00000002900	Amphilophus_citrinellus
ENSMICP00000034268	ENSMICG00000013865	Microcebus_murinus
ENSMNEP00000018911	ENSMNEG00000033315	Macaca_nemestrina
ENSORLP00015029609	ENSORLG00015012871	Oryzias_latipes_ASM223469v1
ENSHHUP00000082452	ENSHHUG00000047910	Hucho_hucho
ENSCANP00000032480	ENSCANG00000039900	Colobus_angolensis_palliatus
ENSEEEP00000010229	ENSEEEG00000005184	Electrophorus_electricus
ENSMLEP00000025771	ENSMLEG00000037089	Mandrillus_leucophaeus
ENSVURP00010028540	ENSVURG00010021835	Vombatus_ursinus
ENSDNOP00000029655	ENSDNOG00000032735	Dasypus_novemcinctus
ENSKMAP00000029995	ENSKMAG00000022166	Kryptolebias_marmoratus
ENSSDAP00000017375	ENSSDAG00000015729	Spermophilus_dauricus
ENSPVAP00000012037	ENSPVAG00000012762	Pteropus_vampyrus
ENSAMEP00000002617	ENSAMEG00000002449	Ailuropoda_melanoleuca
ENSPPYP00000004641	ENSPPYG00000004060	Pongo_abelii
ENSTNIP00000012905	ENSTNIG00000010010	Tetraodon_nigroviridis
ENSPRNP00000035513	ENSPRNG00000017783	Parambassis_ranga
ENSJHYP00000020051	ENSJHYG00000015214	Junco_hyemalis
ENSTRUP00000043520	ENSTRUG00000016994	Takifugu_rubripes
ENSCMIP00000009694	ENSCMIG00000005111	Callorhinchus_milii
ENSTGEP00000000764	ENSTGEG00000000745	Theropithecus_gelada
ENSZALP00000004599	ENSZALG00000004316	Zonotrichia_albicollis
ENSFALP00000005058	ENSFALG00000004860	Ficedula_albicollis
ENSCPBP00000038955	ENSCPBG00000026873	Chrysemys_picta_bellii
ENSPFOP00000022640	ENSPFOG00000019054	Poecilia_formosa
ENSMODP00000006103	ENSMODG00000004958	Monodelphis_domestica
ENSGAGP00000016802	ENSGAGG00000012548	Gopherus_agassizii
ENSABRP00000001579	ENSABRG00000001596	Anser_brachyrhynchus	ENSABRT00000002318
ENSPCOP00000010674	ENSPCOG00000016809	Propithecus_coquereli
ENSCSAVP00000000717	ENSCSAVG00000000402	Ciona_savignyi
ENSNBRP00000007350	ENSNBRG00000005381	Neolamprologus_brichardi
ENSP00000436926	ENSG00000170322	Homo_sapiens
ENSCCAP00000009662	ENSCCAG00000022547	Cebus_capucinus_imitator
ENSXETP00000046082	ENSXETG00000021342	Xenopus_tropicalis
ENSPVIP00000034299	ENSPVIG00000025052	Pogona_vitticeps	ENSPVIT00000041929
ENSAMXP00005027030	ENSAMXG00005013561	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSDNVP00000017591	ENSDNVG00000012298	Dromaius_novaehollandiae
ENSECRP00000018805	ENSECRG00000012573	Erpetoichthys_calabaricus
ENSPNAP00000030172	ENSPNAG00000016847	Pygocentrus_nattereri
ENSUMAP00000003759	ENSUMAG00000003091	Ursus_maritimus
ENSMMOP00000024545	ENSMMOG00000018666	Mola_mola
ENSUAMP00000034976	ENSUAMG00000026542	Ursus_americanus
ENSGAFP00000002941	ENSGAFG00000001938	Gambusia_affinis
ENSTTRP00000008685	ENSTTRG00000009126	Tursiops_truncatus
ENSAOCP00000022530	ENSAOCG00000008325	Amphiprion_ocellaris
ENSNMEP00000013332	ENSNMEG00000012171	Numida_meleagris
ENSPSIP00000010181	ENSPSIG00000009238	Pelodiscus_sinensis
ENSCJPP00005007104	ENSCJPG00005006552	Coturnix_japonica
ENSPREP00000028679	ENSPREG00000019381	Poecilia_reticulata
ENSBSLP00000057263	ENSBSLG00000026641	Betta_splendens
ENSHGLP00000008974	ENSHGLG00000006450	Heterocephalus_glaber_HetGla_female_1.0
ENSDARP00000135127	ENSDARG00000091512	Danio_rerio
ENSGGOP00000014977	ENSGGOG00000015346	Gorilla_gorilla
ENSETEP00000002297	ENSETEG00000002802	Echinops_telfairi
ENSOARP00000015361	ENSOARG00000014310	Ovis_aries
ENSPMGP00000023830	ENSPMGG00000019262	Periophthalmus_magnuspinnatus
ENSMAMP00000026950	ENSMAMG00000018113	Mastacembelus_armatus
ENSELUP00000039109	ENSELUG00000019186	Esox_lucius
ENSOCUP00000042719	ENSOCUG00000003729	Oryctolagus_cuniculus
ENSCAFP00020012816	ENSCAFG00020010325	Canis_lupus_dingo
ENSMZEP00005024819	ENSMZEG00005018535	Maylandia_zebra
ENSORLP00020025424	ENSORLG00020007317	Oryzias_latipes_ASM223471v1
ENSFCAP00000003790	ENSFCAG00000004110	Felis_catus
ENSGWIP00000027123	ENSGWIG00000014207	Gouania_willdenowi
ENSORLP00000044695	ENSORLG00000006270	Oryzias_latipes_ASM223467v1
ENSPCAP00000013503	ENSPCAG00000014369	Procavia_capensis
ENSHGLP00100003955	ENSHGLG00100003013	Heterocephalus_glaber_HetGla_1.0
ENSAHAP00000008626	ENSAHAG00000006360	Apteryx_haastii
ENSCAPP00000016357	ENSCAPG00000016258	Cavia_aperea
ENSUMAP00000003742	ENSUMAG00000003083	Ursus_maritimus
ENSAMXP00000006264	ENSAMXG00000006111	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSNGAP00000015930	ENSNGAG00000016804	Nannospalax_galili
ENSPTEP00000000905	ENSPTEG00000001004	Piliocolobus_tephrosceles
ENSACAP00000017407	ENSACAG00000017671	Anolis_carolinensis	ENSACAT00000017749
ENSEBUP00000027557	ENSEBUG00000016871	Eptatretus_burgeri
ENSGACP00000027326	ENSGACG00000020662	Gasterosteus_aculeatus
ENSPTRP00000007651	ENSPTRG00000004476	Pan_troglodytes
ENSPMEP00000021534	ENSPMEG00000001825	Poecilia_mexicana
ENSCCEP00000007305	ENSCCEG00000007703	Cyanistes_caeruleus
ENSMPUP00000008628	ENSMPUG00000008698	Mustela_putorius_furo
ENSBIXP00000001646	ENSBIXG00000008201	Bos_indicus_x_Bos_taurus_UOA_Angus_1
MGP_SPRETEiJ_P0090693	MGP_SPRETEiJ_G0033062	Mus_spretus_strain_SPRET/EiJ
ENSHGLP00100025376	ENSHGLG00100018614	Heterocephalus_glaber_HetGla_1.0
ENSPKIP00000039059	ENSPKIG00000016542	Paramormyrops_kingsleyae
ENSPANP00000008169	ENSPANG00000005706	Papio_anubis
ENSMGAP00000000543	ENSMGAG00000001130	Meleagris_gallopavo
ENSNVIP00000026459	ENSNVIG00000020425	Neovison_vison
MGP_PahariEiJ_P0022785	MGP_PahariEiJ_G0014804	Mus_pahari_strain_PAHARI_EIJ
ENSBIXP00005001690	ENSBIXG00005008188	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCPOP00000000339	ENSCPOG00000000388	Cavia_porcellus
ENSECAP00000004324	ENSECAG00000005422	Equus_caballus
ENSLSDP00000000772	ENSLSDG00000000616	Lonchura_striata_domestica
ENSSLDP00000023809	ENSSLDG00000018567	Seriola_lalandi_dorsalis
ENSMUGP00000022009	ENSMUGG00000018464	Meriones_unguiculatus
ENSDORP00000019074	ENSDORG00000024029	Dipodomys_ordii
ENSLCRP00005027458	ENSLCRG00005010930	Larimichthys_crocea
ENSMMMP00000002442	ENSMMMG00000002220	Marmota_marmota_marmota
ENSOPRP00000014562	ENSOPRG00000015927	Ochotona_princeps
ENSCPUP00000018459	ENSCPUG00000012551	Calidris_pugnax
ENSMUSP00000083341	ENSMUSG00000042185	Mus_musculus_strain_reference_(CL57BL6)
ENSODEP00000006868	ENSODEG00000005130	Octodon_degus
ENSFHEP00000030397	ENSFHEG00000015866	Fundulus_heteroclitus
ENSCATP00000039094	ENSCATG00000042203	Cercocebus_atys
ENSMAUP00000018070	ENSMAUG00000016758	Mesocricetus_auratus
ENSCSEP00000014338	ENSCSEG00000009070	Cynoglossus_semilaevis
ENSHHUP00000004829	ENSHHUG00000003000	Hucho_hucho
ENSPMJP00000012079	ENSPMJG00000009330	Parus_major
ENSRROP00000030820	ENSRROG00000039132	Rhinopithecus_roxellana
ENSSMAP00000019263	ENSSMAG00000011807	Scophthalmus_maximus
ENSNSUP00000010816	ENSNSUG00000008192	Notechis_scutatus	ENSNSUT00000011539
ENSBBBP00000007762	ENSBBBG00000002611	Bison_bison_bison
