ENSSDAP00000003736	ENSSDAG00000003541	Spermophilus_dauricus
ENSCCNP00000019951	ENSCCNG00000019978	Castor_canadensis
ENSCGRP00015001162	ENSCGRG00015001027	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000032720	ENSPEMG00000027262	Peromyscus_maniculatus_bairdii
ENSMUGP00000029137	ENSMUGG00000024155	Meriones_unguiculatus
ENSRROP00000019340	ENSRROG00000033688	Rhinopithecus_roxellana
ENSMLEP00000034114	ENSMLEG00000041246	Mandrillus_leucophaeus
ENSNLEP00000034572	ENSNLEG00000032322	Nomascus_leucogenys
ENSPTEP00000036295	ENSPTEG00000034122	Piliocolobus_tephrosceles
ENSRROP00000018261	ENSRROG00000033202	Rhinopithecus_roxellana
ENSTGEP00000000866	ENSTGEG00000000828	Theropithecus_gelada
ENSPANP00000022450	ENSPANG00000029430	Papio_anubis
ENSCATP00000031476	ENSCATG00000038863	Cercocebus_atys
ENSPPAP00000034497	ENSPPAG00000040100	Pan_paniscus
ENSCCAP00000006094	ENSCCAG00000020811	Cebus_capucinus_imitator
ENSCAFP00000043571	ENSCAFG00000044348	Canis_lupus_familiaris
ENSVVUP00000041574	ENSVVUG00000029588	Vulpes_vulpes
ENSNVIP00000030516	ENSNVIG00000023514	Neovison_vison
ENSPPRP00000028374	ENSPPRG00000020429	Panthera_pardus
ENSBTAP00000065110	ENSBTAG00000048943	Bos_taurus
ENSBIXP00000001455	ENSBIXG00000028542	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSUMAP00000004659	ENSUMAG00000003753	Ursus_maritimus
ENSPPRP00000000769	ENSPPRG00000024611	Panthera_pardus
ENSBIXP00000023736	ENSBIXG00000005402	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005033839	ENSBIXG00005014672	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000064822	ENSBTAG00000018885	Bos_taurus
ENSBMUP00000007907	ENSBMUG00000006214	Bos_mutus
ENSCHIP00000011662	ENSCHIG00000013741	Capra_hircus
ENSSPUP00000010046	ENSSPUG00000007778	Sphenodon_punctatus
