ENSPKIP00000033498	ENSPKIG00000013171	Paramormyrops_kingsleyae	ENSPKIT00000014388
ENSSFOP00015027430	ENSSFOG00015017625	Scleropages_formosus
ENSHHUP00000011258	ENSHHUG00000006866	Hucho_hucho
ENSELUP00000021489	ENSELUG00000020548	Esox_lucius
ENSMAMP00000028784	ENSMAMG00000019378	Mastacembelus_armatus
ENSMALP00000008389	ENSMALG00000005971	Monopterus_albus
ENSBSLP00000052478	ENSBSLG00000024783	Betta_splendens
ENSCSEP00000006926	ENSCSEG00000004469	Cynoglossus_semilaevis
ENSSLDP00000009577	ENSSLDG00000007622	Seriola_lalandi_dorsalis
ENSSDUP00000005137	ENSSDUG00000003797	Seriola_dumerili
ENSATEP00000033154	ENSATEG00000022846	Anabas_testudineus
ENSAPEP00000018822	ENSAPEG00000013453	Amphiprion_percula
ENSAOCP00000013890	ENSAOCG00000018494	Amphiprion_ocellaris
ENSAPOP00000031302	ENSAPOG00000018467	Acanthochromis_polyacanthus
ENSSPAP00000029777	ENSSPAG00000022392	Stegastes_partitus
ENSMZEP00005008375	ENSMZEG00005006392	Maylandia_zebra
ENSHBUP00000032036	ENSHBUG00000018084	Haplochromis_burtoni
ENSPNYP00000031944	ENSPNYG00000024105	Pundamilia_nyererei
ENSNBRP00000012345	ENSNBRG00000009640	Neolamprologus_brichardi
ENSONIP00000025449	ENSONIG00000020203	Oreochromis_niloticus
ENSACIP00000004773	ENSACIG00000003756	Amphilophus_citrinellus
ENSMMOP00000020787	ENSMMOG00000015808	Mola_mola
ENSTNIP00000006825	ENSTNIG00000004202	Tetraodon_nigroviridis
ENSTRUP00000006642	ENSTRUG00000002846	Takifugu_rubripes
ENSLBEP00000013112	ENSLBEG00000010087	Labrus_bergylta
ENSSMAP00000009080	ENSSMAG00000005602	Scophthalmus_maximus
ENSPMEP00000034671	ENSPMEG00000024078	Poecilia_mexicana
ENSPFOP00000029621	ENSPFOG00000022636	Poecilia_formosa
ENSPLAP00000008247	ENSPLAG00000010773	Poecilia_latipinna
ENSPREP00000027318	ENSPREG00000018473	Poecilia_reticulata
ENSXMAP00000005314	ENSXMAG00000005306	Xiphophorus_maculatus
ENSXCOP00000025583	ENSXCOG00000019111	Xiphophorus_couchianus
ENSGAFP00000009588	ENSGAFG00000006525	Gambusia_affinis
ENSCVAP00000017505	ENSCVAG00000020595	Cyprinodon_variegatus
ENSKMAP00000016862	ENSKMAG00000012585	Kryptolebias_marmoratus
