ENSORLP00015015277	ENSORLG00015016166	Oryzias_latipes_ASM223469v1
ENSHHUP00000065408	ENSHHUG00000038607	Hucho_hucho
ENSAMXP00000050998	ENSAMXG00000038642	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000048232
ENSAMXP00000052767	ENSAMXG00000031936	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000042007
ENSAMXP00000047547	ENSAMXG00000033019	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000038443
ENSAMXP00000055100	ENSAMXG00000042618	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000053905
ENSAMXP00000033049	ENSAMXG00000031723	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000030141
ENSAMXP00000043919	ENSAMXG00000034824	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000049134
ENSAMXP00000034616	ENSAMXG00000035021	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000037721
ENSAMXP00000047363	ENSAMXG00000040219	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000041275
ENSAMXP00000043118	ENSAMXG00000039079	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000054854
ENSAMXP00000049013	ENSAMXG00000032925	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000056557
ENSAMXP00000042361	ENSAMXG00000034657	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000037652
