ENSVURP00010007722	ENSVURG00010005946	Vombatus_ursinus	ENSVURT00010008746
ENSVURP00010000593	ENSVURG00010000548	Vombatus_ursinus	ENSVURT00010000702
ENSPCIP00000041872	ENSPCIG00000030551	Phascolarctos_cinereus	ENSPCIT00000051556
ENSMEUP00000010188	ENSMEUG00000011157	Notamacropus_eugenii	ENSMEUT00000011201
ENSMODP00000037084	ENSMODG00000003915	Monodelphis_domestica	ENSMODT00000038683
ENSSHAP00000019768	ENSSHAG00000016779	Sarcophilus_harrisii	ENSSHAT00000019925
ENSCHOP00000010171	ENSCHOG00000011498	Choloepus_hoffmanni
ENSDNOP00000016654	ENSDNOG00000024001	Dasypus_novemcinctus
ENSPVAP00000008679	ENSPVAG00000009202	Pteropus_vampyrus
ENSMLUP00000002331	ENSMLUG00000002556	Myotis_lucifugus	ENSMLUT00000002564
ENSTTRP00000004194	ENSTTRG00000004451	Tursiops_truncatus
ENSSSCP00000067602	ENSSSCG00000009556	Sus_scrofa_strain_reference
ENSBTAP00000071145	ENSBTAG00000020093	Bos_taurus
ENSBIXP00005018981	ENSBIXG00005022354	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000015371	ENSBIXG00000019908	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000017102	ENSBMUG00000012942	Bos_mutus
ENSBBBP00000024933	ENSBBBG00000020099	Bison_bison_bison
ENSCHIP00000000333	ENSCHIG00000000240	Capra_hircus
ENSOARP00000008670	ENSOARG00000008074	Ovis_aries
ENSAMEP00000003047	ENSAMEG00000002903	Ailuropoda_melanoleuca	ENSAMET00000003174
ENSEASP00005032105	ENSEASG00005021912	Equus_asinus_asinus
ENSECAP00000017070	ENSECAG00000018984	Equus_caballus
ENSUAMP00000012194	ENSUAMG00000006947	Ursus_americanus
ENSUMAP00000029284	ENSUMAG00000020946	Ursus_maritimus
ENSAMEP00000010727	ENSAMEG00000010104	Ailuropoda_melanoleuca
