FBpp0070457	FBgn0024996	Drosophila_melanogaster	FBtr0070479
Y47H9C.7.1	WBGene00012950	Caenorhabditis_elegans_strain_N2	Y47H9C.7.1
ENSCCEP00000021120	ENSCCEG00000019158	Cyanistes_caeruleus
ENSPMJP00000022632	ENSPMJG00000016732	Parus_major
ENSFALP00000006614	ENSFALG00000006338	Ficedula_albicollis
ENSTGUP00000012564	ENSTGUG00000012191	Taeniopygia_guttata
ENSLSDP00000003604	ENSLSDG00000002768	Lonchura_striata_domestica
ENSSCAP00000013209	ENSSCAG00000009821	Serinus_canaria
ENSJHYP00000015036	ENSJHYG00000011602	Junco_hyemalis
ENSZALP00000001490	ENSZALG00000001674	Zonotrichia_albicollis
ENSLCOP00000022072	ENSLCOG00000015581	Lepidothrix_coronata
ENSMVIP00005004515	ENSMVIG00005003492	Manacus_vitellinus
ENSMUNP00000012336	ENSMUNG00000009697	Melopsittacus_undulatus
ENSCPGP00000004236	ENSCPGG00000003130	Calidris_pygmaea
ENSCPUP00000000786	ENSCPUG00000000635	Calidris_pugnax
ENSCJPP00005024426	ENSCJPG00005019244	Coturnix_japonica
ENSMGAP00000013419	ENSMGAG00000012733	Meleagris_gallopavo
ENSGALP00000016737	ENSGALG00000010301	Gallus_gallus
ENSNMEP00000026559	ENSNMEG00000022373	Numida_meleagris
ENSARWP00000007924	ENSARWG00000005526	Apteryx_rowi
ENSAOWP00000004477	ENSAOWG00000003147	Apteryx_owenii
ENSAHAP00000012824	ENSAHAG00000009254	Apteryx_haastii
ENSDNVP00000002932	ENSDNVG00000002110	Dromaius_novaehollandiae
ENSABRP00000006517	ENSABRG00000005958	Anser_brachyrhynchus
ENSAPLP00000009871	ENSAPLG00000010140	Anas_platyrhynchos_platyrhynchos
ENSNPEP00000010275	ENSNPEG00000007714	Nothoprocta_perdicaria
ENSCPRP00005006891	ENSCPRG00005004792	Crocodylus_porosus
ENSCABP00000031117	ENSCABG00000022733	Chelonoidis_abingdonii
ENSGAGP00000027660	ENSGAGG00000020106	Gopherus_agassizii
ENSCPBP00000037885	ENSCPBG00000026237	Chrysemys_picta_bellii
ENSPSIP00000019659	ENSPSIG00000017425	Pelodiscus_sinensis
ENSPVIP00000026955	ENSPVIG00000020067	Pogona_vitticeps
ENSACAP00000016550	ENSACAG00000016798	Anolis_carolinensis
ENSNSUP00000002855	ENSNSUG00000002350	Notechis_scutatus
ENSSMRP00000016187	ENSSMRG00000012590	Salvator_merianae
ENSSPUP00000019210	ENSSPUG00000014804	Sphenodon_punctatus
ENSODEP00000020957	ENSODEG00000015442	Octodon_degus
ENSODEP00000008888	ENSODEG00000006647	Octodon_degus
ENSCLAP00000004787	ENSCLAG00000003404	Chinchilla_lanigera
ENSCPOP00000007333	ENSCPOG00000008155	Cavia_porcellus
ENSHGLP00100021954	ENSHGLG00100016163	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023171	ENSHGLG00000016520	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000021073	ENSFDAG00000007970	Fukomys_damarensis
ENSSTOP00000006511	ENSSTOG00000007283	Ictidomys_tridecemlineatus
ENSUPAP00010017739	ENSUPAG00010014118	Urocitellus_parryii
ENSSDAP00000021992	ENSSDAG00000020002	Spermophilus_dauricus
ENSMMMP00000021416	ENSMMMG00000018871	Marmota_marmota_marmota
ENSOGAP00000007372	ENSOGAG00000008234	Otolemur_garnettii
ENSPCOP00000009835	ENSPCOG00000016320	Propithecus_coquereli
ENSPSMP00000021320	ENSPSMG00000015056	Prolemur_simus
ENSPPAP00000016238	ENSPPAG00000031197	Pan_paniscus
ENSPTRP00000011120	ENSPTRG00000006547	Pan_troglodytes
ENSGGOP00000000506	ENSGGOG00000000514	Gorilla_gorilla
ENSP00000266126	ENSG00000119718	Homo_sapiens
ENSPPYP00000006817	ENSPPYG00000005996	Pongo_abelii
ENSNLEP00000019907	ENSNLEG00000016383	Nomascus_leucogenys
ENSRBIP00000032949	ENSRBIG00000040243	Rhinopithecus_bieti
ENSRROP00000038823	ENSRROG00000042761	Rhinopithecus_roxellana
ENSPTEP00000026405	ENSPTEG00000026478	Piliocolobus_tephrosceles
ENSCANP00000023199	ENSCANG00000034992	Colobus_angolensis_palliatus
ENSMFAP00000024340	ENSMFAG00000043749	Macaca_fascicularis
ENSMMUP00000003895	ENSMMUG00000002910	Macaca_mulatta
ENSMNEP00000020487	ENSMNEG00000034034	Macaca_nemestrina
ENSMLEP00000034937	ENSMLEG00000041601	Mandrillus_leucophaeus
ENSCATP00000044993	ENSCATG00000044945	Cercocebus_atys
ENSTGEP00000030708	ENSTGEG00000024629	Theropithecus_gelada
ENSPANP00000015589	ENSPANG00000006825	Papio_anubis
ENSCSAP00000008378	ENSCSAG00000012187	Chlorocebus_sabaeus
ENSCJAP00000055858	ENSCJAG00000044557	Callithrix_jacchus
ENSCCAP00000033952	ENSCCAG00000034957	Cebus_capucinus_imitator
ENSANAP00000014926	ENSANAG00000025345	Aotus_nancymaae
ENSPVAP00000000625	ENSPVAG00000000663	Pteropus_vampyrus
ENSMLUP00000005432	ENSMLUG00000005942	Myotis_lucifugus
ENSSSCP00000002576	ENSSSCG00000002377	Sus_scrofa_strain_reference
ENSVPAP00000002849	ENSVPAG00000003082	Vicugna_pacos
ENSCHIP00000022923	ENSCHIG00000020696	Capra_hircus
ENSOARP00000001640	ENSOARG00000001566	Ovis_aries
ENSBMUP00000009696	ENSBMUG00000007544	Bos_mutus
ENSBTAP00000011424	ENSBTAG00000008664	Bos_taurus
ENSBIXP00000039327	ENSBIXG00000023298	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000005607	ENSBBBG00000003247	Bison_bison_bison
ENSTTRP00000001803	ENSTTRG00000001921	Tursiops_truncatus
ENSEASP00005017379	ENSEASG00005012035	Equus_asinus_asinus
ENSSARP00000008008	ENSSARG00000008853	Sorex_araneus
ENSUAMP00000017038	ENSUAMG00000013519	Ursus_americanus
ENSUMAP00000010968	ENSUMAG00000008256	Ursus_maritimus
ENSAMEP00000019358	ENSAMEG00000018315	Ailuropoda_melanoleuca
ENSNVIP00000019844	ENSNVIG00000015550	Neovison_vison
ENSCAFP00000025032	ENSCAFG00000016998	Canis_lupus_familiaris
ENSCAFP00020002912	ENSCAFG00020002450	Canis_lupus_dingo
ENSVVUP00000030548	ENSVVUG00000022282	Vulpes_vulpes
ENSPPRP00000004110	ENSPPRG00000000321	Panthera_pardus
ENSPTIP00000017220	ENSPTIG00000015724	Panthera_tigris_altaica
ENSFCAP00000025655	ENSFCAG00000028235	Felis_catus
ENSEEUP00000009837	ENSEEUG00000010813	Erinaceus_europaeus
ENSECAP00000032803	ENSECAG00000000332	Equus_caballus
ENSMLUP00000019845	ENSMLUG00000022497	Myotis_lucifugus
ENSNVIP00000006709	ENSNVIG00000005323	Neovison_vison
ENSMPUP00000009165	ENSMPUG00000009241	Mustela_putorius_furo
ENSVVUP00000006790	ENSVVUG00000005229	Vulpes_vulpes
ENSDORP00000004578	ENSDORG00000004892	Dipodomys_ordii
ENSCCNP00000005461	ENSCCNG00000005811	Castor_canadensis
ENSPEMP00000034883	ENSPEMG00000028280	Peromyscus_maniculatus_bairdii
ENSSBOP00000001859	ENSSBOG00000009267	Saimiri_boliviensis_boliviensis
ENSCJAP00000077338	ENSCJAG00000068746	Callithrix_jacchus
ENSCHOP00000009640	ENSCHOG00000010892	Choloepus_hoffmanni
ENSDNOP00000025858	ENSDNOG00000032838	Dasypus_novemcinctus
ENSETEP00000008605	ENSETEG00000010596	Echinops_telfairi
ENSOCUP00000008770	ENSOCUG00000010175	Oryctolagus_cuniculus
ENSOPRP00000010844	ENSOPRG00000011892	Ochotona_princeps
ENSMICP00000005560	ENSMICG00000006100	Microcebus_murinus
ENSMSIP00000012256	ENSMSIG00000010687	Mus_spicilegus
MGP_SPRETEiJ_P0034395	MGP_SPRETEiJ_G0018806	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000004910	ENSMUSG00000004788	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0032881	MGP_CAROLIEiJ_G0017961	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0082997	MGP_PahariEiJ_G0029720	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000008730	ENSRNOG00000006467	Rattus_norvegicus
ENSMUGP00000016934	ENSMUGG00000014485	Meriones_unguiculatus
ENSCGRP00015001334	ENSCGRG00015001129	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001019993	ENSCGRG00001019280	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005798	ENSCGRG00000004251	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000016943	ENSMAUG00000015945	Mesocricetus_auratus
ENSMOCP00000004457	ENSMOCG00000003698	Microtus_ochrogaster
ENSPEMP00000004649	ENSPEMG00000007004	Peromyscus_maniculatus_bairdii
ENSNGAP00000009658	ENSNGAG00000012270	Nannospalax_galili
ENSJJAP00000013032	ENSJJAG00000015912	Jaculus_jaculus
ENSTSYP00000023105	ENSTSYG00000034108	Carlito_syrichta
ENSTBEP00000007659	ENSTBEG00000008840	Tupaia_belangeri
ENSCAPP00000010865	ENSCAPG00000012049	Cavia_aperea
ENSBIXP00005042117	ENSBIXG00005025394	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSLAFP00000013946	ENSLAFG00000016616	Loxodonta_africana
ENSPCAP00000007940	ENSPCAG00000008502	Procavia_capensis
ENSVURP00010023698	ENSVURG00010018164	Vombatus_ursinus
ENSPCIP00000010774	ENSPCIG00000008741	Phascolarctos_cinereus
ENSMEUP00000009234	ENSMEUG00000010119	Notamacropus_eugenii
