ENSCGRP00015033931	ENSCGRG00015025598	Cricetulus_griseus_CriGri-PICR
ENSMUGP00000027730	ENSMUGG00000023043	Meriones_unguiculatus
ENSUAMP00000008040	ENSUAMG00000006883	Ursus_americanus
ENSSBOP00000018140	ENSSBOG00000025700	Saimiri_boliviensis_boliviensis
ENSCJAP00000062504	ENSCJAG00000045871	Callithrix_jacchus
ENSCANP00000034699	ENSCANG00000041038	Colobus_angolensis_palliatus
ENSPTEP00000038011	ENSPTEG00000035444	Piliocolobus_tephrosceles
ENSRROP00000014438	ENSRROG00000031426	Rhinopithecus_roxellana
ENSPTEP00000040468	ENSPTEG00000037279	Piliocolobus_tephrosceles
ENSPTRP00000091290	ENSPTRG00000049645	Pan_troglodytes
ENSPPRP00000000575	ENSPPRG00000024729	Panthera_pardus	ENSPPRT00000034645
ENSPTIP00000003153	ENSPTIG00000005997	Panthera_tigris_altaica
ENSCATP00000044446	ENSCATG00000044704	Cercocebus_atys
ENSMFAP00000003966	ENSMFAG00000001709	Macaca_fascicularis
ENSPANP00000025049	ENSPANG00000030374	Papio_anubis
ENSMLEP00000007463	ENSMLEG00000027786	Mandrillus_leucophaeus
ENSCCAP00000029330	ENSCCAG00000032719	Cebus_capucinus_imitator
ENSOCUP00000048138	ENSOCUG00000039487	Oryctolagus_cuniculus
ENSCHIP00000033817	ENSCHIG00000027211	Capra_hircus
