ENSPMAP00000007695	ENSPMAG00000006967	Petromyzon_marinus	ENSPMAT00000007729
ENSPMAP00000010467	ENSPMAG00000009521	Petromyzon_marinus	ENSPMAT00000010513
ENSEBUP00000014736	ENSEBUG00000009288	Eptatretus_burgeri	ENSEBUT00000015312
ENSCABP00000002884	ENSCABG00000002218	Chelonoidis_abingdonii
ENSGAGP00000001775	ENSGAGG00000001422	Gopherus_agassizii
ENSCPBP00000036803	ENSCPBG00000025537	Chrysemys_picta_bellii
ENSPSIP00000002674	ENSPSIG00000002613	Pelodiscus_sinensis
ENSCPRP00005024561	ENSCPRG00005017080	Crocodylus_porosus
ENSSPUP00000002081	ENSSPUG00000001594	Sphenodon_punctatus
ENSCCEP00000017753	ENSCCEG00000016384	Cyanistes_caeruleus
ENSPMJP00000021650	ENSPMJG00000016087	Parus_major
ENSFALP00000011526	ENSFALG00000011045	Ficedula_albicollis
ENSLSDP00000024600	ENSLSDG00000017252	Lonchura_striata_domestica
ENSTGUP00000002784	ENSTGUG00000002687	Taeniopygia_guttata
ENSSCAP00000012629	ENSSCAG00000009431	Serinus_canaria
ENSZALP00000013930	ENSZALG00000011582	Zonotrichia_albicollis
ENSMVIP00005023343	ENSMVIG00005016376	Manacus_vitellinus
ENSLCOP00000011664	ENSLCOG00000008473	Lepidothrix_coronata
ENSMVIP00005011423	ENSMVIG00005008330	Manacus_vitellinus
ENSMUNP00000017425	ENSMUNG00000013391	Melopsittacus_undulatus
ENSCPUP00000022013	ENSCPUG00000014957	Calidris_pugnax
ENSCPGP00000014870	ENSCPGG00000010499	Calidris_pygmaea
ENSABRP00000024647	ENSABRG00000020707	Anser_brachyrhynchus
ENSAPLP00000009429	ENSAPLG00000009673	Anas_platyrhynchos_platyrhynchos
ENSGALP00000073857	ENSGALG00000014732	Gallus_gallus
ENSMGAP00000018983	ENSMGAG00000017394	Meleagris_gallopavo
ENSCJPP00005001555	ENSCJPG00005001577	Coturnix_japonica
ENSNMEP00000006832	ENSNMEG00000006964	Numida_meleagris
ENSAHAP00000019408	ENSAHAG00000013733	Apteryx_haastii
ENSARWP00000014558	ENSARWG00000010081	Apteryx_rowi
ENSAOWP00000028049	ENSAOWG00000018889	Apteryx_owenii
ENSDNVP00000024708	ENSDNVG00000017182	Dromaius_novaehollandiae
ENSNPEP00000000085	ENSNPEG00000000085	Nothoprocta_perdicaria
ENSPVIP00000014954	ENSPVIG00000011522	Pogona_vitticeps
ENSACAP00000008781	ENSACAG00000008899	Anolis_carolinensis
ENSSMRP00000024560	ENSSMRG00000019016	Salvator_merianae
ENSPCIP00000017880	ENSPCIG00000013639	Phascolarctos_cinereus
ENSVURP00010027388	ENSVURG00010020966	Vombatus_ursinus
ENSMEUP00000012969	ENSMEUG00000014211	Notamacropus_eugenii
ENSSHAP00000001764	ENSSHAG00000001573	Sarcophilus_harrisii
ENSMODP00000024442	ENSMODG00000019590	Monodelphis_domestica
ENSHGLP00000027443	ENSHGLG00000019517	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100010345	ENSHGLG00100007692	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000002656	ENSHGLG00000002002	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000017427	ENSFDAG00000005995	Fukomys_damarensis
ENSCLAP00000006938	ENSCLAG00000004884	Chinchilla_lanigera
ENSODEP00000023002	ENSODEG00000016868	Octodon_degus
ENSCPOP00000004183	ENSCPOG00000004642	Cavia_porcellus
ENSCAPP00000006310	ENSCAPG00000008506	Cavia_aperea
ENSSTOP00000004762	ENSSTOG00000005308	Ictidomys_tridecemlineatus
ENSSDAP00000020081	ENSSDAG00000018297	Spermophilus_dauricus
ENSSDAP00000009080	ENSSDAG00000008269	Spermophilus_dauricus
ENSSDAP00000005522	ENSSDAG00000005168	Spermophilus_dauricus
ENSUPAP00010013218	ENSUPAG00010010682	Urocitellus_parryii
ENSMMMP00000009015	ENSMMMG00000008052	Marmota_marmota_marmota
ENSDORP00000006802	ENSDORG00000007258	Dipodomys_ordii
ENSCCNP00000019826	ENSCCNG00000019883	Castor_canadensis
ENSCGRP00001020964	ENSCGRG00001019960	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015002823	ENSCGRG00015002272	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000003600	ENSCGRG00000002652	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000016538	ENSMAUG00000015641	Mesocricetus_auratus
ENSMOCP00000008117	ENSMOCG00000008038	Microtus_ochrogaster
ENSPEMP00000025428	ENSPEMG00000021860	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0037097	MGP_SPRETEiJ_G0019757	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000059211	ENSMUSG00000021694	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000000146	ENSMSIG00000000178	Mus_spicilegus
MGP_CAROLIEiJ_P0035420	MGP_CAROLIEiJ_G0018878	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0027081	MGP_PahariEiJ_G0015949	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000013598	ENSRNOG00000009968	Rattus_norvegicus
ENSMUGP00000000569	ENSMUGG00000000564	Meriones_unguiculatus
ENSNGAP00000011572	ENSNGAG00000013684	Nannospalax_galili
ENSJJAP00000000878	ENSJJAG00000000681	Jaculus_jaculus
ENSOCUP00000043584	ENSOCUG00000004519	Oryctolagus_cuniculus
ENSOPRP00000012482	ENSOPRG00000013687	Ochotona_princeps
ENSTBEP00000000321	ENSTBEG00000000371	Tupaia_belangeri
ENSPTRP00000028950	ENSPTRG00000016905	Pan_troglodytes
ENSPPAP00000012407	ENSPPAG00000029388	Pan_paniscus
ENSGGOP00000003243	ENSGGOG00000003300	Gorilla_gorilla
ENSPPYP00000017309	ENSPPYG00000015490	Pongo_abelii
ENSNLEP00000003414	ENSNLEG00000002757	Nomascus_leucogenys
ENSMLEP00000016375	ENSMLEG00000032387	Mandrillus_leucophaeus
ENSPANP00000002543	ENSPANG00000012022	Papio_anubis
ENSTGEP00000018944	ENSTGEG00000015256	Theropithecus_gelada
ENSMFAP00000003232	ENSMFAG00000037556	Macaca_fascicularis
ENSMNEP00000023383	ENSMNEG00000035298	Macaca_nemestrina
ENSMMUP00000028727	ENSMMUG00000021812	Macaca_mulatta
ENSCATP00000012584	ENSCATG00000030457	Cercocebus_atys
ENSCSAP00000012124	ENSCSAG00000016051	Chlorocebus_sabaeus
ENSRROP00000003262	ENSRROG00000012943	Rhinopithecus_roxellana
ENSPTEP00000015082	ENSPTEG00000016788	Piliocolobus_tephrosceles
ENSCANP00000012108	ENSCANG00000029434	Colobus_angolensis_palliatus
ENSRBIP00000025822	ENSRBIG00000036790	Rhinopithecus_bieti
ENSP00000265038	ENSG00000049167	Homo_sapiens
ENSSBOP00000010321	ENSSBOG00000022016	Saimiri_boliviensis_boliviensis
ENSCCAP00000022098	ENSCCAG00000028862	Cebus_capucinus_imitator
ENSCJAP00000028308	ENSCJAG00000015351	Callithrix_jacchus
ENSANAP00000005027	ENSANAG00000020580	Aotus_nancymaae
ENSTSYP00000012387	ENSTSYG00000013499	Carlito_syrichta
ENSPCOP00000015960	ENSPCOG00000019735	Propithecus_coquereli
ENSMICP00000008111	ENSMICG00000008906	Microcebus_murinus
ENSPSMP00000021649	ENSPSMG00000015252	Prolemur_simus
ENSOGAP00000018423	ENSOGAG00000013889	Otolemur_garnettii
ENSPVAP00000016334	ENSPVAG00000017315	Pteropus_vampyrus
ENSMLUP00000006598	ENSMLUG00000007222	Myotis_lucifugus
ENSEASP00005017126	ENSEASG00005011856	Equus_asinus_asinus
ENSECAP00000036711	ENSECAG00000018335	Equus_caballus
ENSUMAP00000011886	ENSUMAG00000008905	Ursus_maritimus
ENSUAMP00000006546	ENSUAMG00000005733	Ursus_americanus
ENSAMEP00000004515	ENSAMEG00000004246	Ailuropoda_melanoleuca
ENSMPUP00000007298	ENSMPUG00000007355	Mustela_putorius_furo
ENSNVIP00000010333	ENSNVIG00000008166	Neovison_vison
ENSCAFP00000056314	ENSCAFG00000007150	Canis_lupus_familiaris
ENSVVUP00000000537	ENSVVUG00000000470	Vulpes_vulpes
ENSCAFP00020030562	ENSCAFG00020023820	Canis_lupus_dingo
ENSPPRP00000012555	ENSPPRG00000006054	Panthera_pardus
ENSPTIP00000021116	ENSPTIG00000018370	Panthera_tigris_altaica
ENSFCAP00000054354	ENSFCAG00000026531	Felis_catus
ENSBIXP00000032471	ENSBIXG00000015085	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005033009	ENSBIXG00005006431	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000028792	ENSBTAG00000021606	Bos_taurus
ENSBMUP00000007491	ENSBMUG00000005894	Bos_mutus
ENSBBBP00000007056	ENSBBBG00000003793	Bison_bison_bison
ENSOARP00000007586	ENSOARG00000007073	Ovis_aries
ENSCHIP00000016372	ENSCHIG00000016647	Capra_hircus
ENSTTRP00000004184	ENSTTRG00000004434	Tursiops_truncatus
ENSSSCP00000071548	ENSSSCG00000016934	Sus_scrofa_strain_reference
ENSVPAP00000006988	ENSVPAG00000007510	Vicugna_pacos
ENSEEUP00000004017	ENSEEUG00000004412	Erinaceus_europaeus
ENSSARP00000005989	ENSSARG00000006574	Sorex_araneus
ENSPCAP00000007188	ENSPCAG00000007685	Procavia_capensis
ENSETEP00000012481	ENSETEG00000015395	Echinops_telfairi
ENSLAFP00000010702	ENSLAFG00000012799	Loxodonta_africana
ENSDNOP00000007044	ENSDNOG00000009089	Dasypus_novemcinctus
ENSCHOP00000002930	ENSCHOG00000003306	Choloepus_hoffmanni
ENSXETP00000017770	ENSXETG00000002054	Xenopus_tropicalis
ENSLACP00000014793	ENSLACG00000013022	Latimeria_chalumnae
ENSPNAP00000028969	ENSPNAG00000003280	Pygocentrus_nattereri
ENSAMXP00000032805	ENSAMXG00000043719	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000011913	ENSIPUG00000008060	Ictalurus_punctatus
ENSEEEP00000024178	ENSEEEG00000011665	Electrophorus_electricus
ENSDARP00000091471	ENSDARG00000069283	Danio_rerio
ENSDCDP00000047109	ENSDCDG00000029391	Denticeps_clupeoides
ENSAOCP00000025237	ENSAOCG00000012698	Amphiprion_ocellaris
ENSAPEP00000006261	ENSAPEG00000004496	Amphiprion_percula
ENSAPOP00000009411	ENSAPOG00000011713	Acanthochromis_polyacanthus
ENSSPAP00000029159	ENSSPAG00000021920	Stegastes_partitus
ENSPRNP00000002314	ENSPRNG00000001393	Parambassis_ranga
ENSMZEP00005008000	ENSMZEG00005006069	Maylandia_zebra
ENSPNYP00000012512	ENSPNYG00000009486	Pundamilia_nyererei
ENSACLP00000023329	ENSACLG00000015767	Astatotilapia_calliptera
ENSHBUP00000023891	ENSHBUG00000004984	Haplochromis_burtoni
ENSONIP00000019009	ENSONIG00000015105	Oreochromis_niloticus
ENSNBRP00000017142	ENSNBRG00000013217	Neolamprologus_brichardi
ENSACIP00000003442	ENSACIG00000002718	Amphilophus_citrinellus
ENSPMEP00000025615	ENSPMEG00000008722	Poecilia_mexicana
ENSPLAP00000030666	ENSPLAG00000021968	Poecilia_latipinna
ENSPFOP00000023165	ENSPFOG00000019218	Poecilia_formosa
ENSPREP00000026087	ENSPREG00000017626	Poecilia_reticulata
ENSXMAP00000015622	ENSXMAG00000015583	Xiphophorus_maculatus
ENSXCOP00000006809	ENSXCOG00000005270	Xiphophorus_couchianus
ENSGAFP00000019504	ENSGAFG00000013170	Gambusia_affinis
ENSFHEP00000015379	ENSFHEG00000017021	Fundulus_heteroclitus
ENSCVAP00000009414	ENSCVAG00000011371	Cyprinodon_variegatus
ENSKMAP00000019650	ENSKMAG00000014623	Kryptolebias_marmoratus
ENSORLP00015027546	ENSORLG00015009638	Oryzias_latipes_ASM223469v1
ENSORLP00000005732	ENSORLG00000004560	Oryzias_latipes_ASM223467v1
ENSORLP00020020040	ENSORLG00020000627	Oryzias_latipes_ASM223471v1
ENSOMEP00000020665	ENSOMEG00000022571	Oryzias_melastigma
ENSMALP00000023414	ENSMALG00000016304	Monopterus_albus
ENSMAMP00000031274	ENSMAMG00000021062	Mastacembelus_armatus
ENSBSLP00000020564	ENSBSLG00000010446	Betta_splendens
ENSATEP00000023291	ENSATEG00000016111	Anabas_testudineus
ENSSDUP00000000377	ENSSDUG00000000325	Seriola_dumerili
ENSSLDP00000026491	ENSSLDG00000020580	Seriola_lalandi_dorsalis
ENSSMAP00000002810	ENSSMAG00000001720	Scophthalmus_maximus
ENSLCAP00010005790	ENSLCAG00010002860	Lates_calcarifer
ENSCGOP00000036296	ENSCGOG00000016748	Cottoperca_gobio
ENSLBEP00000022526	ENSLBEG00000017268	Labrus_bergylta
ENSGACP00000009477	ENSGACG00000007129	Gasterosteus_aculeatus
ENSTRUP00000035459	ENSTRUG00000013865	Takifugu_rubripes
ENSTNIP00000020743	ENSTNIG00000017597	Tetraodon_nigroviridis
ENSMMOP00000002348	ENSMMOG00000001915	Mola_mola
ENSLCRP00005042111	ENSLCRG00005016148	Larimichthys_crocea
ENSCSEP00000026201	ENSCSEG00000016717	Cynoglossus_semilaevis
