ENSUAMP00000033115	ENSUAMG00000025241	Ursus_americanus	ENSUAMT00000036898
ENSUMAP00000034415	ENSUMAG00000024762	Ursus_maritimus	ENSUMAT00000040700
ENSMPUP00000006578	ENSMPUG00000006632	Mustela_putorius_furo
ENSNVIP00000016466	ENSNVIG00000012902	Neovison_vison
ENSCAFP00020019056	ENSCAFG00020015138	Canis_lupus_dingo
ENSCAFP00000062998	ENSCAFG00000032211	Canis_lupus_familiaris
ENSVVUP00000008744	ENSVVUG00000006541	Vulpes_vulpes
ENSPPRP00000027247	ENSPPRG00000018556	Panthera_pardus
ENSBIXP00000013286	ENSBIXG00000018240	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005021979	ENSBIXG00005004250	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000067308	ENSBTAG00000051066	Bos_taurus
ENSBMUP00000022118	ENSBMUG00000016653	Bos_mutus
ENSTTRP00000002889	ENSTTRG00000003079	Tursiops_truncatus
ENSEASP00005030060	ENSEASG00005020461	Equus_asinus_asinus
ENSECAP00000001094	ENSECAG00000001608	Equus_caballus
ENSPVAP00000007959	ENSPVAG00000008428	Pteropus_vampyrus
ENSTSYP00000028306	ENSTSYG00000035291	Carlito_syrichta
ENSSARP00000001481	ENSSARG00000001620	Sorex_araneus
ENSPSMP00000024541	ENSPSMG00000017305	Prolemur_simus
ENSMICP00000034260	ENSMICG00000034282	Microcebus_murinus
ENSOGAP00000015388	ENSOGAG00000017178	Otolemur_garnettii
ENSPTRP00000019860	ENSPTRG00000022542	Pan_troglodytes
ENSPPAP00000036912	ENSPPAG00000041219	Pan_paniscus
ENSP00000328245	ENSG00000197951	Homo_sapiens
ENSGGOP00000014523	ENSGGOG00000014884	Gorilla_gorilla
ENSPPYP00000011710	ENSPPYG00000010453	Pongo_abelii
ENSNLEP00000038697	ENSNLEG00000010873	Nomascus_leucogenys
ENSPTEP00000001075	ENSPTEG00000001169	Piliocolobus_tephrosceles
ENSCANP00000004781	ENSCANG00000016520	Colobus_angolensis_palliatus
ENSRROP00000002277	ENSRROG00000009329	Rhinopithecus_roxellana
ENSRBIP00000001748	ENSRBIG00000008900	Rhinopithecus_bieti
ENSTGEP00000017664	ENSTGEG00000014292	Theropithecus_gelada
ENSPANP00000004114	ENSPANG00000024277	Papio_anubis
ENSMLEP00000001949	ENSMLEG00000007723	Mandrillus_leucophaeus
ENSCATP00000022435	ENSCATG00000034845	Cercocebus_atys
ENSMMUP00000042433	ENSMMUG00000021675	Macaca_mulatta
ENSMFAP00000009235	ENSMFAG00000000918	Macaca_fascicularis
ENSMNEP00000005984	ENSMNEG00000026705	Macaca_nemestrina
ENSCSAP00000019154	ENSCSAG00000019658	Chlorocebus_sabaeus
ENSANAP00000035984	ENSANAG00000035516	Aotus_nancymaae
ENSCJAP00000037752	ENSCJAG00000020302	Callithrix_jacchus
ENSCCNP00000005515	ENSCCNG00000005871	Castor_canadensis
ENSSTOP00000024543	ENSSTOG00000034874	Ictidomys_tridecemlineatus
ENSPCAP00000002670	ENSPCAG00000002876	Procavia_capensis
