ENSTGUP00000004600	ENSTGUG00000004460	Taeniopygia_guttata
ENSLSDP00000005906	ENSLSDG00000004546	Lonchura_striata_domestica
ENSSCAP00000001834	ENSSCAG00000001580	Serinus_canaria
ENSPMJP00000024038	ENSPMJG00000017693	Parus_major
ENSCCEP00000012977	ENSCCEG00000012469	Cyanistes_caeruleus
ENSZALP00000016694	ENSZALG00000013527	Zonotrichia_albicollis
ENSFALP00000003175	ENSFALG00000003049	Ficedula_albicollis
ENSMVIP00005010500	ENSMVIG00005007715	Manacus_vitellinus
ENSCPGP00000000889	ENSCPGG00000000701	Calidris_pygmaea	ENSCPGT00000000995
ENSCPUP00000008805	ENSCPUG00000006281	Calidris_pugnax	ENSCPUT00000010526
ENSMUNP00000017591	ENSMUNG00000013511	Melopsittacus_undulatus
ENSNMEP00000011312	ENSNMEG00000010635	Numida_meleagris
ENSCJPP00005008557	ENSCJPG00005007638	Coturnix_japonica
ENSABRP00000012923	ENSABRG00000011560	Anser_brachyrhynchus
ENSAPLP00000006849	ENSAPLG00000007190	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000012937	ENSAOWG00000008834	Apteryx_owenii
ENSAHAP00000005007	ENSAHAG00000003883	Apteryx_haastii
ENSARWP00000011721	ENSARWG00000008109	Apteryx_rowi
ENSDNVP00000006255	ENSDNVG00000004485	Dromaius_novaehollandiae
ENSNPEP00000015685	ENSNPEG00000011699	Nothoprocta_perdicaria
ENSCPRP00005000896	ENSCPRG00005000664	Crocodylus_porosus	ENSCPRT00005001046
ENSGAGP00000008506	ENSGAGG00000006758	Gopherus_agassizii	ENSGAGT00000009791
ENSCABP00000029171	ENSCABG00000021412	Chelonoidis_abingdonii	ENSCABT00000031967
ENSPSIP00000012701	ENSPSIG00000011372	Pelodiscus_sinensis	ENSPSIT00000012762
ENSPVIP00000008234	ENSPVIG00000006654	Pogona_vitticeps
ENSMEUP00000013871	ENSMEUG00000015197	Notamacropus_eugenii
ENSPCIP00000016198	ENSPCIG00000012532	Phascolarctos_cinereus
ENSMODP00000018579	ENSMODG00000014850	Monodelphis_domestica
ENSSHAP00000005805	ENSSHAG00000005065	Sarcophilus_harrisii
ENSPEMP00000009408	ENSPEMG00000010691	Peromyscus_maniculatus_bairdii
ENSMOCP00000026503	ENSMOCG00000022289	Microtus_ochrogaster
ENSCGRP00001024598	ENSCGRG00001022450	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000001647	ENSCGRG00000001246	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015020289	ENSCGRG00015015448	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000015708	ENSMAUG00000015086	Mesocricetus_auratus
ENSMUSP00000030212	ENSMUSG00000028488	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000025777	ENSMSIG00000021744	Mus_spicilegus
MGP_SPRETEiJ_P0065324	MGP_SPRETEiJ_G0027093	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0062844	MGP_CAROLIEiJ_G0026128	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0077980	MGP_PahariEiJ_G0028466	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000008999	ENSRNOG00000006761	Rattus_norvegicus
ENSNGAP00000003581	ENSNGAG00000004166	Nannospalax_galili
ENSJJAP00000015463	ENSJJAG00000017618	Jaculus_jaculus
ENSDORP00000000579	ENSDORG00000000622	Dipodomys_ordii
ENSHGLP00000018012	ENSHGLG00000012899	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100012539	ENSHGLG00100009289	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000004693	ENSFDAG00000013868	Fukomys_damarensis
ENSODEP00000019906	ENSODEG00000014695	Octodon_degus
ENSCPOP00000013865	ENSCPOG00000015380	Cavia_porcellus
ENSCLAP00000018036	ENSCLAG00000012375	Chinchilla_lanigera
ENSUPAP00010023512	ENSUPAG00010018638	Urocitellus_parryii
ENSSDAP00000014309	ENSSDAG00000012880	Spermophilus_dauricus
ENSMMMP00000007631	ENSMMMG00000006807	Marmota_marmota_marmota
ENSOCUP00000001028	ENSOCUG00000001183	Oryctolagus_cuniculus
ENSTBEP00000013752	ENSTBEG00000015852	Tupaia_belangeri
ENSPTRP00000081977	ENSPTRG00000020792	Pan_troglodytes
ENSPPAP00000004916	ENSPPAG00000020499	Pan_paniscus
ENSP00000369981	ENSG00000107295	Homo_sapiens
ENSGGOP00000029900	ENSGGOG00000007684	Gorilla_gorilla
ENSNLEP00000047778	ENSNLEG00000017566	Nomascus_leucogenys
ENSMLEP00000019823	ENSMLEG00000034118	Mandrillus_leucophaeus
ENSCATP00000001027	ENSCATG00000004445	Cercocebus_atys
ENSTGEP00000018020	ENSTGEG00000014578	Theropithecus_gelada
ENSCSAP00000005564	ENSCSAG00000009307	Chlorocebus_sabaeus
ENSMMUP00000075118	ENSMMUG00000011704	Macaca_mulatta
ENSPTEP00000009701	ENSPTEG00000011016	Piliocolobus_tephrosceles
ENSCANP00000024435	ENSCANG00000035632	Colobus_angolensis_palliatus
ENSRBIP00000007301	ENSRBIG00000027542	Rhinopithecus_bieti
ENSRROP00000040746	ENSRROG00000043603	Rhinopithecus_roxellana
ENSCJAP00000023303	ENSCJAG00000012694	Callithrix_jacchus
ENSCCAP00000030152	ENSCCAG00000033089	Cebus_capucinus_imitator
ENSANAP00000032108	ENSANAG00000033728	Aotus_nancymaae
ENSTSYP00000012825	ENSTSYG00000013975	Carlito_syrichta
ENSPCOP00000029897	ENSPCOG00000027654	Propithecus_coquereli
ENSPSMP00000004936	ENSPSMG00000003830	Prolemur_simus
ENSMICP00000008885	ENSMICG00000009761	Microcebus_murinus
ENSOGAP00000012517	ENSOGAG00000013983	Otolemur_garnettii
ENSMNEP00000017295	ENSMNEG00000032599	Macaca_nemestrina
ENSMFAP00000024459	ENSMFAG00000043791	Macaca_fascicularis
ENSPANP00000019199	ENSPANG00000025232	Papio_anubis
ENSSBOP00000032996	ENSSBOG00000032645	Saimiri_boliviensis_boliviensis
ENSMUGP00000027627	ENSMUGG00000022944	Meriones_unguiculatus
ENSEEUP00000014279	ENSEEUG00000015643	Erinaceus_europaeus
ENSSARP00000000127	ENSSARG00000000138	Sorex_araneus
ENSUMAP00000023744	ENSUMAG00000017265	Ursus_maritimus
ENSUAMP00000003432	ENSUAMG00000003082	Ursus_americanus
ENSAMEP00000011396	ENSAMEG00000010823	Ailuropoda_melanoleuca
ENSNVIP00000027519	ENSNVIG00000021266	Neovison_vison
ENSMPUP00000003960	ENSMPUG00000003993	Mustela_putorius_furo
ENSCAFP00020016064	ENSCAFG00020012892	Canis_lupus_dingo
ENSCAFP00000002279	ENSCAFG00000001567	Canis_lupus_familiaris
ENSVVUP00000000452	ENSVVUG00000000404	Vulpes_vulpes
ENSPPRP00000024081	ENSPPRG00000014326	Panthera_pardus
ENSPTIP00000006475	ENSPTIG00000008377	Panthera_tigris_altaica
ENSFCAP00000004236	ENSFCAG00000004584	Felis_catus
ENSMLUP00000001119	ENSMLUG00000001222	Myotis_lucifugus
ENSSSCP00000005565	ENSSSCG00000005177	Sus_scrofa_strain_reference
ENSVPAP00000009566	ENSVPAG00000010283	Vicugna_pacos
ENSCHIP00000022322	ENSCHIG00000020328	Capra_hircus
ENSOARP00000015143	ENSOARG00000014106	Ovis_aries
ENSBIXP00005021057	ENSBIXG00005024065	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000037899	ENSBIXG00000021608	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000018755	ENSBTAG00000014103	Bos_taurus
ENSBMUP00000031058	ENSBMUG00000023179	Bos_mutus
ENSBBBP00000009952	ENSBBBG00000018088	Bison_bison_bison
ENSTTRP00000010711	ENSTTRG00000011299	Tursiops_truncatus
ENSECAP00000008025	ENSECAG00000009922	Equus_caballus
ENSEASP00005028367	ENSEASG00005019277	Equus_asinus_asinus
ENSPVAP00000015985	ENSPVAG00000016946	Pteropus_vampyrus
ENSCHOP00000001587	ENSCHOG00000001799	Choloepus_hoffmanni
ENSCHOP00000001493	ENSCHOG00000001689	Choloepus_hoffmanni
ENSDNOP00000028538	ENSDNOG00000030625	Dasypus_novemcinctus
ENSLAFP00000004592	ENSLAFG00000005475	Loxodonta_africana
ENSPCAP00000008948	ENSPCAG00000009618	Procavia_capensis
ENSETEP00000014165	ENSETEG00000017445	Echinops_telfairi
ENSOANP00000005301	ENSOANG00000003340	Ornithorhynchus_anatinus
ENSLACP00000017724	ENSLACG00000015611	Latimeria_chalumnae
ENSOANP00000031857	ENSOANG00000031261	Ornithorhynchus_anatinus	ENSOANT00000041106
ENSEEEP00000000487	ENSEEEG00000000359	Electrophorus_electricus
ENSDARP00000067629	ENSDARG00000039901	Danio_rerio
ENSELUP00000030454	ENSELUG00000007677	Esox_lucius
ENSAMXP00000014406	ENSAMXG00000013995	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000009854	ENSPNAG00000015357	Pygocentrus_nattereri
ENSEEEP00000048038	ENSEEEG00000022634	Electrophorus_electricus
ENSDARP00000085044	ENSDARG00000023600	Danio_rerio
ENSDCDP00000014676	ENSDCDG00000010885	Denticeps_clupeoides
ENSFHEP00000017196	ENSFHEG00000018948	Fundulus_heteroclitus
ENSCVAP00000010813	ENSCVAG00000013080	Cyprinodon_variegatus
ENSPFOP00000008544	ENSPFOG00000008503	Poecilia_formosa
ENSPLAP00000008524	ENSPLAG00000011121	Poecilia_latipinna
ENSPMEP00000032759	ENSPMEG00000020875	Poecilia_mexicana
ENSPREP00000003034	ENSPREG00000002204	Poecilia_reticulata
ENSXCOP00000014629	ENSXCOG00000011100	Xiphophorus_couchianus
ENSXMAP00000032012	ENSXMAG00000022099	Xiphophorus_maculatus
ENSGAFP00000024353	ENSGAFG00000016430	Gambusia_affinis
ENSKMAP00000003003	ENSKMAG00000002271	Kryptolebias_marmoratus
ENSBSLP00000000112	ENSBSLG00000000051	Betta_splendens
ENSTNIP00000001004	ENSTNIG00000011037	Tetraodon_nigroviridis
ENSTRUP00000026651	ENSTRUG00000010559	Takifugu_rubripes
ENSSLDP00000030069	ENSSLDG00000023184	Seriola_lalandi_dorsalis
ENSSDUP00000011489	ENSSDUG00000008361	Seriola_dumerili
ENSLCAP00010011137	ENSLCAG00010005275	Lates_calcarifer
ENSLCAP00010002585	ENSLCAG00010001440	Lates_calcarifer
ENSGACP00000022977	ENSGACG00000017387	Gasterosteus_aculeatus
ENSLBEP00000020923	ENSLBEG00000015982	Labrus_bergylta
ENSCGOP00000000209	ENSCGOG00000000142	Cottoperca_gobio
ENSLCRP00005017916	ENSLCRG00005006998	Larimichthys_crocea
ENSAPEP00000019071	ENSAPEG00000013596	Amphiprion_percula
ENSAOCP00000025199	ENSAOCG00000012617	Amphiprion_ocellaris
ENSAPOP00000011190	ENSAPOG00000013740	Acanthochromis_polyacanthus
ENSSPAP00000015940	ENSSPAG00000011987	Stegastes_partitus
ENSSMAP00000010398	ENSSMAG00000006359	Scophthalmus_maximus
ENSMMOP00000008077	ENSMMOG00000006262	Mola_mola
ENSMALP00000000621	ENSMALG00000000472	Monopterus_albus
