ENSSFOP00015016143	ENSSFOG00015010420	Scleropages_formosus	ENSSFOT00015016329
ENSPKIP00000020239	ENSPKIG00000005074	Paramormyrops_kingsleyae	ENSPKIT00000000853
ENSHHUP00000048079	ENSHHUG00000029173	Hucho_hucho
ENSELUP00000007197	ENSELUG00000007995	Esox_lucius
ENSFHEP00000013171	ENSFHEG00000014658	Fundulus_heteroclitus
ENSCVAP00000007593	ENSCVAG00000009292	Cyprinodon_variegatus
ENSPFOP00000030854	ENSPFOG00000023348	Poecilia_formosa
ENSPLAP00000002719	ENSPLAG00000004053	Poecilia_latipinna
ENSPREP00000012684	ENSPREG00000008615	Poecilia_reticulata
ENSPMEP00000000264	ENSPMEG00000000993	Poecilia_mexicana
ENSXCOP00000001840	ENSXCOG00000001485	Xiphophorus_couchianus
ENSXMAP00000041102	ENSXMAG00000016195	Xiphophorus_maculatus
ENSGAFP00000023339	ENSGAFG00000015759	Gambusia_affinis
ENSKMAP00000001016	ENSKMAG00000000749	Kryptolebias_marmoratus
ENSORLP00020011372	ENSORLG00020012307	Oryzias_latipes_ASM223471v1
ENSORLP00000009672	ENSORLG00000007724	Oryzias_latipes_ASM223467v1
ENSORLP00015001965	ENSORLG00015000065	Oryzias_latipes_ASM223469v1
ENSOMEP00000016825	ENSOMEG00000018507	Oryzias_melastigma
ENSAPEP00000023362	ENSAPEG00000016579	Amphiprion_percula
ENSAOCP00000000074	ENSAOCG00000002895	Amphiprion_ocellaris
ENSAPOP00000010655	ENSAPOG00000013135	Acanthochromis_polyacanthus
ENSSPAP00000002627	ENSSPAG00000001981	Stegastes_partitus
ENSPNYP00000009262	ENSPNYG00000007008	Pundamilia_nyererei
ENSACLP00000033549	ENSACLG00000022708	Astatotilapia_calliptera
ENSMZEP00005034936	ENSMZEG00005026131	Maylandia_zebra
ENSHBUP00000015420	ENSHBUG00000017356	Haplochromis_burtoni
ENSNBRP00000022222	ENSNBRG00000017031	Neolamprologus_brichardi
ENSONIP00000017415	ENSONIG00000013850	Oreochromis_niloticus
ENSGWIP00000013886	ENSGWIG00000007880	Gouania_willdenowi
ENSSDUP00000011488	ENSSDUG00000008382	Seriola_dumerili
ENSSLDP00000008964	ENSSLDG00000007106	Seriola_lalandi_dorsalis
ENSLCAP00010027958	ENSLCAG00010013149	Lates_calcarifer
ENSSMAP00000030459	ENSSMAG00000018668	Scophthalmus_maximus
ENSBSLP00000036139	ENSBSLG00000017653	Betta_splendens
ENSATEP00000005122	ENSATEG00000003577	Anabas_testudineus
