ENSNLEP00000048452	ENSNLEG00000031202	Nomascus_leucogenys
ENSSBOP00000017264	ENSSBOG00000025287	Saimiri_boliviensis_boliviensis
ENSGMOP00000013245	ENSGMOG00000012373	Gadus_morhua
ENSCPBP00000013981	ENSCPBG00000010412	Chrysemys_picta_bellii
ENSCPUP00000009274	ENSCPUG00000006609	Calidris_pugnax
ENSCHIP00000014491	ENSCHIG00000015498	Capra_hircus
ENSPPAP00000000922	ENSPPAG00000003691	Pan_paniscus
ENSCSEP00000031047	ENSCSEG00000019860	Cynoglossus_semilaevis
ENSPFOP00000007175	ENSPFOG00000007275	Poecilia_formosa
ENSSCAP00000005754	ENSSCAG00000004558	Serinus_canaria
ENSSDAP00000011120	ENSSDAG00000010048	Spermophilus_dauricus
ENSHBUP00000011667	ENSHBUG00000013343	Haplochromis_burtoni
ENSLCAP00010024275	ENSLCAG00010011375	Lates_calcarifer
ENSCJAP00000070062	ENSCJAG00000001657	Callithrix_jacchus
ENSNBRP00000026743	ENSNBRG00000020414	Neolamprologus_brichardi
ENSPRNP00000031093	ENSPRNG00000015551	Parambassis_ranga
ENSGACP00000000449	ENSGACG00000000351	Gasterosteus_aculeatus
ENSCABP00000019744	ENSCABG00000014576	Chelonoidis_abingdonii	ENSCABT00000021632
ENSMUGP00000025915	ENSMUGG00000021618	Meriones_unguiculatus
ENSECRP00000030893	ENSECRG00000020955	Erpetoichthys_calabaricus
ENSHHUP00000035794	ENSHHUG00000022500	Hucho_hucho
ENSAOCP00000014057	ENSAOCG00000018666	Amphiprion_ocellaris
ENSLACP00000009740	ENSLACG00000008588	Latimeria_chalumnae
ENSCCNP00000026168	ENSCCNG00000025427	Castor_canadensis
ENSXMAP00000027522	ENSXMAG00000023920	Xiphophorus_maculatus
ENSBSLP00000027669	ENSBSLG00000013686	Betta_splendens
ENSSPUP00000005003	ENSSPUG00000003857	Sphenodon_punctatus	ENSSPUT00000005318
ENSELUP00000000898	ENSELUG00000002451	Esox_lucius
ENSCLAP00000023764	ENSCLAG00000016306	Chinchilla_lanigera
ENSEEEP00000010277	ENSEEEG00000005176	Electrophorus_electricus
ENSPCIP00000034394	ENSPCIG00000025458	Phascolarctos_cinereus
ENSLSDP00000004724	ENSLSDG00000003697	Lonchura_striata_domestica
ENSMAUP00000021818	ENSMAUG00000019420	Mesocricetus_auratus
ENSVVUP00000032877	ENSVVUG00000023788	Vulpes_vulpes
ENSCVAP00000016036	ENSCVAG00000018934	Cyprinodon_variegatus
ENSCGOP00000054629	ENSCGOG00000023870	Cottoperca_gobio
ENSPNAP00000006526	ENSPNAG00000012559	Pygocentrus_nattereri
ENSHCOP00000003626	ENSHCOG00000005007	Hippocampus_comes
ENSDCDP00000010002	ENSDCDG00000004998	Denticeps_clupeoides
ENSDNVP00000005329	ENSDNVG00000003831	Dromaius_novaehollandiae
