ENSPCIP00000010756	ENSPCIG00000008733	Phascolarctos_cinereus	ENSPCIT00000013458
ENSPCIP00000018047	ENSPCIG00000013807	Phascolarctos_cinereus	ENSPCIT00000022291
ENSVURP00010031579	ENSVURG00010024133	Vombatus_ursinus	ENSVURT00010035963
ENSSHAP00000005912	ENSSHAG00000005156	Sarcophilus_harrisii	ENSSHAT00000005966
ENSOANP00000021370	ENSOANG00000013550	Ornithorhynchus_anatinus
ENSMVIP00005021269	ENSMVIG00005014969	Manacus_vitellinus
ENSLCOP00000001815	ENSLCOG00000001448	Lepidothrix_coronata
ENSLSDP00000002254	ENSLSDG00000001793	Lonchura_striata_domestica
ENSTGUP00000011603	ENSTGUG00000011258	Taeniopygia_guttata
ENSSCAP00000005185	ENSSCAG00000004165	Serinus_canaria
ENSFALP00000013876	ENSFALG00000013298	Ficedula_albicollis
ENSZALP00000015613	ENSZALG00000012769	Zonotrichia_albicollis
ENSJHYP00000005500	ENSJHYG00000004484	Junco_hyemalis
ENSABRP00000018047	ENSABRG00000015550	Anser_brachyrhynchus
ENSAPLP00000019386	ENSAPLG00000021518	Anas_platyrhynchos_platyrhynchos
ENSGALP00000033025	ENSGALG00000006217	Gallus_gallus
ENSCJPP00005015048	ENSCJPG00005012494	Coturnix_japonica
ENSMGAP00000000998	ENSMGAG00000001541	Meleagris_gallopavo
ENSNMEP00000021214	ENSNMEG00000018171	Numida_meleagris
ENSCPGP00000013206	ENSCPGG00000009360	Calidris_pygmaea
ENSCPUP00000020815	ENSCPUG00000014241	Calidris_pugnax
ENSMUNP00000012576	ENSMUNG00000009855	Melopsittacus_undulatus
ENSAHAP00000026814	ENSAHAG00000018684	Apteryx_haastii
ENSAOWP00000015623	ENSAOWG00000010627	Apteryx_owenii
ENSARWP00000007157	ENSARWG00000005019	Apteryx_rowi
ENSDNVP00000014481	ENSDNVG00000010193	Dromaius_novaehollandiae
ENSNPEP00000014276	ENSNPEG00000010686	Nothoprocta_perdicaria
ENSCPRP00005011288	ENSCPRG00005008057	Crocodylus_porosus
ENSCPBP00000001905	ENSCPBG00000001544	Chrysemys_picta_bellii
ENSCABP00000020456	ENSCABG00000015077	Chelonoidis_abingdonii
ENSPSIP00000012102	ENSPSIG00000010916	Pelodiscus_sinensis
ENSPPYP00000012876	ENSPPYG00000011539	Pongo_abelii
ENSP00000291700	ENSG00000160307	Homo_sapiens
ENSTGEP00000019726	ENSTGEG00000015895	Theropithecus_gelada
ENSCSAP00000003346	ENSCSAG00000007071	Chlorocebus_sabaeus
ENSMMUP00000078551	ENSMMUG00000063077	Macaca_mulatta
ENSPTEP00000005235	ENSPTEG00000006081	Piliocolobus_tephrosceles
ENSANAP00000003330	ENSANAG00000019592	Aotus_nancymaae
ENSTSYP00000024609	ENSTSYG00000029403	Carlito_syrichta	ENSTSYT00000049212
ENSPCOP00000013390	ENSPCOG00000018301	Propithecus_coquereli	ENSPCOT00000023993
ENSMICP00000032706	ENSMICG00000038064	Microcebus_murinus	ENSMICT00000045160
ENSPSMP00000006685	ENSPSMG00000005022	Prolemur_simus	ENSPSMT00000007895
ENSCCNP00000014788	ENSCCNG00000015268	Castor_canadensis
ENSDORP00000013003	ENSDORG00000013831	Dipodomys_ordii
MGP_SPRETEiJ_P0024638	MGP_SPRETEiJ_G0016277	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000005237	ENSMSIG00000004765	Mus_spicilegus
