ENSSDUP00000022879	ENSSDUG00000016637	Seriola_dumerili	ENSSDUT00000023296
ENSSLDP00000004185	ENSSLDG00000003325	Seriola_lalandi_dorsalis
ENSCSEP00000003503	ENSCSEG00000002303	Cynoglossus_semilaevis
ENSMAMP00000010415	ENSMAMG00000007021	Mastacembelus_armatus
ENSMALP00000018975	ENSMALG00000013250	Monopterus_albus
ENSATEP00000017798	ENSATEG00000012377	Anabas_testudineus
ENSPLAP00000011012	ENSPLAG00000014046	Poecilia_latipinna
ENSPFOP00000002279	ENSPFOG00000002446	Poecilia_formosa
ENSPMEP00000008844	ENSPMEG00000010633	Poecilia_mexicana
ENSPREP00000029254	ENSPREG00000019805	Poecilia_reticulata
ENSXMAP00000007715	ENSXMAG00000007694	Xiphophorus_maculatus
ENSXCOP00000006285	ENSXCOG00000004861	Xiphophorus_couchianus
ENSGAFP00000003307	ENSGAFG00000002256	Gambusia_affinis
ENSFHEP00000024708	ENSFHEG00000006453	Fundulus_heteroclitus
ENSKMAP00000012598	ENSKMAG00000009460	Kryptolebias_marmoratus
ENSLBEP00000006371	ENSLBEG00000004902	Labrus_bergylta
ENSMMOP00000013290	ENSMMOG00000010197	Mola_mola
ENSTRUP00000049425	ENSTRUG00000022828	Takifugu_rubripes
ENSGACP00000012499	ENSGACG00000009477	Gasterosteus_aculeatus
ENSAOCP00000002845	ENSAOCG00000006012	Amphiprion_ocellaris
ENSAPEP00000025561	ENSAPEG00000018204	Amphiprion_percula
ENSAPOP00000011710	ENSAPOG00000014311	Acanthochromis_polyacanthus
ENSSPAP00000022507	ENSSPAG00000016996	Stegastes_partitus
ENSACLP00000023416	ENSACLG00000015915	Astatotilapia_calliptera
ENSPNYP00000024793	ENSPNYG00000018723	Pundamilia_nyererei
ENSHBUP00000005731	ENSHBUG00000007126	Haplochromis_burtoni
ENSMZEP00005005923	ENSMZEG00005004586	Maylandia_zebra
ENSNBRP00000031692	ENSNBRG00000024080	Neolamprologus_brichardi
ENSACIP00000007054	ENSACIG00000005540	Amphilophus_citrinellus
ENSORLP00015011338	ENSORLG00015012143	Oryzias_latipes_ASM223469v1
ENSORLP00000037150	ENSORLG00000026978	Oryzias_latipes_ASM223467v1
ENSORLP00020012632	ENSORLG00020013559	Oryzias_latipes_ASM223471v1
ENSOMEP00000009629	ENSOMEG00000010853	Oryzias_melastigma
ENSSMAP00000032433	ENSSMAG00000019875	Scophthalmus_maximus
ENSELUP00000015644	ENSELUG00000015569	Esox_lucius
