FBpp0300971	FBgn0034046	Drosophila_melanogaster	FBtr0308814
R06C7.6.1	WBGene00011065	Caenorhabditis_elegans_strain_N2	R06C7.6.1
ENSORLP00000002051	ENSORLG00000001652	Oryzias_latipes_ASM223467v1
ENSORLP00015032533	ENSORLG00015017403	Oryzias_latipes_ASM223469v1
ENSORLP00020009438	ENSORLG00020010331	Oryzias_latipes_ASM223471v1
ENSOMEP00000027110	ENSOMEG00000009367	Oryzias_melastigma
ENSGWIP00000006724	ENSGWIG00000003925	Gouania_willdenowi
ENSGWIP00000006781	ENSGWIG00000003964	Gouania_willdenowi
ENSCVAP00000032773	ENSCVAG00000023068	Cyprinodon_variegatus
ENSFHEP00000035050	ENSFHEG00000023087	Fundulus_heteroclitus
ENSXCOP00000025999	ENSXCOG00000019428	Xiphophorus_couchianus
ENSXMAP00000017679	ENSXMAG00000017645	Xiphophorus_maculatus
ENSGAFP00000018907	ENSGAFG00000012772	Gambusia_affinis
ENSPLAP00000004975	ENSPLAG00000006778	Poecilia_latipinna
ENSPFOP00000008149	ENSPFOG00000008226	Poecilia_formosa
ENSPMEP00000029698	ENSPMEG00000015601	Poecilia_mexicana
ENSPREP00000022958	ENSPREG00000015489	Poecilia_reticulata
ENSKMAP00000002210	ENSKMAG00000001705	Kryptolebias_marmoratus
ENSAPEP00000026594	ENSAPEG00000018906	Amphiprion_percula
ENSAOCP00000011882	ENSAOCG00000016236	Amphiprion_ocellaris
ENSAPOP00000016152	ENSAPOG00000019272	Acanthochromis_polyacanthus
ENSSPAP00000018419	ENSSPAG00000013915	Stegastes_partitus
ENSMZEP00005015987	ENSMZEG00005012005	Maylandia_zebra
ENSNBRP00000027560	ENSNBRG00000021033	Neolamprologus_brichardi
ENSACLP00000008773	ENSACLG00000005966	Astatotilapia_calliptera
ENSHBUP00000011560	ENSHBUG00000013209	Haplochromis_burtoni
ENSPNYP00000014368	ENSPNYG00000010902	Pundamilia_nyererei
ENSONIP00000019293	ENSONIG00000015334	Oreochromis_niloticus
ENSACIP00000009302	ENSACIG00000007292	Amphilophus_citrinellus
ENSPRNP00000012782	ENSPRNG00000007031	Parambassis_ranga
ENSMAMP00000032984	ENSMAMG00000022196	Mastacembelus_armatus
ENSMALP00000016512	ENSMALG00000011580	Monopterus_albus
ENSLCRP00005025232	ENSLCRG00005010084	Larimichthys_crocea
ENSSLDP00000001406	ENSSLDG00000001195	Seriola_lalandi_dorsalis
ENSSDUP00000029305	ENSSDUG00000021121	Seriola_dumerili
ENSSMAP00000024027	ENSSMAG00000014664	Scophthalmus_maximus
ENSLCAP00010030053	ENSLCAG00010014111	Lates_calcarifer
ENSATEP00000014909	ENSATEG00000010393	Anabas_testudineus
ENSBSLP00000024304	ENSBSLG00000012380	Betta_splendens
ENSMMOP00000023066	ENSMMOG00000017550	Mola_mola
ENSLBEP00000031503	ENSLBEG00000023775	Labrus_bergylta
ENSLBEP00000029626	ENSLBEG00000022419	Labrus_bergylta
ENSGACP00000013761	ENSGACG00000010415	Gasterosteus_aculeatus
ENSTNIP00000004439	ENSTNIG00000002025	Tetraodon_nigroviridis
ENSTNIP00000021321	ENSTNIG00000018155	Tetraodon_nigroviridis
ENSTRUP00000000668	ENSTRUG00000000301	Takifugu_rubripes
ENSHCOP00000015175	ENSHCOG00000018722	Hippocampus_comes
ENSPMGP00000029819	ENSPMGG00000024000	Periophthalmus_magnuspinnatus
ENSSFOP00015029424	ENSSFOG00015018923	Scleropages_formosus	ENSSFOT00015029760
ENSPKIP00000009742	ENSPKIG00000024731	Paramormyrops_kingsleyae	ENSPKIT00000033854
ENSAMXP00005039476	ENSAMXG00005018619	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000051576	ENSAMXG00000038760	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000002269	ENSPNAG00000005545	Pygocentrus_nattereri
ENSEEEP00000034550	ENSEEEG00000016437	Electrophorus_electricus
ENSIPUP00000033323	ENSIPUG00000022386	Ictalurus_punctatus
ENSDARP00000094043	ENSDARG00000070403	Danio_rerio
ENSCHAP00000010321	ENSCHAG00000005976	Clupea_harengus
ENSDCDP00000045365	ENSDCDG00000028630	Denticeps_clupeoides
ENSHHUP00000024463	ENSHHUG00000015352	Hucho_hucho
ENSELUP00000024396	ENSELUG00000023170	Esox_lucius
ENSECRP00000031088	ENSECRG00000021075	Erpetoichthys_calabaricus
ENSXETP00000008803	ENSXETG00000006762	Xenopus_tropicalis
ENSACAP00000009494	ENSACAG00000009686	Anolis_carolinensis
ENSPVIP00000024369	ENSPVIG00000018343	Pogona_vitticeps
ENSNSUP00000002290	ENSNSUG00000001934	Notechis_scutatus
ENSSMRP00000027873	ENSSMRG00000021473	Salvator_merianae
ENSSPUP00000002303	ENSSPUG00000001795	Sphenodon_punctatus
ENSGALP00000057221	ENSGALG00000030059	Gallus_gallus
ENSMGAP00000013275	ENSMGAG00000012605	Meleagris_gallopavo
ENSNMEP00000008629	ENSNMEG00000008408	Numida_meleagris
ENSABRP00000011050	ENSABRG00000009933	Anser_brachyrhynchus
ENSCPUP00000010989	ENSCPUG00000007795	Calidris_pugnax
ENSMUNP00000022235	ENSMUNG00000016720	Melopsittacus_undulatus
ENSLCOP00000014272	ENSLCOG00000010245	Lepidothrix_coronata
ENSMVIP00005017552	ENSMVIG00005012532	Manacus_vitellinus
ENSAOWP00000010885	ENSAOWG00000007497	Apteryx_owenii
ENSAHAP00000014706	ENSAHAG00000010595	Apteryx_haastii
ENSARWP00000021018	ENSARWG00000014368	Apteryx_rowi
ENSDNVP00000011753	ENSDNVG00000008280	Dromaius_novaehollandiae
ENSCCEP00000008199	ENSCCEG00000008516	Cyanistes_caeruleus
ENSPMJP00000014859	ENSPMJG00000011274	Parus_major
ENSFALP00000002560	ENSFALG00000002461	Ficedula_albicollis
ENSTGUP00000012802	ENSTGUG00000012440	Taeniopygia_guttata
ENSLSDP00000004335	ENSLSDG00000003384	Lonchura_striata_domestica
ENSSCAP00000009633	ENSSCAG00000007331	Serinus_canaria
ENSJHYP00000011404	ENSJHYG00000008906	Junco_hyemalis
ENSZALP00000018016	ENSZALG00000014483	Zonotrichia_albicollis
ENSCPGP00000012043	ENSCPGG00000008578	Calidris_pygmaea
ENSNPEP00000010308	ENSNPEG00000007741	Nothoprocta_perdicaria
ENSCPRP00005012412	ENSCPRG00005008775	Crocodylus_porosus
ENSGAGP00000017968	ENSGAGG00000013320	Gopherus_agassizii
ENSCABP00000005999	ENSCABG00000004515	Chelonoidis_abingdonii
ENSCPBP00000029308	ENSCPBG00000020658	Chrysemys_picta_bellii
ENSPSIP00000006954	ENSPSIG00000006436	Pelodiscus_sinensis
ENSVURP00010021542	ENSVURG00010016499	Vombatus_ursinus
ENSPCIP00000018314	ENSPCIG00000014010	Phascolarctos_cinereus
ENSMEUP00000007422	ENSMEUG00000008130	Notamacropus_eugenii
ENSMODP00000048886	ENSMODG00000001981	Monodelphis_domestica
ENSPSMP00000020010	ENSPSMG00000014129	Prolemur_simus
ENSMICP00000044707	ENSMICG00000036520	Microcebus_murinus
ENSPCOP00000018689	ENSPCOG00000021245	Propithecus_coquereli
ENSOGAP00000006267	ENSOGAG00000006997	Otolemur_garnettii
ENSPEMP00000025405	ENSPEMG00000021840	Peromyscus_maniculatus_bairdii
ENSPEMP00000013838	ENSPEMG00000013805	Peromyscus_maniculatus_bairdii
ENSMOCP00000020153	ENSMOCG00000017917	Microtus_ochrogaster
ENSCGRP00001005540	ENSCGRG00001007298	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015009215	ENSCGRG00015007071	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000000547	ENSMAUG00000000453	Mesocricetus_auratus
MGP_SPRETEiJ_P0040061	MGP_SPRETEiJ_G0020709	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000018431	ENSMSIG00000015723	Mus_spicilegus
ENSMUSP00000064622	ENSMUSG00000022359	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0041644	MGP_PahariEiJ_G0019822	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000008785	ENSRNOG00000006700	Rattus_norvegicus
ENSMUGP00000010486	ENSMUGG00000009239	Meriones_unguiculatus
ENSMUGP00000021277	ENSMUGG00000017929	Meriones_unguiculatus
ENSNGAP00000024977	ENSNGAG00000023071	Nannospalax_galili
ENSJJAP00000010065	ENSJJAG00000013752	Jaculus_jaculus
ENSJJAP00000016735	ENSJJAG00000018494	Jaculus_jaculus
ENSDORP00000002342	ENSDORG00000002494	Dipodomys_ordii
ENSHGLP00000017206	ENSHGLG00000012322	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100018005	ENSHGLG00100013273	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000028167	ENSHGLG00000020349	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026902	ENSHGLG00100019892	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100006199	ENSHGLG00100004660	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000013441	ENSHGLG00000009608	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000009012	ENSFDAG00000017120	Fukomys_damarensis
ENSCLAP00000000620	ENSCLAG00000000499	Chinchilla_lanigera
ENSODEP00000003857	ENSODEG00000002956	Octodon_degus
ENSCPOP00000004270	ENSCPOG00000004738	Cavia_porcellus
ENSCAPP00000009977	ENSCAPG00000011335	Cavia_aperea
ENSUPAP00010011338	ENSUPAG00010009195	Urocitellus_parryii
ENSMMMP00000001612	ENSMMMG00000001457	Marmota_marmota_marmota
ENSSTOP00000013337	ENSSTOG00000014890	Ictidomys_tridecemlineatus
ENSSDAP00000022587	ENSSDAG00000020516	Spermophilus_dauricus
ENSANAP00000020256	ENSANAG00000027919	Aotus_nancymaae
ENSCJAP00000073360	ENSCJAG00000054799	Callithrix_jacchus
ENSCCNP00000020761	ENSCCNG00000020678	Castor_canadensis
MGP_CAROLIEiJ_P0038270	MGP_CAROLIEiJ_G0019812	Mus_caroli_strain_CAROLI_EIJ
ENSOCUP00000012206	ENSOCUG00000014201	Oryctolagus_cuniculus
ENSOCUP00000000932	ENSOCUG00000001077	Oryctolagus_cuniculus
ENSOPRP00000009384	ENSOPRG00000010290	Ochotona_princeps
ENSTBEP00000006485	ENSTBEG00000007508	Tupaia_belangeri
ENSSBOP00000019205	ENSSBOG00000026204	Saimiri_boliviensis_boliviensis
ENSCCAP00000008382	ENSCCAG00000021917	Cebus_capucinus_imitator
ENSCJAP00000001473	ENSCJAG00000000865	Callithrix_jacchus
ENSRBIP00000006654	ENSRBIG00000026829	Rhinopithecus_bieti
ENSCANP00000037818	ENSCANG00000042586	Colobus_angolensis_palliatus
ENSCANP00000001751	ENSCANG00000006676	Colobus_angolensis_palliatus
ENSPTEP00000034007	ENSPTEG00000032339	Piliocolobus_tephrosceles
ENSRROP00000013795	ENSRROG00000031115	Rhinopithecus_roxellana
ENSMMUP00000080197	ENSMMUG00000028923	Macaca_mulatta
ENSMNEP00000044955	ENSMNEG00000045030	Macaca_nemestrina
ENSMFAP00000027467	ENSMFAG00000045125	Macaca_fascicularis
ENSMLEP00000011523	ENSMLEG00000029918	Mandrillus_leucophaeus
ENSPANP00000005944	ENSPANG00000021679	Papio_anubis
ENSTGEP00000011474	ENSTGEG00000009358	Theropithecus_gelada
ENSCATP00000028008	ENSCATG00000037335	Cercocebus_atys
ENSCSAP00000006752	ENSCSAG00000010530	Chlorocebus_sabaeus
ENSPTRP00000078384	ENSPTRG00000020554	Pan_troglodytes
ENSPPAP00000039880	ENSPPAG00000042607	Pan_paniscus
ENSP00000287387	ENSG00000156795	Homo_sapiens
ENSGGOP00000010044	ENSGGOG00000010298	Gorilla_gorilla
ENSPPYP00000022357	ENSPPYG00000019969	Pongo_abelii
ENSNLEP00000006451	ENSNLEG00000005332	Nomascus_leucogenys
ENSTSYP00000009497	ENSTSYG00000010399	Carlito_syrichta
ENSCAFP00020007821	ENSCAFG00020006326	Canis_lupus_dingo
ENSVVUP00000022156	ENSVVUG00000016251	Vulpes_vulpes
ENSUAMP00000014793	ENSUAMG00000011875	Ursus_americanus
ENSAMEP00000011714	ENSAMEG00000011138	Ailuropoda_melanoleuca
ENSNVIP00000006945	ENSNVIG00000005443	Neovison_vison
ENSFCAP00000045976	ENSFCAG00000030125	Felis_catus
ENSPPRP00000000814	ENSPPRG00000024575	Panthera_pardus
ENSPVAP00000012485	ENSPVAG00000013239	Pteropus_vampyrus
ENSMLUP00000012025	ENSMLUG00000013217	Myotis_lucifugus
ENSEEUP00000005144	ENSEEUG00000005665	Erinaceus_europaeus
ENSTTRP00000005145	ENSTTRG00000005458	Tursiops_truncatus
ENSSSCP00000006390	ENSSSCG00000005982	Sus_scrofa_strain_reference
ENSBIXP00005024741	ENSBIXG00005027306	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000013654	ENSBMUG00000010420	Bos_mutus
ENSBTAP00000013086	ENSBTAG00000009916	Bos_taurus
ENSBBBP00000011584	ENSBBBG00000019510	Bison_bison_bison
ENSCHIP00000002689	ENSCHIG00000006384	Capra_hircus
ENSVPAP00000009341	ENSVPAG00000010040	Vicugna_pacos
ENSPTIP00000001986	ENSPTIG00000004963	Panthera_tigris_altaica
ENSUMAP00000030781	ENSUMAG00000022240	Ursus_maritimus
ENSOARP00000010835	ENSOARG00000010104	Ovis_aries
ENSBIXP00000034052	ENSBIXG00000016946	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMPUP00000001139	ENSMPUG00000001150	Mustela_putorius_furo
ENSCAFP00000062408	ENSCAFG00000001004	Canis_lupus_familiaris
ENSSSCP00000056317	ENSSSCG00000036241	Sus_scrofa_strain_reference
ENSSARP00000000973	ENSSARG00000001063	Sorex_araneus
ENSEASP00005032873	ENSEASG00005022476	Equus_asinus_asinus
ENSECAP00000009158	ENSECAG00000011250	Equus_caballus
ENSDNOP00000018576	ENSDNOG00000041867	Dasypus_novemcinctus
ENSCHOP00000001777	ENSCHOG00000002018	Choloepus_hoffmanni
ENSPCAP00000003573	ENSPCAG00000003835	Procavia_capensis
ENSETEP00000014997	ENSETEG00000018448	Echinops_telfairi
ENSLAFP00000009855	ENSLAFG00000011793	Loxodonta_africana
ENSOANP00000022212	ENSOANG00000014082	Ornithorhynchus_anatinus
ENSLACP00000004541	ENSLACG00000004043	Latimeria_chalumnae
ENSCMIP00000017002	ENSCMIG00000008134	Callorhinchus_milii
ENSGMOP00000016879	ENSGMOG00000015744	Gadus_morhua
ENSEBUP00000005379	ENSEBUG00000003671	Eptatretus_burgeri
ENSCSAVP00000010386	ENSCSAVG00000006120	Ciona_savignyi
