ENSNSUP00000005575	ENSNSUG00000004462	Notechis_scutatus	ENSNSUT00000005999
ENSNSUP00000002941	ENSNSUG00000002415	Notechis_scutatus	ENSNSUT00000003179
ENSAHAP00000022209	ENSAHAG00000015583	Apteryx_haastii
ENSAOWP00000008968	ENSAOWG00000006151	Apteryx_owenii
ENSCHAP00000024794	ENSCHAG00000012150	Clupea_harengus
ENSIPUP00000014858	ENSIPUG00000010115	Ictalurus_punctatus
ENSBSLP00000004621	ENSBSLG00000002482	Betta_splendens
ENSBSLP00000004611	ENSBSLG00000002456	Betta_splendens
ENSHCOP00000023595	ENSHCOG00000012278	Hippocampus_comes
ENSGWIP00000047651	ENSGWIG00000023431	Gouania_willdenowi
ENSTNIP00000000050	ENSTNIG00000006406	Tetraodon_nigroviridis
ENSHCOP00000006307	ENSHCOG00000008079	Hippocampus_comes
ENSLOCP00000005257	ENSLOCG00000004401	Lepisosteus_oculatus
