ENSCAFP00000029402	ENSCAFG00000019848	Canis_lupus_familiaris
ENSPPYP00000022150	ENSPPYG00000019751	Pongo_abelii
ENSHHUP00000078175	ENSHHUG00000045634	Hucho_hucho
ENSHHUP00000078157	ENSHHUG00000045625	Hucho_hucho
ENSCMIP00000001814	ENSCMIG00000001127	Callorhinchus_milii
ENSCMIP00000001785	ENSCMIG00000001114	Callorhinchus_milii
ENSCMIP00000001835	ENSCMIG00000001145	Callorhinchus_milii
ENSCMIP00000001801	ENSCMIG00000001123	Callorhinchus_milii
ENSCVAP00000027645	ENSCVAG00000014112	Cyprinodon_variegatus
ENSPMEP00000030025	ENSPMEG00000016176	Poecilia_mexicana
ENSACIP00000003744	ENSACIG00000002974	Amphilophus_citrinellus
ENSLBEP00000033991	ENSLBEG00000025582	Labrus_bergylta
ENSPMGP00000020671	ENSPMGG00000016742	Periophthalmus_magnuspinnatus
ENSTRUP00000052061	ENSTRUG00000024812	Takifugu_rubripes
ENSFHEP00000001058	ENSFHEG00000001813	Fundulus_heteroclitus
ENSPLAP00000007110	ENSPLAG00000009387	Poecilia_latipinna
ENSKMAP00000017034	ENSKMAG00000012699	Kryptolebias_marmoratus
ENSAPEP00000033110	ENSAPEG00000023518	Amphiprion_percula
ENSGAFP00000000312	ENSGAFG00000000205	Gambusia_affinis
ENSHHUP00000012825	ENSHHUG00000007763	Hucho_hucho
ENSIPUP00000031495	ENSIPUG00000021195	Ictalurus_punctatus
ENSAMXP00000044101	ENSAMXG00000030406	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCHAP00000061414	ENSCHAG00000027391	Clupea_harengus
ENSHHUP00000073600	ENSHHUG00000043188	Hucho_hucho
ENSPNAP00000011011	ENSPNAG00000016636	Pygocentrus_nattereri
ENSMLEP00000022589	ENSMLEG00000035451	Mandrillus_leucophaeus
ENSCATP00000041133	ENSCATG00000043171	Cercocebus_atys
ENSMMUP00000045856	ENSMMUG00000012147	Macaca_mulatta
ENSMFAP00000022294	ENSMFAG00000035998	Macaca_fascicularis
ENSCSAP00000011688	ENSCSAG00000015604	Chlorocebus_sabaeus
ENSRROP00000022668	ENSRROG00000035195	Rhinopithecus_roxellana
ENSRBIP00000013014	ENSRBIG00000030460	Rhinopithecus_bieti
ENSPTEP00000030620	ENSPTEG00000029776	Piliocolobus_tephrosceles
ENSCANP00000014943	ENSCANG00000030856	Colobus_angolensis_palliatus
ENSP00000360882	ENSG00000130635	Homo_sapiens
ENSGGOP00000011189	ENSGGOG00000011443	Gorilla_gorilla
ENSPTRP00000074729	ENSPTRG00000047304	Pan_troglodytes
