ENSP00000498330	ENSG00000188386	Homo_sapiens	ENST00000651357
ENSCANP00000020313	ENSCANG00000033578	Colobus_angolensis_palliatus
ENSPSMP00000019316	ENSPSMG00000013623	Prolemur_simus
ENSPEMP00000002167	ENSPEMG00000002128	Peromyscus_maniculatus_bairdii
ENSMOCP00000016151	ENSMOCG00000015134	Microtus_ochrogaster
ENSCGRP00015037059	ENSCGRG00015027800	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000004195	ENSCGRG00000003085	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000002710	ENSMAUG00000002415	Mesocricetus_auratus
ENSMSIP00000031991	ENSMSIG00000026790	Mus_spicilegus
ENSMUSP00000029991	ENSMUSG00000028310	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0064837	MGP_SPRETEiJ_G0026980	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0062369	MGP_CAROLIEiJ_G0026017	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0077506	MGP_PahariEiJ_G0028353	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000007290	ENSRNOG00000005368	Rattus_norvegicus
ENSCCNP00000022084	ENSCCNG00000021778	Castor_canadensis
ENSHGLP00000020462	ENSHGLG00000014628	Heterocephalus_glaber_HetGla_female_1.0
ENSODEP00000006388	ENSODEG00000004786	Octodon_degus
ENSEEUP00000003851	ENSEEUG00000004271	Erinaceus_europaeus
ENSSARP00000010881	ENSSARG00000012053	Sorex_araneus
ENSFHEP00000012835	ENSFHEG00000014302	Fundulus_heteroclitus
