ENSLCRP00005009767	ENSLCRG00005004540	Larimichthys_crocea
ENSTRUP00000049028	ENSTRUG00000020883	Takifugu_rubripes
ENSCGOP00000034059	ENSCGOG00000015787	Cottoperca_gobio
ENSLBEP00000011160	ENSLBEG00000008601	Labrus_bergylta
ENSLBEP00000012973	ENSLBEG00000009978	Labrus_bergylta
ENSLBEP00000030819	ENSLBEG00000023261	Labrus_bergylta
ENSAOCP00000026485	ENSAOCG00000014758	Amphiprion_ocellaris
ENSAPOP00000008807	ENSAPOG00000010994	Acanthochromis_polyacanthus
ENSPRNP00000052103	ENSPRNG00000024628	Parambassis_ranga
ENSHBUP00000004353	ENSHBUG00000005642	Haplochromis_burtoni
ENSACLP00000005483	ENSACLG00000003698	Astatotilapia_calliptera
ENSONIP00000019650	ENSONIG00000015615	Oreochromis_niloticus
ENSXMAP00000000514	ENSXMAG00000000520	Xiphophorus_maculatus
ENSXCOP00000027969	ENSXCOG00000020865	Xiphophorus_couchianus
ENSGAFP00000006605	ENSGAFG00000004506	Gambusia_affinis
ENSPFOP00000013388	ENSPFOG00000013387	Poecilia_formosa
ENSPFOP00000029442	ENSPFOG00000003134	Poecilia_formosa
ENSPLAP00000016930	ENSPLAG00000021227	Poecilia_latipinna
ENSPMEP00000020565	ENSPMEG00000023721	Poecilia_mexicana
ENSPREP00000017647	ENSPREG00000011935	Poecilia_reticulata
ENSFHEP00000030196	ENSFHEG00000015342	Fundulus_heteroclitus
ENSKMAP00000001732	ENSKMAG00000001378	Kryptolebias_marmoratus
ENSAOCP00000028346	ENSAOCG00000017902	Amphiprion_ocellaris
ENSAPEP00000020098	ENSAPEG00000014373	Amphiprion_percula
ENSAPOP00000026640	ENSAPOG00000000292	Acanthochromis_polyacanthus
ENSSPAP00000009445	ENSSPAG00000007187	Stegastes_partitus
ENSACLP00000030722	ENSACLG00000020819	Astatotilapia_calliptera
ENSHBUP00000035089	ENSHBUG00000023063	Haplochromis_burtoni
ENSMZEP00005007902	ENSMZEG00005006028	Maylandia_zebra
ENSONIP00000004256	ENSONIG00000003380	Oreochromis_niloticus
ENSACIP00000003739	ENSACIG00000002955	Amphilophus_citrinellus
ENSSMAP00000018785	ENSSMAG00000011528	Scophthalmus_maximus
ENSSMAP00000028396	ENSSMAG00000017379	Scophthalmus_maximus
ENSCSEP00000022266	ENSCSEG00000014191	Cynoglossus_semilaevis
ENSLCAP00010060519	ENSLCAG00010028176	Lates_calcarifer
ENSSDUP00000019001	ENSSDUG00000013874	Seriola_dumerili
ENSSLDP00000000669	ENSSLDG00000000625	Seriola_lalandi_dorsalis
ENSBSLP00000023139	ENSBSLG00000011689	Betta_splendens
ENSATEP00000010511	ENSATEG00000007407	Anabas_testudineus
ENSHCOP00000012889	ENSHCOG00000015954	Hippocampus_comes
