ENSNLEP00000000272	ENSNLEG00000000217	Nomascus_leucogenys
ENSLACP00000018032	ENSLACG00000015888	Latimeria_chalumnae
ENSPNAP00000020732	ENSPNAG00000027654	Pygocentrus_nattereri
ENSMALP00000027148	ENSMALG00000018816	Monopterus_albus
ENSPCOP00000004484	ENSPCOG00000012804	Propithecus_coquereli
ENSORLP00020020845	ENSORLG00020021960	Oryzias_latipes_ASM223471v1
ENSPVAP00000008648	ENSPVAG00000009169	Pteropus_vampyrus
ENSONIP00000004959	ENSONIG00000003935	Oreochromis_niloticus
ENSGMOP00000003526	ENSGMOG00000003332	Gadus_morhua
ENSXMAP00000036542	ENSXMAG00000027549	Xiphophorus_maculatus
ENSAMXP00000014672	ENSAMXG00000014239	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSEEEP00000006135	ENSEEEG00000003276	Electrophorus_electricus
ENSTTRP00000003546	ENSTTRG00000003766	Tursiops_truncatus
ENSMMUP00000019262	ENSMMUG00000014682	Macaca_mulatta
ENSOMEP00000020582	ENSOMEG00000022457	Oryzias_melastigma
ENSAHAP00000021527	ENSAHAG00000015110	Apteryx_haastii
ENSSMAP00000003281	ENSSMAG00000002035	Scophthalmus_maximus
ENSCHAP00000003219	ENSCHAG00000001857	Clupea_harengus
ENSOANP00000014814	ENSOANG00000009311	Ornithorhynchus_anatinus
ENSCCEP00000019721	ENSCCEG00000017890	Cyanistes_caeruleus
ENSLSDP00000007806	ENSLSDG00000005867	Lonchura_striata_domestica
ENSGMOP00000000853	ENSGMOG00000000820	Gadus_morhua
ENSSDAP00000025693	ENSSDAG00000023336	Spermophilus_dauricus
ENSTSYP00000025843	ENSTSYG00000025538	Carlito_syrichta
ENSACIP00000013794	ENSACIG00000010679	Amphilophus_citrinellus
ENSPPRP00000029427	ENSPPRG00000022333	Panthera_pardus
ENSPNYP00000023231	ENSPNYG00000017509	Pundamilia_nyererei
ENSIPUP00000031401	ENSIPUG00000021140	Ictalurus_punctatus
ENSEEUP00000007297	ENSEEUG00000007925	Erinaceus_europaeus
ENSRNOP00000019096	ENSRNOG00000014226	Rattus_norvegicus
ENSONIP00000022609	ENSONIG00000017939	Oreochromis_niloticus
ENSORLP00015013190	ENSORLG00015014242	Oryzias_latipes_ASM223469v1
MGP_CAROLIEiJ_P0066223	MGP_CAROLIEiJ_G0026881	Mus_caroli_strain_CAROLI_EIJ
ENSMMOP00000026789	ENSMMOG00000020257	Mola_mola
ENSPMGP00000006517	ENSPMGG00000005475	Periophthalmus_magnuspinnatus
ENSPSIP00000004233	ENSPSIG00000003988	Pelodiscus_sinensis
ENSANAP00000028221	ENSANAG00000031937	Aotus_nancymaae
ENSDARP00000004276	ENSDARG00000059960	Danio_rerio
ENSLCAP00010017447	ENSLCAG00010008282	Lates_calcarifer
ENSCGRP00000001983	ENSCGRG00000001482	Cricetulus_griseus_CriGri_1.0
ENSTGEP00000015719	ENSTGEG00000012690	Theropithecus_gelada
ENSSLDP00000023581	ENSSLDG00000018346	Seriola_lalandi_dorsalis
ENSDNOP00000023563	ENSDNOG00000031692	Dasypus_novemcinctus
ENSAOCP00000032282	ENSAOCG00000024542	Amphiprion_ocellaris
MGP_PahariEiJ_P0081331	MGP_PahariEiJ_G0029229	Mus_pahari_strain_PAHARI_EIJ
ENSMVIP00005002804	ENSMVIG00005001878	Manacus_vitellinus
ENSMAMP00000022405	ENSMAMG00000015055	Mastacembelus_armatus
ENSTRUP00000036231	ENSTRUG00000014166	Takifugu_rubripes
ENSCABP00000025506	ENSCABG00000018762	Chelonoidis_abingdonii
ENSGAFP00000018121	ENSGAFG00000012261	Gambusia_affinis
ENSCJPP00005010994	ENSCJPG00005009504	Coturnix_japonica	ENSCJPT00005016144
ENSBIXP00000014181	ENSBIXG00000003331	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMZEP00005019422	ENSMZEG00005014573	Maylandia_zebra
ENSPLAP00000031212	ENSPLAG00000023070	Poecilia_latipinna
ENSSCAP00000000247	ENSSCAG00000000197	Serinus_canaria
ENSKMAP00000006869	ENSKMAG00000005161	Kryptolebias_marmoratus
ENSP00000367747	ENSG00000149527	Homo_sapiens
ENSJHYP00000014661	ENSJHYG00000011350	Junco_hyemalis
ENSAMXP00005010468	ENSAMXG00005005516	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSECRP00000009417	ENSECRG00000006304	Erpetoichthys_calabaricus
ENSMMOP00000014143	ENSMMOG00000010828	Mola_mola
ENSJJAP00000019068	ENSJJAG00000020118	Jaculus_jaculus
ENSCAFP00020013943	ENSCAFG00020011258	Canis_lupus_dingo
ENSGACP00000017189	ENSGACG00000012997	Gasterosteus_aculeatus
ENSACLP00000001555	ENSACLG00000001058	Astatotilapia_calliptera
ENSACLP00000021738	ENSACLG00000014783	Astatotilapia_calliptera
ENSPLAP00000022628	ENSPLAG00000007427	Poecilia_latipinna
ENSATEP00000032465	ENSATEG00000022340	Anabas_testudineus
