ENSCGRP00000006328	ENSCGRG00000004630	Cricetulus_griseus_CriGri_1.0
ENSORLP00000044669	ENSORLG00000008179	Oryzias_latipes_ASM223467v1
ENSPMAP00000001570	ENSPMAG00000001420	Petromyzon_marinus
ENSTRUP00000009573	ENSTRUG00000004038	Takifugu_rubripes
ENSIPUP00000004444	ENSIPUG00000003096	Ictalurus_punctatus
ENSVPAP00000009955	ENSVPAG00000010691	Vicugna_pacos
ENSCJAP00000056970	ENSCJAG00000008044	Callithrix_jacchus
ENSPTRP00000003982	ENSPTRG00000002349	Pan_troglodytes
ENSJHYP00000012811	ENSJHYG00000009953	Junco_hyemalis
ENSTNIP00000022899	ENSTNIG00000019656	Tetraodon_nigroviridis
ENSLACP00000006688	ENSLACG00000005931	Latimeria_chalumnae
ENSAOWP00000017174	ENSAOWG00000011728	Apteryx_owenii
ENSLCOP00000003769	ENSLCOG00000002815	Lepidothrix_coronata
ENSCSAP00000008668	ENSCSAG00000012486	Chlorocebus_sabaeus
ENSCCAP00000022552	ENSCCAG00000029084	Cebus_capucinus_imitator
ENSP00000366179	ENSG00000136770	Homo_sapiens
ENSTGUP00000001247	ENSTGUG00000001209	Taeniopygia_guttata
ENSGMOP00000020115	ENSGMOG00000018699	Gadus_morhua
ENSECRP00000006533	ENSECRG00000004357	Erpetoichthys_calabaricus
ENSMUSP00000126321	ENSMUSG00000026740	Mus_musculus_strain_reference_(CL57BL6)
ENSPANP00000019974	ENSPANG00000023105	Papio_anubis
ENSMLEP00000016855	ENSMLEG00000032634	Mandrillus_leucophaeus
ENSRNOP00000000162	ENSRNOG00000000150	Rattus_norvegicus
ENSCCEP00000015214	ENSCCEG00000014343	Cyanistes_caeruleus
ENSETEP00000007604	ENSETEG00000009356	Echinops_telfairi
ENSLSDP00000012243	ENSLSDG00000008949	Lonchura_striata_domestica
ENSOPRP00000002519	ENSOPRG00000002735	Ochotona_princeps
ENSAHAP00000012045	ENSAHAG00000008708	Apteryx_haastii
ENSMOCP00000024146	ENSMOCG00000020661	Microtus_ochrogaster
ENSACIP00000005370	ENSACIG00000004198	Amphilophus_citrinellus
ENSGGOP00000011619	ENSGGOG00000011907	Gorilla_gorilla
FBpp0309972	FBgn0030990	Drosophila_melanogaster
ENSCATP00000035649	ENSCATG00000040679	Cercocebus_atys
ENSARWP00000023982	ENSARWG00000016338	Apteryx_rowi
ENSNGAP00000009435	ENSNGAG00000012108	Nannospalax_galili
ENSELUP00000017439	ENSELUG00000017142	Esox_lucius
ENSHHUP00000064257	ENSHHUG00000037905	Hucho_hucho
ENSMAUP00000004076	ENSMAUG00000004858	Mesocricetus_auratus
ENSGWIP00000024902	ENSGWIG00000013185	Gouania_willdenowi
ENSRROP00000003806	ENSRROG00000015198	Rhinopithecus_roxellana
ENSNSUP00000012592	ENSNSUG00000009436	Notechis_scutatus	ENSNSUT00000013425
ENSCPOP00000011085	ENSCPOG00000012322	Cavia_porcellus
ENSMMOP00000027285	ENSMMOG00000020630	Mola_mola
ENSSBOP00000009995	ENSSBOG00000021860	Saimiri_boliviensis_boliviensis
ENSSCAP00000013660	ENSSCAG00000010104	Serinus_canaria
ENSEEUP00000009760	ENSEEUG00000010694	Erinaceus_europaeus
ENSPCIP00000034721	ENSPCIG00000025684	Phascolarctos_cinereus
ENSCLAP00000010083	ENSCLAG00000006988	Chinchilla_lanigera
ENSMICP00000009599	ENSMICG00000010537	Microcebus_murinus
ENSMZEP00005026614	ENSMZEG00005019846	Maylandia_zebra
ENSGAFP00000007920	ENSGAFG00000005384	Gambusia_affinis
ENSAOCP00000024610	ENSAOCG00000002225	Amphiprion_ocellaris
ENSTGEP00000005438	ENSTGEG00000004510	Theropithecus_gelada
ENSMMUP00000036166	ENSMMUG00000023649	Macaca_mulatta
MGP_SPRETEiJ_P0051777	MGP_SPRETEiJ_G0024120	Mus_spretus_strain_SPRET/EiJ
ENSLAFP00000010575	ENSLAFG00000012648	Loxodonta_africana
ENSHBUP00000021141	ENSHBUG00000023417	Haplochromis_burtoni
ENSCINP00000007593	ENSCING00000003674	Ciona_intestinalis
ENSCPRP00005012900	ENSCPRG00005009143	Crocodylus_porosus
ENSGALP00000072363	ENSGALG00000007914	Gallus_gallus
ENSANAP00000022469	ENSANAG00000028982	Aotus_nancymaae
MGP_CAROLIEiJ_P0049772	MGP_CAROLIEiJ_G0023205	Mus_caroli_strain_CAROLI_EIJ
ENSSPUP00000021886	ENSSPUG00000016777	Sphenodon_punctatus
ENSAPOP00000022591	ENSAPOG00000003910	Acanthochromis_polyacanthus
ENSCCNP00000026475	ENSCCNG00000025687	Castor_canadensis
ENSPRNP00000027832	ENSPRNG00000013905	Parambassis_ranga
ENSPNYP00000005908	ENSPNYG00000004572	Pundamilia_nyererei
ENSMGAP00000007419	ENSMGAG00000007281	Meleagris_gallopavo
ENSLOCP00000014490	ENSLOCG00000011779	Lepisosteus_oculatus
ENSBTAP00000044570	ENSBTAG00000033315	Bos_taurus
ENSSFOP00015001356	ENSSFOG00015000954	Scleropages_formosus
ENSPLAP00000025865	ENSPLAG00000013172	Poecilia_latipinna
ENSPPAP00000009243	ENSPPAG00000027845	Pan_paniscus
ENSORLP00020029807	ENSORLG00020013967	Oryzias_latipes_ASM223471v1
ENSPCOP00000031444	ENSPCOG00000028506	Propithecus_coquereli
ENSOANP00000009067	ENSOANG00000031302	Ornithorhynchus_anatinus
ENSOANP00000009066	ENSOANG00000005698	Ornithorhynchus_anatinus
ENSMFAP00000035138	ENSMFAG00000004029	Macaca_fascicularis
ENSPTEP00000033047	ENSPTEG00000031641	Piliocolobus_tephrosceles
ENSPFOP00000011392	ENSPFOG00000011306	Poecilia_formosa
ENSHGLP00000006052	ENSHGLG00000004425	Heterocephalus_glaber_HetGla_female_1.0
ENSLBEP00000018989	ENSLBEG00000014582	Labrus_bergylta
ENSPVIP00000032145	ENSPVIG00000023579	Pogona_vitticeps	ENSPVIT00000039361
ENSMUGP00000008344	ENSMUGG00000007545	Meriones_unguiculatus
ENSCABP00000025094	ENSCABG00000018491	Chelonoidis_abingdonii
ENSVVUP00000014459	ENSVVUG00000010576	Vulpes_vulpes
ENSKMAP00000021717	ENSKMAG00000016124	Kryptolebias_marmoratus
ENSPMEP00000028183	ENSPMEG00000013100	Poecilia_mexicana
ENSNMEP00000009940	ENSNMEG00000009508	Numida_meleagris
ENSBIXP00000012060	ENSBIXG00000017187	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSSCP00000070271	ENSSSCG00000026001	Sus_scrofa_strain_reference
ENSCSEP00000023773	ENSCSEG00000015163	Cynoglossus_semilaevis
ENSFCAP00000061218	ENSFCAG00000034871	Felis_catus
ENSHHUP00000070696	ENSHHUG00000041554	Hucho_hucho
ENSSMRP00000018067	ENSSMRG00000014067	Salvator_merianae	ENSSMRT00000021153
ENSSLDP00000001624	ENSSLDG00000001357	Seriola_lalandi_dorsalis
ENSEEEP00000026593	ENSEEEG00000012858	Electrophorus_electricus
ENSMLUP00000013581	ENSMLUG00000014913	Myotis_lucifugus
ENSDARP00000073973	ENSDARG00000001940	Danio_rerio
ENSCHOP00000000089	ENSCHOG00000000106	Choloepus_hoffmanni
ENSPNAP00000029268	ENSPNAG00000015302	Pygocentrus_nattereri
ENSCPUP00000013984	ENSCPUG00000009880	Calidris_pugnax
ENSUPAP00010006909	ENSUPAG00010005564	Urocitellus_parryii
ENSDORP00000004722	ENSDORG00000005047	Dipodomys_ordii
ENSMVIP00005009117	ENSMVIG00005006743	Manacus_vitellinus
ENSMALP00000028820	ENSMALG00000019900	Monopterus_albus
ENSUMAP00000018573	ENSUMAG00000013528	Ursus_maritimus
ENSFHEP00000017924	ENSFHEG00000019698	Fundulus_heteroclitus
ENSCGRP00001021770	ENSCGRG00001020513	Cricetulus_griseus_CHOK1GS_HDv1
ENSXMAP00000036493	ENSXMAG00000023968	Xiphophorus_maculatus
ENSLCAP00010013826	ENSLCAG00010006574	Lates_calcarifer
ENSCAFP00000059380	ENSCAFG00000004152	Canis_lupus_familiaris
ENSNVIP00000003722	ENSNVIG00000002978	Neovison_vison
ENSSMAP00000007256	ENSSMAG00000004506	Scophthalmus_maximus
ENSCVAP00000014154	ENSCVAG00000016736	Cyprinodon_variegatus
ENSCMIP00000007143	ENSCMIG00000003971	Callorhinchus_milii
ENSECAP00000005918	ENSECAG00000007629	Equus_caballus
ENSBSLP00000030289	ENSBSLG00000014915	Betta_splendens
ENSVURP00010030412	ENSVURG00010023254	Vombatus_ursinus
ENSPTIP00000019561	ENSPTIG00000017315	Panthera_tigris_altaica
ENSTNIP00000022916	ENSTNIG00000019671	Tetraodon_nigroviridis
ENSNLEP00000015578	ENSNLEG00000012820	Nomascus_leucogenys
ENSPREP00000010913	ENSPREG00000007450	Poecilia_reticulata
ENSDCDP00000009123	ENSDCDG00000004389	Denticeps_clupeoides
ENSPMGP00000028085	ENSPMGG00000022611	Periophthalmus_magnuspinnatus
ENSFDAP00000013878	ENSFDAG00000000800	Fukomys_damarensis
ENSGAGP00000011875	ENSGAGG00000009140	Gopherus_agassizii
ENSXCOP00000026781	ENSXCOG00000020005	Xiphophorus_couchianus
ENSOGAP00000001266	ENSOGAG00000001421	Otolemur_garnettii
ENSBBBP00000006017	ENSBBBG00000014621	Bison_bison_bison
ENSTNIP00000022766	ENSTNIG00000019538	Tetraodon_nigroviridis
ENSSARP00000003554	ENSSARG00000003921	Sorex_araneus
ENSSDAP00000025916	ENSSDAG00000023518	Spermophilus_dauricus
ENSMEUP00000011293	ENSMEUG00000012374	Notamacropus_eugenii
ENSBIXP00005018827	ENSBIXG00005022133	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOMEP00000001913	ENSOMEG00000002833	Oryzias_melastigma
ENSZALP00000019706	ENSZALG00000015571	Zonotrichia_albicollis
ENSABRP00000004060	ENSABRG00000003814	Anser_brachyrhynchus
ENSCGOP00000031742	ENSCGOG00000014812	Cottoperca_gobio
MGP_PahariEiJ_P0060787	MGP_PahariEiJ_G0024661	Mus_pahari_strain_PAHARI_EIJ
ENSAMXP00000015648	ENSAMXG00000015197	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMMMP00000020576	ENSMMMG00000018141	Marmota_marmota_marmota
ENSPMJP00000007795	ENSPMJG00000006417	Parus_major
ENSSPAP00000010919	ENSSPAG00000008310	Stegastes_partitus
ENSSTOP00000002060	ENSSTOG00000002303	Ictidomys_tridecemlineatus
ENSEBUP00000015160	ENSEBUG00000009549	Eptatretus_burgeri
ENSAMEP00000006509	ENSAMEG00000006177	Ailuropoda_melanoleuca
ENSOARP00000001088	ENSOARG00000001045	Ovis_aries
ENSCGRP00015030696	ENSCGRG00015023134	Cricetulus_griseus_CriGri-PICR
ENSBMUP00000027331	ENSBMUG00000020484	Bos_mutus
ENSHCOP00000010664	ENSHCOG00000013309	Hippocampus_comes
ENSOCUP00000031234	ENSOCUG00000022926	Oryctolagus_cuniculus
ENSPSMP00000001903	ENSPSMG00000001437	Prolemur_simus
ENSXETP00000050611	ENSXETG00000018897	Xenopus_tropicalis
ENSMSIP00000033418	ENSMSIG00000027949	Mus_spicilegus
ENSPSIP00000020439	ENSPSIG00000018096	Pelodiscus_sinensis
