ENSHGLP00000028914	ENSHGLG00000021330	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026431	ENSHGLG00100019377	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000005819	ENSFDAG00000014730	Fukomys_damarensis
ENSCLAP00000025898	ENSCLAG00000018028	Chinchilla_lanigera
ENSODEP00000026507	ENSODEG00000019944	Octodon_degus
ENSCPOP00000014483	ENSCPOG00000020703	Cavia_porcellus
ENSJJAP00000007857	ENSJJAG00000012180	Jaculus_jaculus
ENSCHIP00000003657	ENSCHIG00000007846	Capra_hircus
ENSOARP00000011637	ENSOARG00000010854	Ovis_aries	ENSOART00000011803
ENSBIXP00000025651	ENSBIXG00000027724	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005040686	ENSBIXG00005023431	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000015987	ENSBTAG00000012046	Bos_taurus
ENSSSCP00000024354	ENSSSCG00000013735	Sus_scrofa_strain_reference
ENSTTRP00000003364	ENSTTRG00000003590	Tursiops_truncatus
ENSCAFP00020006364	ENSCAFG00020005176	Canis_lupus_dingo
ENSCAFP00000036269	ENSCAFG00000028848	Canis_lupus_familiaris
ENSVVUP00000033334	ENSVVUG00000024130	Vulpes_vulpes
ENSUAMP00000025215	ENSUAMG00000019653	Ursus_americanus
ENSMPUP00000018588	ENSMPUG00000018708	Mustela_putorius_furo
ENSNVIP00000004651	ENSNVIG00000003745	Neovison_vison
ENSFCAP00000017188	ENSFCAG00000022803	Felis_catus
ENSPPRP00000028455	ENSPPRG00000020564	Panthera_pardus
ENSECAP00000002623	ENSECAG00000003816	Equus_caballus
ENSEASP00005005590	ENSEASG00005004129	Equus_asinus_asinus
ENSMLUP00000020671	ENSMLUG00000012714	Myotis_lucifugus	ENSMLUT00000012712
ENSCATP00000007345	ENSCATG00000021976	Cercocebus_atys
ENSMLEP00000000652	ENSMLEG00000002218	Mandrillus_leucophaeus
ENSTGEP00000002031	ENSTGEG00000001795	Theropithecus_gelada
ENSPANP00000002146	ENSPANG00000018727	Papio_anubis
ENSMNEP00000001388	ENSMNEG00000006142	Macaca_nemestrina
ENSMFAP00000010480	ENSMFAG00000007511	Macaca_fascicularis
ENSMMUP00000007511	ENSMMUG00000005688	Macaca_mulatta
ENSCSAP00000018357	ENSCSAG00000018838	Chlorocebus_sabaeus
ENSRROP00000006492	ENSRROG00000025586	Rhinopithecus_roxellana
ENSCANP00000000922	ENSCANG00000003420	Colobus_angolensis_palliatus
ENSPTEP00000007072	ENSPTEG00000008081	Piliocolobus_tephrosceles
ENSPPAP00000006295	ENSPPAG00000024799	Pan_paniscus
ENSPTRP00000048988	ENSPTRG00000029110	Pan_troglodytes
ENSP00000303315	ENSG00000171223	Homo_sapiens
ENSGGOP00000045301	ENSGGOG00000005566	Gorilla_gorilla
ENSNLEP00000034846	ENSNLEG00000012796	Nomascus_leucogenys
ENSSBOP00000005299	ENSSBOG00000019470	Saimiri_boliviensis_boliviensis
ENSCCAP00000005120	ENSCCAG00000020250	Cebus_capucinus_imitator
ENSANAP00000002435	ENSANAG00000018377	Aotus_nancymaae
ENSTSYP00000018390	ENSTSYG00000033881	Carlito_syrichta
ENSPCOP00000005119	ENSPCOG00000013392	Propithecus_coquereli
ENSMICP00000018151	ENSMICG00000027217	Microcebus_murinus
ENSPSMP00000013157	ENSPSMG00000009464	Prolemur_simus
ENSOGAP00000019219	ENSOGAG00000025664	Otolemur_garnettii
ENSCGRP00001014179	ENSCGRG00001015135	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000021205	ENSCGRG00000015398	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015023705	ENSCGRG00015018043	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000003708	ENSMAUG00000004233	Mesocricetus_auratus
ENSMOCP00000004043	ENSMOCG00000003238	Microtus_ochrogaster
ENSPEMP00000004621	ENSPEMG00000006961	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0088855	MGP_SPRETEiJ_G0032440	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000015895	ENSMSIG00000013671	Mus_spicilegus
ENSMUSP00000064680	ENSMUSG00000052837	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0085355	MGP_CAROLIEiJ_G0031321	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0053621	MGP_PahariEiJ_G0022926	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000061729	ENSRNOG00000042838	Rattus_norvegicus
ENSMUGP00000016154	ENSMUGG00000013861	Meriones_unguiculatus
ENSNGAP00000004996	ENSNGAG00000006939	Nannospalax_galili
ENSCCNP00000017438	ENSCCNG00000017765	Castor_canadensis
ENSUPAP00010009730	ENSUPAG00010007878	Urocitellus_parryii
ENSSDAP00000009647	ENSSDAG00000008788	Spermophilus_dauricus
ENSSTOP00000025254	ENSSTOG00000031929	Ictidomys_tridecemlineatus
ENSMMMP00000023825	ENSMMMG00000020869	Marmota_marmota_marmota
ENSPCAP00000014225	ENSPCAG00000015270	Procavia_capensis
ENSETEP00000007306	ENSETEG00000008994	Echinops_telfairi
ENSLAFP00000021053	ENSLAFG00000008530	Loxodonta_africana
ENSDNOP00000028652	ENSDNOG00000013767	Dasypus_novemcinctus
ENSUAMP00000025159	ENSUAMG00000019609	Ursus_americanus
ENSPCIP00000018468	ENSPCIG00000014125	Phascolarctos_cinereus
ENSVURP00010016293	ENSVURG00010012482	Vombatus_ursinus
ENSMODP00000053073	ENSMODG00000044926	Monodelphis_domestica
ENSOANP00000012108	ENSOANG00000007596	Ornithorhynchus_anatinus
ENSXETP00000035187	ENSXETG00000014403	Xenopus_tropicalis
ENSPVIP00000017093	ENSPVIG00000013181	Pogona_vitticeps
ENSACAP00000018565	ENSACAG00000022758	Anolis_carolinensis
ENSSMRP00000005281	ENSSMRG00000004310	Salvator_merianae
ENSSPUP00000020129	ENSSPUG00000015461	Sphenodon_punctatus
ENSCABP00000013485	ENSCABG00000010113	Chelonoidis_abingdonii
ENSGAGP00000001946	ENSGAGG00000001567	Gopherus_agassizii
ENSCPBP00000034240	ENSCPBG00000023907	Chrysemys_picta_bellii
