ENSSFOP00015001387	ENSSFOG00015000949	Scleropages_formosus
ENSPKIP00000030110	ENSPKIG00000011067	Paramormyrops_kingsleyae
ENSDCDP00000024296	ENSDCDG00000018204	Denticeps_clupeoides
ENSCHAP00000005299	ENSCHAG00000003410	Clupea_harengus
ENSAMXP00000001335	ENSAMXG00000001310	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005006353	ENSAMXG00005003779	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000003113	ENSPNAG00000009493	Pygocentrus_nattereri
ENSIPUP00000000792	ENSIPUG00000000565	Ictalurus_punctatus
ENSEEEP00000004559	ENSEEEG00000002372	Electrophorus_electricus
ENSDARP00000055263	ENSDARG00000009568	Danio_rerio
ENSHHUP00000037028	ENSHHUG00000023205	Hucho_hucho
ENSHHUP00000074494	ENSHHUG00000043707	Hucho_hucho
ENSELUP00000029562	ENSELUG00000006534	Esox_lucius
ENSLBEP00000012773	ENSLBEG00000009814	Labrus_bergylta
ENSPMGP00000006067	ENSPMGG00000005105	Periophthalmus_magnuspinnatus
ENSCSEP00000021746	ENSCSEG00000013864	Cynoglossus_semilaevis
ENSXCOP00000014211	ENSXCOG00000010766	Xiphophorus_couchianus
ENSPMEP00000019168	ENSPMEG00000022149	Poecilia_mexicana
ENSFHEP00000007713	ENSFHEG00000008890	Fundulus_heteroclitus
ENSBSLP00000005977	ENSBSLG00000003117	Betta_splendens
ENSAOCP00000019711	ENSAOCG00000003288	Amphiprion_ocellaris
ENSAPEP00000029492	ENSAPEG00000020965	Amphiprion_percula
ENSAPOP00000022451	ENSAPOG00000003769	Acanthochromis_polyacanthus
ENSSPAP00000026222	ENSSPAG00000019601	Stegastes_partitus
ENSTNIP00000007951	ENSTNIG00000005272	Tetraodon_nigroviridis
ENSTNIP00000017020	ENSTNIG00000014012	Tetraodon_nigroviridis
ENSTRUP00000032938	ENSTRUG00000012987	Takifugu_rubripes
ENSLCRP00005033995	ENSLCRG00005013338	Larimichthys_crocea
ENSMMOP00000008738	ENSMMOG00000006758	Mola_mola
ENSCGOP00000048302	ENSCGOG00000021567	Cottoperca_gobio
ENSGACP00000000619	ENSGACG00000000484	Gasterosteus_aculeatus
ENSACLP00000007337	ENSACLG00000004962	Astatotilapia_calliptera
ENSHBUP00000018507	ENSHBUG00000020616	Haplochromis_burtoni
ENSMZEP00005000962	ENSMZEG00005000607	Maylandia_zebra
ENSPNYP00000029706	ENSPNYG00000022387	Pundamilia_nyererei
ENSNBRP00000010972	ENSNBRG00000008485	Neolamprologus_brichardi
ENSONIP00000007914	ENSONIG00000006280	Oreochromis_niloticus
ENSACIP00000027059	ENSACIG00000020958	Amphilophus_citrinellus
ENSPRNP00000035735	ENSPRNG00000017683	Parambassis_ranga
ENSPRNP00000039890	ENSPRNG00000019520	Parambassis_ranga
ENSPLAP00000025508	ENSPLAG00000012566	Poecilia_latipinna
ENSPMEP00000007865	ENSPMEG00000009631	Poecilia_mexicana
ENSPFOP00000019680	ENSPFOG00000019558	Poecilia_formosa
ENSXCOP00000015938	ENSXCOG00000012042	Xiphophorus_couchianus
ENSPFOP00000016332	ENSPFOG00000016248	Poecilia_formosa
ENSPREP00000011576	ENSPREG00000007889	Poecilia_reticulata
ENSPLAP00000027636	ENSPLAG00000016401	Poecilia_latipinna
ENSXMAP00000008416	ENSXMAG00000008389	Xiphophorus_maculatus
ENSGAFP00000008639	ENSGAFG00000005856	Gambusia_affinis
ENSCVAP00000025908	ENSCVAG00000011068	Cyprinodon_variegatus
ENSMALP00000002945	ENSMALG00000002201	Monopterus_albus
ENSATEP00000012814	ENSATEG00000008832	Anabas_testudineus
ENSSLDP00000013990	ENSSLDG00000011164	Seriola_lalandi_dorsalis
ENSSDUP00000032469	ENSSDUG00000023325	Seriola_dumerili
ENSSMAP00000027641	ENSSMAG00000016903	Scophthalmus_maximus
ENSPMGP00000006069	ENSPMGG00000005106	Periophthalmus_magnuspinnatus
ENSGMOP00000009825	ENSGMOG00000009194	Gadus_morhua
ENSATEP00000034703	ENSATEG00000023844	Anabas_testudineus
ENSLBEP00000036738	ENSLBEG00000027462	Labrus_bergylta
ENSLCRP00005015043	ENSLCRG00005006408	Larimichthys_crocea
ENSCGOP00000036637	ENSCGOG00000016903	Cottoperca_gobio
ENSMMOP00000000894	ENSMMOG00000000721	Mola_mola
ENSPRNP00000020701	ENSPRNG00000010739	Parambassis_ranga
ENSKMAP00000013812	ENSKMAG00000010347	Kryptolebias_marmoratus
ENSBSLP00000041284	ENSBSLG00000019916	Betta_splendens
ENSPMEP00000014708	ENSPMEG00000017126	Poecilia_mexicana
ENSPLAP00000015936	ENSPLAG00000019975	Poecilia_latipinna
ENSPFOP00000006404	ENSPFOG00000006428	Poecilia_formosa
ENSPREP00000025549	ENSPREG00000017244	Poecilia_reticulata
ENSXMAP00000033670	ENSXMAG00000016604	Xiphophorus_maculatus
ENSXCOP00000004078	ENSXCOG00000003203	Xiphophorus_couchianus
ENSGAFP00000021856	ENSGAFG00000014748	Gambusia_affinis
ENSCVAP00000012160	ENSCVAG00000014562	Cyprinodon_variegatus
ENSORLP00000037826	ENSORLG00000024235	Oryzias_latipes_ASM223467v1
ENSORLP00015030181	ENSORLG00015013755	Oryzias_latipes_ASM223469v1
ENSORLP00020014940	ENSORLG00020015953	Oryzias_latipes_ASM223471v1
ENSOMEP00000013743	ENSOMEG00000015201	Oryzias_melastigma
ENSMZEP00005004361	ENSMZEG00005003382	Maylandia_zebra
ENSPNYP00000011917	ENSPNYG00000009045	Pundamilia_nyererei
ENSHBUP00000032029	ENSHBUG00000018085	Haplochromis_burtoni
ENSACLP00000036882	ENSACLG00000024981	Astatotilapia_calliptera
ENSNBRP00000031387	ENSNBRG00000023851	Neolamprologus_brichardi
ENSONIP00000024552	ENSONIG00000019505	Oreochromis_niloticus
ENSACIP00000029949	ENSACIG00000023174	Amphilophus_citrinellus
ENSAOCP00000021256	ENSAOCG00000005869	Amphiprion_ocellaris
ENSAPEP00000025653	ENSAPEG00000018251	Amphiprion_percula
ENSSPAP00000001025	ENSSPAG00000000770	Stegastes_partitus
ENSTRUP00000007839	ENSTRUG00000003350	Takifugu_rubripes
ENSTNIP00000008826	ENSTNIG00000006082	Tetraodon_nigroviridis
ENSGACP00000020102	ENSGACG00000015243	Gasterosteus_aculeatus
ENSTNIP00000022758	ENSTNIG00000019532	Tetraodon_nigroviridis
ENSAPOP00000030445	ENSAPOG00000017026	Acanthochromis_polyacanthus
ENSMAMP00000030056	ENSMAMG00000020268	Mastacembelus_armatus
ENSMALP00000022629	ENSMALG00000015802	Monopterus_albus
ENSSDUP00000018250	ENSSDUG00000013318	Seriola_dumerili
ENSSLDP00000004874	ENSSLDG00000003855	Seriola_lalandi_dorsalis
ENSSMAP00000002654	ENSSMAG00000001668	Scophthalmus_maximus
ENSLCAP00010055948	ENSLCAG00010026095	Lates_calcarifer
ENSHCOP00000022134	ENSHCOG00000009575	Hippocampus_comes
ENSGWIP00000050708	ENSGWIG00000024606	Gouania_willdenowi
ENSCSEP00000004440	ENSCSEG00000002861	Cynoglossus_semilaevis
ENSGMOP00000014856	ENSGMOG00000013917	Gadus_morhua
ENSHHUP00000041211	ENSHHUG00000025426	Hucho_hucho
ENSHHUP00000002849	ENSHHUG00000001801	Hucho_hucho
ENSELUP00000043138	ENSELUG00000024623	Esox_lucius
ENSAPOP00000009304	ENSAPOG00000011584	Acanthochromis_polyacanthus
ENSFHEP00000032587	ENSFHEG00000019155	Fundulus_heteroclitus
ENSMALP00000022652	ENSMALG00000015823	Monopterus_albus
ENSTRUP00000048538	ENSTRUG00000022609	Takifugu_rubripes
ENSPCIP00000007883	ENSPCIG00000006585	Phascolarctos_cinereus
ENSVURP00010018024	ENSVURG00010013776	Vombatus_ursinus
ENSMODP00000056904	ENSMODG00000033172	Monodelphis_domestica
ENSFALP00000002897	ENSFALG00000002775	Ficedula_albicollis
ENSZALP00000022594	ENSZALG00000017558	Zonotrichia_albicollis
ENSAOWP00000004274	ENSAOWG00000002992	Apteryx_owenii
ENSUAMP00000028538	ENSUAMG00000022053	Ursus_americanus
ENSDCDP00000029295	ENSDCDG00000020817	Denticeps_clupeoides
ENSCHAP00000046365	ENSCHAG00000021470	Clupea_harengus
ENSPNAP00000025525	ENSPNAG00000010679	Pygocentrus_nattereri	ENSPNAT00000007401
ENSAMXP00005009483	ENSAMXG00005005376	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSEEEP00000051607	ENSEEEG00000024233	Electrophorus_electricus
ENSIPUP00000005503	ENSIPUG00000003818	Ictalurus_punctatus
ENSDARP00000143800	ENSDARG00000052644	Danio_rerio
ENSLOCP00000013598	ENSLOCG00000011070	Lepisosteus_oculatus
ENSECRP00000032909	ENSECRG00000022284	Erpetoichthys_calabaricus
ENSBIXP00000003577	ENSBIXG00000009999	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005026046	ENSBIXG00005002468	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000046047	ENSBTAG00000034681	Bos_taurus
ENSBMUP00000020427	ENSBMUG00000015384	Bos_mutus
ENSBBBP00000018221	ENSBBBG00000001978	Bison_bison_bison
ENSSSCP00000023259	ENSSSCG00000023169	Sus_scrofa_strain_reference
ENSTTRP00000001587	ENSTTRG00000001682	Tursiops_truncatus
ENSVPAP00000007598	ENSVPAG00000008163	Vicugna_pacos
ENSECAP00000010848	ENSECAG00000013061	Equus_caballus
ENSEASP00005024798	ENSEASG00005016878	Equus_asinus_asinus
ENSEEUP00000000914	ENSEEUG00000001027	Erinaceus_europaeus
ENSSARP00000001023	ENSSARG00000001123	Sorex_araneus
ENSCAFP00020032840	ENSCAFG00020025515	Canis_lupus_dingo
ENSCAFP00000036841	ENSCAFG00000030895	Canis_lupus_familiaris
ENSVVUP00000015603	ENSVVUG00000011449	Vulpes_vulpes
ENSNVIP00000015151	ENSNVIG00000011875	Neovison_vison
ENSMPUP00000015500	ENSMPUG00000015610	Mustela_putorius_furo
ENSAMEP00000017905	ENSAMEG00000016952	Ailuropoda_melanoleuca
ENSUMAP00000017005	ENSUMAG00000012475	Ursus_maritimus
ENSPPRP00000016320	ENSPPRG00000008658	Panthera_pardus
ENSPTIP00000018982	ENSPTIG00000016926	Panthera_tigris_altaica
ENSFCAP00000048603	ENSFCAG00000002278	Felis_catus
ENSCCNP00000014458	ENSCCNG00000014945	Castor_canadensis
ENSPPAP00000012744	ENSPPAG00000029545	Pan_paniscus
ENSPTRP00000016004	ENSPTRG00000009419	Pan_troglodytes
ENSGGOP00000015077	ENSGGOG00000015456	Gorilla_gorilla
ENSP00000405388	ENSG00000154975	Homo_sapiens
ENSPPYP00000009286	ENSPPYG00000008263	Pongo_abelii
ENSNLEP00000009701	ENSNLEG00000007945	Nomascus_leucogenys
ENSTGEP00000030344	ENSTGEG00000024351	Theropithecus_gelada
ENSPANP00000034149	ENSPANG00000022378	Papio_anubis
ENSCATP00000033951	ENSCATG00000039920	Cercocebus_atys
ENSMLEP00000029108	ENSMLEG00000038750	Mandrillus_leucophaeus
ENSRROP00000022454	ENSRROG00000035087	Rhinopithecus_roxellana
ENSRBIP00000024821	ENSRBIG00000036304	Rhinopithecus_bieti
ENSCANP00000005571	ENSCANG00000018902	Colobus_angolensis_palliatus
ENSMNEP00000030867	ENSMNEG00000038854	Macaca_nemestrina
ENSMMUP00000062137	ENSMMUG00000013737	Macaca_mulatta
ENSMFAP00000012169	ENSMFAG00000021148	Macaca_fascicularis
ENSPTEP00000043237	ENSPTEG00000039397	Piliocolobus_tephrosceles
ENSSBOP00000018894	ENSSBOG00000026052	Saimiri_boliviensis_boliviensis
ENSCJAP00000020988	ENSCJAG00000011392	Callithrix_jacchus
ENSCCAP00000031808	ENSCCAG00000033937	Cebus_capucinus_imitator
ENSANAP00000020360	ENSANAG00000027963	Aotus_nancymaae
ENSPCOP00000028291	ENSPCOG00000026750	Propithecus_coquereli
ENSMICP00000045578	ENSMICG00000043674	Microcebus_murinus
ENSPSMP00000012131	ENSPSMG00000008752	Prolemur_simus
ENSDNOP00000020186	ENSDNOG00000033523	Dasypus_novemcinctus
ENSCLAP00000021618	ENSCLAG00000014796	Chinchilla_lanigera
ENSODEP00000022095	ENSODEG00000016234	Octodon_degus
ENSCAPP00000010831	ENSCAPG00000011997	Cavia_aperea
ENSCPOP00000013970	ENSCPOG00000015491	Cavia_porcellus
ENSHGLP00000017410	ENSHGLG00000012469	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100010891	ENSHGLG00100008086	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000021853	ENSFDAG00000007408	Fukomys_damarensis
ENSSTOP00000014664	ENSSTOG00000016378	Ictidomys_tridecemlineatus
ENSSDAP00000001844	ENSSDAG00000001750	Spermophilus_dauricus
ENSMMMP00000024155	ENSMMMG00000021089	Marmota_marmota_marmota
ENSCGRP00000005937	ENSCGRG00000004358	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001017864	ENSCGRG00001017785	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015028746	ENSCGRG00015021723	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000018506	ENSMAUG00000017037	Mesocricetus_auratus
ENSMOCP00000011225	ENSMOCG00000011451	Microtus_ochrogaster
ENSPEMP00000000904	ENSPEMG00000000626	Peromyscus_maniculatus_bairdii
ENSMSIP00000006794	ENSMSIG00000006012	Mus_spicilegus
MGP_SPRETEiJ_P0030611	MGP_SPRETEiJ_G0017813	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000103495	ENSMUSG00000056158	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0029196	MGP_CAROLIEiJ_G0016967	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0035909	MGP_PahariEiJ_G0018098	Mus_pahari_strain_PAHARI_EIJ
