ENSBIXP00000006823	ENSBIXG00000012905	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSETEP00000000377	ENSETEG00000000472	Echinops_telfairi
ENSHGLP00000011408	ENSHGLG00000008178	Heterocephalus_glaber_HetGla_female_1.0
ENSANAP00000016093	ENSANAG00000025915	Aotus_nancymaae
ENSSDAP00000002166	ENSSDAG00000002074	Spermophilus_dauricus	ENSSDAT00000002501
ENSCGRP00015033914	ENSCGRG00015025577	Cricetulus_griseus_CriGri-PICR
ENSPTIP00000000625	ENSPTIG00000001661	Panthera_tigris_altaica
ENSSDAP00000002201	ENSSDAG00000002122	Spermophilus_dauricus
ENSMAUP00000000638	ENSMAUG00000000514	Mesocricetus_auratus
ENSUMAP00000006965	ENSUMAG00000005419	Ursus_maritimus
ENSPTEP00000030738	ENSPTEG00000029882	Piliocolobus_tephrosceles	ENSPTET00000042521
ENSMMMP00000014883	ENSMMMG00000013254	Marmota_marmota_marmota
ENSLAFP00000023831	ENSLAFG00000030427	Loxodonta_africana
ENSBTAP00000026550	ENSBTAG00000019931	Bos_taurus
ENSOARP00000004638	ENSOARG00000004337	Ovis_aries
ENSMMUP00000081241	ENSMMUG00000052919	Macaca_mulatta
ENSEEUP00000011005	ENSEEUG00000012069	Erinaceus_europaeus
ENSMUGP00000005445	ENSMUGG00000005019	Meriones_unguiculatus
ENSCGRP00000022417	ENSCGRG00000016240	Cricetulus_griseus_CriGri_1.0
ENSRNOP00000034392	ENSRNOG00000027702	Rattus_norvegicus
ENSECAP00000034302	ENSECAG00000008357	Equus_caballus
ENSBIXP00005038125	ENSBIXG00005003319	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSODEP00000015521	ENSODEG00000011458	Octodon_degus
ENSMUSP00000124251	ENSMUSG00000050526	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000020958	ENSMSIG00000017814	Mus_spicilegus
ENSOCUP00000037883	ENSOCUG00000016812	Oryctolagus_cuniculus
ENSSTOP00000018540	ENSSTOG00000028547	Ictidomys_tridecemlineatus
ENSOGAP00000021434	ENSOGAG00000033450	Otolemur_garnettii
ENSVVUP00000008922	ENSVVUG00000006667	Vulpes_vulpes
ENSCAFP00020018907	ENSCAFG00020015011	Canis_lupus_dingo
ENSDNOP00000025461	ENSDNOG00000045439	Dasypus_novemcinctus
ENSUPAP00010010296	ENSUPAG00010008346	Urocitellus_parryii
ENSCATP00000045203	ENSCATG00000045023	Cercocebus_atys
ENSBMUP00000006587	ENSBMUG00000005205	Bos_mutus
ENSPTEP00000030689	ENSPTEG00000029842	Piliocolobus_tephrosceles
ENSHGLP00100024337	ENSHGLG00100017870	Heterocephalus_glaber_HetGla_1.0
ENSFCAP00000043623	ENSFCAG00000043564	Felis_catus
ENSAMEP00000012890	ENSAMEG00000012252	Ailuropoda_melanoleuca
ENSPPAP00000035944	ENSPPAG00000040754	Pan_paniscus
MGP_CAROLIEiJ_P0019955	MGP_CAROLIEiJ_G0014620	Mus_caroli_strain_CAROLI_EIJ
ENSPSMP00000019107	ENSPSMG00000013483	Prolemur_simus	ENSPSMT00000022136
ENSGGOP00000036648	ENSGGOG00000039922	Gorilla_gorilla
ENSCCNP00000028694	ENSCCNG00000027611	Castor_canadensis
ENSEASP00005028905	ENSEASG00005019673	Equus_asinus_asinus
ENSMICP00000047770	ENSMICG00000026876	Microcebus_murinus
ENSCHIP00000030402	ENSCHIG00000025176	Capra_hircus
ENSBBBP00000017041	ENSBBBG00000009245	Bison_bison_bison
ENSMNEP00000037932	ENSMNEG00000042017	Macaca_nemestrina
ENSUPAP00010010305	ENSUPAG00010008352	Urocitellus_parryii
ENSFDAP00000010703	ENSFDAG00000018392	Fukomys_damarensis
ENSTGEP00000022661	ENSTGEG00000018334	Theropithecus_gelada	ENSTGET00000027051
ENSMLUP00000006286	ENSMLUG00000006892	Myotis_lucifugus
ENSPTRP00000062820	ENSPTRG00000044445	Pan_troglodytes
ENSPPRP00000028632	ENSPPRG00000020819	Panthera_pardus
ENSCGRP00001003546	ENSCGRG00001004313	Cricetulus_griseus_CHOK1GS_HDv1
ENSCPOP00000004842	ENSCPOG00000005380	Cavia_porcellus
ENSCANP00000015548	ENSCANG00000031221	Colobus_angolensis_palliatus
ENSPEMP00000019158	ENSPEMG00000017545	Peromyscus_maniculatus_bairdii
ENSMMMP00000014865	ENSMMMG00000013235	Marmota_marmota_marmota
MGP_PahariEiJ_P0075251	MGP_PahariEiJ_G0027856	Mus_pahari_strain_PAHARI_EIJ
ENSCAFP00000015192	ENSCAFG00000010337	Canis_lupus_familiaris
MGP_SPRETEiJ_P0021004	MGP_SPRETEiJ_G0015427	Mus_spretus_strain_SPRET/EiJ
ENSMOCP00000006814	ENSMOCG00000006511	Microtus_ochrogaster
ENSMFAP00000035050	ENSMFAG00000003992	Macaca_fascicularis
ENSPSMP00000003337	ENSPSMG00000002735	Prolemur_simus
ENSDORP00000023243	ENSDORG00000025988	Dipodomys_ordii
