ENSPMAP00000004853	ENSPMAG00000004417	Petromyzon_marinus	ENSPMAT00000004872
ENSEBUP00000009985	ENSEBUG00000006404	Eptatretus_burgeri	ENSEBUT00000010520
ENSOCUP00000024972	ENSOCUG00000024468	Oryctolagus_cuniculus	ENSOCUT00000030496
ENSOPRP00000013549	ENSOPRG00000014827	Ochotona_princeps	ENSOPRT00000014836
ENSPCAP00000006695	ENSPCAG00000007140	Procavia_capensis
ENSETEP00000007286	ENSETEG00000008972	Echinops_telfairi
ENSLAFP00000008930	ENSLAFG00000010667	Loxodonta_africana	ENSLAFT00000010668
ENSPVAP00000009568	ENSPVAG00000010149	Pteropus_vampyrus
ENSMLUP00000003435	ENSMLUG00000003767	Myotis_lucifugus
ENSEASP00005027543	ENSEASG00005018753	Equus_asinus_asinus
ENSECAP00000031864	ENSECAG00000018027	Equus_caballus
ENSBIXP00000006495	ENSBIXG00000006701	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005043663	ENSBIXG00005027435	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000013635	ENSBTAG00000010324	Bos_taurus
ENSBMUP00000000143	ENSBMUG00000000156	Bos_mutus
ENSBBBP00000024636	ENSBBBG00000019626	Bison_bison_bison
ENSCHIP00000014504	ENSCHIG00000015505	Capra_hircus
ENSOARP00000017050	ENSOARG00000015877	Ovis_aries
ENSTTRP00000005312	ENSTTRG00000005629	Tursiops_truncatus
ENSSSCP00000041084	ENSSSCG00000000095	Sus_scrofa_strain_reference
ENSVPAP00000001369	ENSVPAG00000001488	Vicugna_pacos
ENSUMAP00000019942	ENSUMAG00000014480	Ursus_maritimus
ENSUAMP00000014503	ENSUAMG00000011635	Ursus_americanus
ENSAMEP00000011298	ENSAMEG00000010713	Ailuropoda_melanoleuca
ENSCAFP00020003231	ENSCAFG00020002751	Canis_lupus_dingo
ENSCAFP00000057259	ENSCAFG00000001377	Canis_lupus_familiaris
ENSVVUP00000030983	ENSVVUG00000022607	Vulpes_vulpes
ENSNVIP00000002098	ENSNVIG00000001692	Neovison_vison
ENSMPUP00000013076	ENSMPUG00000013174	Mustela_putorius_furo
ENSPPRP00000012597	ENSPPRG00000006069	Panthera_pardus
ENSPTIP00000026272	ENSPTIG00000021742	Panthera_tigris_altaica
ENSFCAP00000047244	ENSFCAG00000010897	Felis_catus
ENSEEUP00000002242	ENSEEUG00000002454	Erinaceus_europaeus
