ENSSLDP00000006978	ENSSLDG00000005548	Seriola_lalandi_dorsalis
ENSELUP00000015660	ENSELUG00000015588	Esox_lucius
ENSMAMP00000011993	ENSMAMG00000008108	Mastacembelus_armatus
ENSCSEP00000022778	ENSCSEG00000014515	Cynoglossus_semilaevis
ENSPMEP00000008715	ENSPMEG00000000210	Poecilia_mexicana
ENSCHAP00000028035	ENSCHAG00000013561	Clupea_harengus	ENSCHAT00000030476
ENSPKIP00000026518	ENSPKIG00000008975	Paramormyrops_kingsleyae	ENSPKIT00000007274
ENSGAFP00000026531	ENSGAFG00000017914	Gambusia_affinis
ENSPRNP00000035369	ENSPRNG00000017715	Parambassis_ranga
ENSPLAP00000030560	ENSPLAG00000021739	Poecilia_latipinna
ENSXCOP00000001486	ENSXCOG00000001203	Xiphophorus_couchianus
ENSORLP00000006176	ENSORLG00000004907	Oryzias_latipes_ASM223467v1
ENSSDUP00000006970	ENSSDUG00000005132	Seriola_dumerili
ENSKMAP00000026124	ENSKMAG00000019364	Kryptolebias_marmoratus
ENSIPUP00000003934	ENSIPUG00000002780	Ictalurus_punctatus	ENSIPUT00000004121
ENSDARP00000138276	ENSDARG00000095615	Danio_rerio
ENSCGOP00000004840	ENSCGOG00000002497	Cottoperca_gobio
ENSGMOP00000014145	ENSGMOG00000013231	Gadus_morhua
ENSELUP00000006581	ENSELUG00000007457	Esox_lucius
ENSSFOP00015000109	ENSSFOG00015000096	Scleropages_formosus	ENSSFOT00015000133
ENSHCOP00000026027	ENSHCOG00000016602	Hippocampus_comes
ENSAMXP00005043146	ENSAMXG00005020099	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAPOP00000003355	ENSAPOG00000004851	Acanthochromis_polyacanthus
ENSORLP00015015330	ENSORLG00015016247	Oryzias_latipes_ASM223469v1
ENSPFOP00000020555	ENSPFOG00000020429	Poecilia_formosa
ENSLCRP00005022003	ENSLCRG00005008913	Larimichthys_crocea
ENSXMAP00000020190	ENSXMAG00000020143	Xiphophorus_maculatus
ENSATEP00000002033	ENSATEG00000001434	Anabas_testudineus
ENSORLP00020023302	ENSORLG00020004035	Oryzias_latipes_ASM223471v1
ENSTRUP00000053937	ENSTRUG00000020614	Takifugu_rubripes
ENSPNAP00000002834	ENSPNAG00000009181	Pygocentrus_nattereri
ENSGWIP00000014034	ENSGWIG00000007955	Gouania_willdenowi
ENSECRP00000031092	ENSECRG00000021076	Erpetoichthys_calabaricus
ENSLCAP00010035636	ENSLCAG00010016719	Lates_calcarifer
ENSBSLP00000023838	ENSBSLG00000012157	Betta_splendens
ENSCVAP00000007904	ENSCVAG00000009624	Cyprinodon_variegatus
ENSONIP00000026647	ENSONIG00000021345	Oreochromis_niloticus
ENSMALP00000000057	ENSMALG00000000097	Monopterus_albus
ENSLBEP00000007969	ENSLBEG00000006164	Labrus_bergylta
ENSACIP00000002433	ENSACIG00000001986	Amphilophus_citrinellus
ENSLOCP00000022432	ENSLOCG00000018331	Lepisosteus_oculatus
ENSMZEP00005012778	ENSMZEG00005009592	Maylandia_zebra
ENSGACP00000009303	ENSGACG00000007024	Gasterosteus_aculeatus
ENSDCDP00000001771	ENSDCDG00000000907	Denticeps_clupeoides	ENSDCDT00000001904
ENSSMAP00000024159	ENSSMAG00000014767	Scophthalmus_maximus
ENSPMGP00000007630	ENSPMGG00000006328	Periophthalmus_magnuspinnatus
ENSEEEP00000002576	ENSEEEG00000001486	Electrophorus_electricus
ENSCMIP00000013429	ENSCMIG00000006743	Callorhinchus_milii
ENSNBRP00000006854	ENSNBRG00000005368	Neolamprologus_brichardi
ENSOMEP00000016828	ENSOMEG00000018478	Oryzias_melastigma
ENSFHEP00000012737	ENSFHEG00000014192	Fundulus_heteroclitus
ENSPNYP00000027234	ENSPNYG00000020536	Pundamilia_nyererei
ENSSPAP00000018276	ENSSPAG00000013795	Stegastes_partitus
ENSEEEP00000030674	ENSEEEG00000014687	Electrophorus_electricus
ENSAOCP00000029452	ENSAOCG00000002340	Amphiprion_ocellaris
ENSPREP00000001575	ENSPREG00000001172	Poecilia_reticulata
ENSLACP00000019350	ENSLACG00000017020	Latimeria_chalumnae
ENSAPEP00000026993	ENSAPEG00000019182	Amphiprion_percula
ENSACLP00000000861	ENSACLG00000000633	Astatotilapia_calliptera
