ENSHGLP00000026249	ENSHGLG00000018678	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100015970	ENSHGLG00100011783	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000004498	ENSFDAG00000013712	Fukomys_damarensis
ENSCPOP00000026750	ENSCPOG00000038491	Cavia_porcellus
ENSCLAP00000004892	ENSCLAG00000003475	Chinchilla_lanigera
ENSUPAP00010017743	ENSUPAG00010014126	Urocitellus_parryii
ENSSTOP00000020633	ENSSTOG00000023041	Ictidomys_tridecemlineatus
ENSMMMP00000021380	ENSMMMG00000018834	Marmota_marmota_marmota
ENSSDAP00000021952	ENSSDAG00000019938	Spermophilus_dauricus
ENSCGRP00000005055	ENSCGRG00000003697	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015001282	ENSCGRG00015001108	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001025936	ENSCGRG00001023393	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000001196	ENSMAUG00000000890	Mesocricetus_auratus
ENSMOCP00000002899	ENSMOCG00000002312	Microtus_ochrogaster
ENSPEMP00000018480	ENSPEMG00000017060	Peromyscus_maniculatus_bairdii
ENSMSIP00000005729	ENSMSIG00000005142	Mus_spicilegus
MGP_SPRETEiJ_P0034394	MGP_SPRETEiJ_G0018805	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0032880	MGP_CAROLIEiJ_G0017960	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000004913	ENSMUSG00000004791	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0082996	MGP_PahariEiJ_G0029719	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000007790	ENSRNOG00000005650	Rattus_norvegicus
ENSMUGP00000016955	ENSMUGG00000014490	Meriones_unguiculatus
ENSNGAP00000000704	ENSNGAG00000000539	Nannospalax_galili
ENSJJAP00000015668	ENSJJAG00000017768	Jaculus_jaculus
ENSDORP00000021761	ENSDORG00000029841	Dipodomys_ordii
ENSMMUP00000056902	ENSMMUG00000002909	Macaca_mulatta
ENSMNEP00000011442	ENSMNEG00000030055	Macaca_nemestrina
ENSCSAP00000008384	ENSCSAG00000012223	Chlorocebus_sabaeus
ENSCATP00000007251	ENSCATG00000021773	Cercocebus_atys
ENSTGEP00000030675	ENSTGEG00000024601	Theropithecus_gelada
ENSMLEP00000009530	ENSMLEG00000028938	Mandrillus_leucophaeus
ENSRROP00000020775	ENSRROG00000034324	Rhinopithecus_roxellana
ENSRBIP00000015280	ENSRBIG00000031738	Rhinopithecus_bieti
ENSP00000451040	ENSG00000119630	Homo_sapiens
ENSPPYP00000006816	ENSPPYG00000005995	Pongo_abelii
ENSPTEP00000026523	ENSPTEG00000026569	Piliocolobus_tephrosceles
ENSTSYP00000031998	ENSTSYG00000035657	Carlito_syrichta
ENSNVIP00000019881	ENSNVIG00000015578	Neovison_vison	ENSNVIT00000023178
ENSMPUP00000009182	ENSMPUG00000009258	Mustela_putorius_furo
ENSUAMP00000017042	ENSUAMG00000013523	Ursus_americanus
ENSUMAP00000010977	ENSUMAG00000008261	Ursus_maritimus
ENSVVUP00000006780	ENSVVUG00000005220	Vulpes_vulpes
ENSVVUP00000005067	ENSVVUG00000003978	Vulpes_vulpes
ENSCAFP00000025015	ENSCAFG00000016995	Canis_lupus_familiaris
ENSCAFP00020002922	ENSCAFG00020002459	Canis_lupus_dingo
ENSPPRP00000005263	ENSPPRG00000001100	Panthera_pardus
ENSPTIP00000017261	ENSPTIG00000015737	Panthera_tigris_altaica
ENSFCAP00000045886	ENSFCAG00000036808	Felis_catus
ENSOCUP00000020425	ENSOCUG00000026354	Oryctolagus_cuniculus
ENSOPRP00000010832	ENSOPRG00000011869	Ochotona_princeps
ENSCCNP00000005471	ENSCCNG00000005818	Castor_canadensis
ENSNLEP00000032743	ENSNLEG00000016375	Nomascus_leucogenys
ENSCHIP00000025063	ENSCHIG00000021989	Capra_hircus
ENSOARP00000001617	ENSOARG00000001545	Ovis_aries
ENSBIXP00000019749	ENSBIXG00000023306	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005022555	ENSBIXG00005025480	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000073796	ENSBTAG00000013688	Bos_taurus
ENSBMUP00000009691	ENSBMUG00000007539	Bos_mutus
ENSBBBP00000005579	ENSBBBG00000014283	Bison_bison_bison
ENSPCAP00000009982	ENSPCAG00000010676	Procavia_capensis
ENSETEP00000006422	ENSETEG00000007912	Echinops_telfairi
ENSEASP00005017376	ENSEASG00005012033	Equus_asinus_asinus
ENSECAP00000049119	ENSECAG00000031273	Equus_caballus
ENSLAFP00000013941	ENSLAFG00000016611	Loxodonta_africana
ENSPCOP00000010024	ENSPCOG00000016435	Propithecus_coquereli
ENSPSMP00000021377	ENSPSMG00000015095	Prolemur_simus
ENSMICP00000020925	ENSMICG00000006094	Microcebus_murinus
ENSOGAP00000007368	ENSOGAG00000008229	Otolemur_garnettii
ENSCCAP00000004153	ENSCCAG00000019441	Cebus_capucinus_imitator
ENSTTRP00000001801	ENSTTRG00000001918	Tursiops_truncatus
ENSVPAP00000002848	ENSVPAG00000003079	Vicugna_pacos
ENSAMEP00000019353	ENSAMEG00000018314	Ailuropoda_melanoleuca
ENSMLUP00000005424	ENSMLUG00000005931	Myotis_lucifugus
ENSPVAP00000000624	ENSPVAG00000000662	Pteropus_vampyrus
ENSPPAP00000015759	ENSPPAG00000031002	Pan_paniscus
ENSPTRP00000059277	ENSPTRG00000006545	Pan_troglodytes
ENSGGOP00000014380	ENSGGOG00000014737	Gorilla_gorilla
ENSCANP00000025373	ENSCANG00000036105	Colobus_angolensis_palliatus
ENSANAP00000030187	ENSANAG00000032847	Aotus_nancymaae
ENSCJAP00000038230	ENSCJAG00000020572	Callithrix_jacchus
ENSMFAP00000026037	ENSMFAG00000044494	Macaca_fascicularis
ENSPANP00000040068	ENSPANG00000017556	Papio_anubis
ENSSBOP00000008776	ENSSBOG00000021274	Saimiri_boliviensis_boliviensis
ENSDNOP00000025681	ENSDNOG00000042336	Dasypus_novemcinctus
ENSOANP00000025347	ENSOANG00000019969	Ornithorhynchus_anatinus
ENSPCIP00000010771	ENSPCIG00000008740	Phascolarctos_cinereus
ENSVURP00010023708	ENSVURG00010018167	Vombatus_ursinus
ENSMEUP00000013034	ENSMEUG00000014288	Notamacropus_eugenii
ENSSHAP00000021472	ENSSHAG00000018194	Sarcophilus_harrisii
ENSMODP00000048445	ENSMODG00000006071	Monodelphis_domestica
ENSSPUP00000019224	ENSSPUG00000014813	Sphenodon_punctatus
ENSSPUP00000004457	ENSSPUG00000003427	Sphenodon_punctatus
ENSACAP00000016515	ENSACAG00000016795	Anolis_carolinensis
ENSPVIP00000026954	ENSPVIG00000020066	Pogona_vitticeps
ENSSMRP00000016204	ENSSMRG00000012606	Salvator_merianae
