ENSCHIP00000005556	ENSCHIG00000009651	Capra_hircus
ENSOARP00000002013	ENSOARG00000001915	Ovis_aries
ENSBTAP00000037223	ENSBTAG00000026340	Bos_taurus
ENSBMUP00000014978	ENSBMUG00000011367	Bos_mutus
ENSBIXP00000007060	ENSBIXG00000013084	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000024956	ENSBBBG00000020151	Bison_bison_bison
ENSBIXP00005027501	ENSBIXG00005030522	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSSCP00000071340	ENSSSCG00000033726	Sus_scrofa_strain_reference	ENSSSCT00000079447
ENSECAP00000030534	ENSECAG00000021955	Equus_caballus
ENSEASP00005030943	ENSEASG00005021088	Equus_asinus_asinus
ENSAMEP00000001558	ENSAMEG00000001467	Ailuropoda_melanoleuca
ENSUAMP00000036668	ENSUAMG00000027778	Ursus_americanus
ENSMPUP00000002065	ENSMPUG00000002086	Mustela_putorius_furo
ENSMPUP00000002066	ENSMPUG00000002087	Mustela_putorius_furo
ENSNVIP00000019121	ENSNVIG00000014885	Neovison_vison
ENSCAFP00000042793	ENSCAFG00000001272	Canis_lupus_familiaris
ENSCAFP00020023528	ENSCAFG00020018522	Canis_lupus_dingo
ENSVVUP00000018916	ENSVVUG00000013942	Vulpes_vulpes
ENSFCAP00000036476	ENSFCAG00000028159	Felis_catus
ENSPPRP00000012365	ENSPPRG00000005979	Panthera_pardus
ENSHGLP00100019377	ENSHGLG00100014287	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000010595	ENSFDAG00000006647	Fukomys_damarensis
ENSCLAP00000011428	ENSCLAG00000007880	Chinchilla_lanigera
ENSODEP00000019951	ENSODEG00000014726	Octodon_degus
ENSCPOP00000015490	ENSCPOG00000024726	Cavia_porcellus
ENSUPAP00010008421	ENSUPAG00010006615	Urocitellus_parryii
ENSSDAP00000019804	ENSSDAG00000017959	Spermophilus_dauricus
ENSMMMP00000006446	ENSMMMG00000005762	Marmota_marmota_marmota
ENSCCNP00000029027	ENSCCNG00000027864	Castor_canadensis
ENSDORP00000024702	ENSDORG00000023974	Dipodomys_ordii
ENSCGRP00000006049	ENSCGRG00000004432	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001019546	ENSCGRG00001018940	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015022103	ENSCGRG00015016783	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000017916	ENSMAUG00000016636	Mesocricetus_auratus
ENSMOCP00000000433	ENSMOCG00000000343	Microtus_ochrogaster
ENSPEMP00000002741	ENSPEMG00000003300	Peromyscus_maniculatus_bairdii
ENSMSIP00000022738	ENSMSIG00000019149	Mus_spicilegus
ENSMUSP00000023271	ENSMUSG00000022603	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0040248	MGP_SPRETEiJ_G0020768	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0038454	MGP_CAROLIEiJ_G0019870	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0041817	MGP_PahariEiJ_G0019876	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000010792	ENSMUGG00000009440	Meriones_unguiculatus
ENSJJAP00000018861	ENSJJAG00000019992	Jaculus_jaculus
ENSPSMP00000030767	ENSPSMG00000021356	Prolemur_simus
ENSOGAP00000015565	ENSOGAG00000032183	Otolemur_garnettii
ENSDNOP00000028487	ENSDNOG00000047720	Dasypus_novemcinctus
ENSLAFP00000020958	ENSLAFG00000027760	Loxodonta_africana
ENSSHAP00000020230	ENSSHAG00000017159	Sarcophilus_harrisii
ENSPCIP00000040363	ENSPCIG00000029538	Phascolarctos_cinereus
ENSMODP00000000049	ENSMODG00000000048	Monodelphis_domestica
ENSOANP00000022205	ENSOANG00000014078	Ornithorhynchus_anatinus
