F25G6.8.1	WBGene00017799	Caenorhabditis_elegans_strain_N2	F25G6.8.1
F25G6.9.1	WBGene00017800	Caenorhabditis_elegans_strain_N2	F25G6.9.1
ENSHGLP00100015220	ENSHGLG00100011258	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000018319	ENSHGLG00000013126	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000002325	ENSFDAG00000012064	Fukomys_damarensis
ENSCLAP00000021936	ENSCLAG00000015031	Chinchilla_lanigera
ENSCPOP00000030789	ENSCPOG00000035895	Cavia_porcellus
ENSODEP00000003768	ENSODEG00000002882	Octodon_degus
ENSODEP00000026345	ENSODEG00000019760	Octodon_degus
ENSODEP00000026718	ENSODEG00000020182	Octodon_degus
ENSDORP00000001106	ENSDORG00000001183	Dipodomys_ordii
ENSNGAP00000009805	ENSNGAG00000012397	Nannospalax_galili
ENSNGAP00000000877	ENSNGAG00000000669	Nannospalax_galili
ENSMOCP00000004322	ENSMOCG00000003560	Microtus_ochrogaster
ENSPEMP00000019235	ENSPEMG00000017595	Peromyscus_maniculatus_bairdii
ENSCGRP00015001984	ENSCGRG00015001631	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000002884	ENSCGRG00000002110	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001026557	ENSCGRG00001023834	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000022386	ENSMAUG00000019839	Mesocricetus_auratus
ENSMUSP00000009693	ENSMUSG00000009549	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0055838	MGP_SPRETEiJ_G0025032	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000014569	ENSMSIG00000012529	Mus_spicilegus
MGP_CAROLIEiJ_P0053740	MGP_CAROLIEiJ_G0024116	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0064719	MGP_PahariEiJ_G0025559	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000009866	ENSRNOG00000007512	Rattus_norvegicus
ENSJJAP00000018922	ENSJJAG00000020033	Jaculus_jaculus
ENSJJAP00000004718	ENSJJAG00000009738	Jaculus_jaculus
ENSTSYP00000025352	ENSTSYG00000009467	Carlito_syrichta
ENSTSYP00000023378	ENSTSYG00000033431	Carlito_syrichta
ENSTSYP00000017566	ENSTSYG00000037278	Carlito_syrichta
ENSCJAP00000054774	ENSCJAG00000047708	Callithrix_jacchus
ENSSBOP00000029035	ENSSBOG00000030860	Saimiri_boliviensis_boliviensis
ENSRBIP00000008873	ENSRBIG00000028320	Rhinopithecus_bieti
ENSCANP00000023514	ENSCANG00000035170	Colobus_angolensis_palliatus
