ENSMAMP00000011429	ENSMAMG00000007734	Mastacembelus_armatus
ENSATEP00000010577	ENSATEG00000007437	Anabas_testudineus
ENSSPAP00000022176	ENSSPAG00000016755	Stegastes_partitus
ENSKMAP00000024270	ENSKMAG00000017999	Kryptolebias_marmoratus
ENSOMEP00000020859	ENSOMEG00000022759	Oryzias_melastigma
ENSMALP00000012921	ENSMALG00000009157	Monopterus_albus
ENSSMAP00000026275	ENSSMAG00000016052	Scophthalmus_maximus
ENSLCAP00010022681	ENSLCAG00010010636	Lates_calcarifer
ENSPREP00000013204	ENSPREG00000008966	Poecilia_reticulata
ENSPMEP00000004822	ENSPMEG00000006129	Poecilia_mexicana
ENSACIP00000018899	ENSACIG00000014705	Amphilophus_citrinellus
ENSPRNP00000033600	ENSPRNG00000016910	Parambassis_ranga
ENSORLP00020025797	ENSORLG00020007959	Oryzias_latipes_ASM223471v1
ENSORLP00000043772	ENSORLG00000030222	Oryzias_latipes_ASM223467v1
ENSOMEP00000009219	ENSOMEG00000010420	Oryzias_melastigma
ENSCSEP00000001549	ENSCSEG00000001049	Cynoglossus_semilaevis	ENSCSET00000001579
ENSNBRP00000012093	ENSNBRG00000009442	Neolamprologus_brichardi
ENSPMGP00000004142	ENSPMGG00000003547	Periophthalmus_magnuspinnatus
ENSMMOP00000005487	ENSMMOG00000004326	Mola_mola
ENSCVAP00000020580	ENSCVAG00000002035	Cyprinodon_variegatus
ENSPREP00000030480	ENSPREG00000020636	Poecilia_reticulata
ENSOMEP00000000562	ENSOMEG00000001446	Oryzias_melastigma
ENSMZEP00005001965	ENSMZEG00005001581	Maylandia_zebra
ENSHBUP00000006849	ENSHBUG00000008318	Haplochromis_burtoni
ENSPNYP00000018169	ENSPNYG00000013726	Pundamilia_nyererei
ENSMALP00000016840	ENSMALG00000011793	Monopterus_albus
ENSMMOP00000022397	ENSMMOG00000017021	Mola_mola
ENSATEP00000018084	ENSATEG00000012569	Anabas_testudineus
ENSBSLP00000016244	ENSBSLG00000008578	Betta_splendens
ENSAPOP00000004652	ENSAPOG00000006253	Acanthochromis_polyacanthus
ENSHCOP00000010094	ENSHCOG00000012655	Hippocampus_comes
ENSLCRP00005045857	ENSLCRG00005017481	Larimichthys_crocea
ENSIPUP00000031641	ENSIPUG00000021285	Ictalurus_punctatus
ENSPKIP00000024936	ENSPKIG00000007985	Paramormyrops_kingsleyae
