FBpp0075822	FBgn0028668	Drosophila_melanogaster	FBtr0076091
FBpp0079709	FBgn0032294	Drosophila_melanogaster	FBtr0080120
FBpp0291555	FBgn0028667	Drosophila_melanogaster	FBtr0302359
FBpp0086218	FBgn0262513	Drosophila_melanogaster	FBtr0087070
FBpp0085485	FBgn0262736	Drosophila_melanogaster	FBtr0086152
ENSACAP00000001592	ENSACAG00000001666	Anolis_carolinensis
ENSNSUP00000001306	ENSNSUG00000001151	Notechis_scutatus
ENSSMRP00000021493	ENSSMRG00000016724	Salvator_merianae
ENSPVIP00000025139	ENSPVIG00000018892	Pogona_vitticeps
ENSSPUP00000021733	ENSSPUG00000016692	Sphenodon_punctatus
ENSSCAP00000000155	ENSSCAG00000000140	Serinus_canaria
ENSZALP00000000289	ENSZALG00000000339	Zonotrichia_albicollis
ENSTGUP00000003350	ENSTGUG00000003256	Taeniopygia_guttata
ENSJHYP00000000314	ENSJHYG00000000309	Junco_hyemalis
ENSPMJP00000010445	ENSPMJG00000008221	Parus_major
ENSCCEP00000023218	ENSCCEG00000020841	Cyanistes_caeruleus
ENSLCOP00000010159	ENSLCOG00000007394	Lepidothrix_coronata
ENSMUNP00000006017	ENSMUNG00000004890	Melopsittacus_undulatus
ENSCPGP00000024669	ENSCPGG00000016993	Calidris_pygmaea
ENSGALP00000015002	ENSGALG00000009229	Gallus_gallus
ENSCJPP00005023219	ENSCJPG00005018451	Coturnix_japonica
ENSNMEP00000025666	ENSNMEG00000021715	Numida_meleagris
ENSAPLP00000018118	ENSAPLG00000023935	Anas_platyrhynchos_platyrhynchos
ENSABRP00000004325	ENSABRG00000003996	Anser_brachyrhynchus
ENSMGAP00000010351	ENSMGAG00000010004	Meleagris_gallopavo
ENSMVIP00005013312	ENSMVIG00005009628	Manacus_vitellinus
ENSCPUP00000015757	ENSCPUG00000010947	Calidris_pugnax
ENSARWP00000024677	ENSARWG00000016802	Apteryx_rowi
ENSAHAP00000015505	ENSAHAG00000011096	Apteryx_haastii
ENSAOWP00000020199	ENSAOWG00000013669	Apteryx_owenii
ENSDNVP00000008850	ENSDNVG00000006304	Dromaius_novaehollandiae
ENSNPEP00000019819	ENSNPEG00000014742	Nothoprocta_perdicaria
ENSCPRP00005001050	ENSCPRG00005000800	Crocodylus_porosus
ENSGAGP00000013189	ENSGAGG00000010079	Gopherus_agassizii
ENSCABP00000015385	ENSCABG00000011485	Chelonoidis_abingdonii
