ENSPANP00000033035	ENSPANG00000029489	Papio_anubis	ENSPANT00000037531
ENSNLEP00000025284	ENSNLEG00000027774	Nomascus_leucogenys	ENSNLET00000039016
ENSPTEP00000021478	ENSPTEG00000022521	Piliocolobus_tephrosceles	ENSPTET00000030979
ENSCJAP00000074061	ENSCJAG00000066302	Callithrix_jacchus	ENSCJAT00000090657
ENSMFAP00000014148	ENSMFAG00000030170	Macaca_fascicularis	ENSMFAT00000064621
ENSCATP00000020838	ENSCATG00000034164	Cercocebus_atys	ENSCATT00000045032
ENSTGEP00000019173	ENSTGEG00000015425	Theropithecus_gelada	ENSTGET00000022820
ENSMNEP00000003863	ENSMNEG00000018044	Macaca_nemestrina	ENSMNET00000019698
ENSPPAP00000042837	ENSPPAG00000043971	Pan_paniscus	ENSPPAT00000065769
ENSMMUP00000071792	ENSMMUG00000064233	Macaca_mulatta	ENSMMUT00000087381
ENSGGOP00000044163	ENSGGOG00000038336	Gorilla_gorilla	ENSGGOT00000054669
ENSPTRP00000088079	ENSPTRG00000045925	Pan_troglodytes	ENSPTRT00000098892
