ENSCGRP00000017769	ENSCGRG00000012914	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001028091	ENSCGRG00001024910	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015029431	ENSCGRG00015022175	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000019511	ENSMAUG00000017782	Mesocricetus_auratus
ENSMOCP00000014536	ENSMOCG00000014006	Microtus_ochrogaster
ENSPEMP00000010972	ENSPEMG00000011763	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0032010	MGP_SPRETEiJ_G0018166	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000029647	ENSMSIG00000024812	Mus_spicilegus
ENSMUSP00000102429	ENSMUSG00000009210	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0030566	MGP_CAROLIEiJ_G0017322	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0037282	MGP_PahariEiJ_G0018452	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000074239	ENSRNOG00000060193	Rattus_norvegicus
ENSMUGP00000021012	ENSMUGG00000017653	Meriones_unguiculatus
ENSNGAP00000018840	ENSNGAG00000018850	Nannospalax_galili
ENSJJAP00000010088	ENSJJAG00000013757	Jaculus_jaculus
ENSCCNP00000019218	ENSCCNG00000019341	Castor_canadensis
ENSCAPP00000006500	ENSCAPG00000008650	Cavia_aperea
ENSCPOP00000020978	ENSCPOG00000026269	Cavia_porcellus
ENSCLAP00000010713	ENSCLAG00000007391	Chinchilla_lanigera
ENSHGLP00000007316	ENSHGLG00000005332	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100004459	ENSHGLG00100003373	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000000395	ENSFDAG00000010666	Fukomys_damarensis
ENSODEP00000012441	ENSODEG00000009229	Octodon_degus
ENSUPAP00010001670	ENSUPAG00010001383	Urocitellus_parryii
ENSSDAP00000010037	ENSSDAG00000009153	Spermophilus_dauricus
ENSSTOP00000027798	ENSSTOG00000030600	Ictidomys_tridecemlineatus
ENSDORP00000021688	ENSDORG00000025822	Dipodomys_ordii
ENSPSMP00000017098	ENSPSMG00000012203	Prolemur_simus
ENSMICP00000017748	ENSMICG00000028288	Microcebus_murinus
ENSPCOP00000028997	ENSPCOG00000027180	Propithecus_coquereli
ENSSBOP00000029889	ENSSBOG00000031248	Saimiri_boliviensis_boliviensis
ENSCJAP00000036093	ENSCJAG00000019442	Callithrix_jacchus
ENSANAP00000032197	ENSANAG00000033797	Aotus_nancymaae
ENSNLEP00000045726	ENSNLEG00000028222	Nomascus_leucogenys
ENSPTRP00000060242	ENSPTRG00000038752	Pan_troglodytes
ENSPPAP00000006351	ENSPPAG00000024924	Pan_paniscus
ENSP00000396936	ENSG00000224383	Homo_sapiens
ENSGGOP00000017012	ENSGGOG00000028409	Gorilla_gorilla
ENSRBIP00000024795	ENSRBIG00000036292	Rhinopithecus_bieti
ENSRROP00000005644	ENSRROG00000023151	Rhinopithecus_roxellana
ENSCANP00000008066	ENSCANG00000026493	Colobus_angolensis_palliatus
ENSPTEP00000009379	ENSPTEG00000010634	Piliocolobus_tephrosceles
ENSTGEP00000029560	ENSTGEG00000023762	Theropithecus_gelada
ENSPANP00000016463	ENSPANG00000020742	Papio_anubis
ENSCATP00000033969	ENSCATG00000039931	Cercocebus_atys
ENSMLEP00000022101	ENSMLEG00000035264	Mandrillus_leucophaeus
ENSMNEP00000003134	ENSMNEG00000014425	Macaca_nemestrina
ENSMFAP00000006187	ENSMFAG00000038365	Macaca_fascicularis
ENSCSAP00000000347	ENSCSAG00000003985	Chlorocebus_sabaeus
ENSCCAP00000008990	ENSCCAG00000022228	Cebus_capucinus_imitator
ENSMMUP00000071464	ENSMMUG00000047925	Macaca_mulatta
ENSNVIP00000030748	ENSNVIG00000023675	Neovison_vison
ENSMPUP00000014669	ENSMPUG00000014778	Mustela_putorius_furo
ENSAMEP00000003048	ENSAMEG00000002902	Ailuropoda_melanoleuca
ENSCAFP00000057912	ENSCAFG00000011806	Canis_lupus_familiaris
ENSVVUP00000008227	ENSVVUG00000006201	Vulpes_vulpes
ENSPPRP00000015366	ENSPPRG00000007993	Panthera_pardus
ENSPTIP00000024999	ENSPTIG00000020906	Panthera_tigris_altaica
ENSFCAP00000041232	ENSFCAG00000039072	Felis_catus
ENSBIXP00000009488	ENSBIXG00000015161	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005015354	ENSBIXG00005019177	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000007994	ENSBMUG00000006286	Bos_mutus
ENSOARP00000015235	ENSOARG00000014190	Ovis_aries
ENSSSCP00000070884	ENSSSCG00000037478	Sus_scrofa_strain_reference
ENSECAP00000004134	ENSECAG00000005914	Equus_caballus
ENSEASP00005020956	ENSEASG00005014353	Equus_asinus_asinus
ENSOCUP00000035032	ENSOCUG00000035912	Oryctolagus_cuniculus
ENSDNOP00000032650	ENSDNOG00000036008	Dasypus_novemcinctus
ENSPCIP00000006769	ENSPCIG00000005773	Phascolarctos_cinereus
ENSVURP00010013426	ENSVURG00010010339	Vombatus_ursinus
ENSSHAP00000016466	ENSSHAG00000014008	Sarcophilus_harrisii
ENSMODP00000051951	ENSMODG00000043418	Monodelphis_domestica
