ENSCCEP00000015100	ENSCCEG00000014322	Cyanistes_caeruleus
ENSCAPP00000004830	ENSCAPG00000007254	Cavia_aperea
ENSCJPP00005003606	ENSCJPG00005003748	Coturnix_japonica
ENSPLAP00000018370	ENSPLAG00000023422	Poecilia_latipinna	ENSPLAT00000027843
ENSMEUP00000013478	ENSMEUG00000014756	Notamacropus_eugenii
ENSPPYP00000021456	ENSPPYG00000019150	Pongo_abelii
ENSGAFP00000008725	ENSGAFG00000005897	Gambusia_affinis
ENSPTRP00000035646	ENSPTRG00000020843	Pan_troglodytes
ENSHGLP00000026604	ENSHGLG00000018922	Heterocephalus_glaber_HetGla_female_1.0
ENSUMAP00000007510	ENSUMAG00000005807	Ursus_maritimus
ENSECAP00000013327	ENSECAG00000014846	Equus_caballus
ENSCCAP00000009447	ENSCCAG00000022465	Cebus_capucinus_imitator
ENSBTAP00000070636	ENSBTAG00000000555	Bos_taurus
ENSIPUP00000029762	ENSIPUG00000020088	Ictalurus_punctatus
ENSFHEP00000004701	ENSFHEG00000005619	Fundulus_heteroclitus	ENSFHET00000008399
ENSAMXP00000002569	ENSAMXG00000002499	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMEP00000003962	ENSAMEG00000003746	Ailuropoda_melanoleuca
ENSDCDP00000047890	ENSDCDG00000029709	Denticeps_clupeoides
ENSVPAP00000009192	ENSVPAG00000009876	Vicugna_pacos
ENSMODP00000059501	ENSMODG00000004463	Monodelphis_domestica
ENSNGAP00000004359	ENSNGAG00000005703	Nannospalax_galili
ENSCGRP00001027289	ENSCGRG00001024337	Cricetulus_griseus_CHOK1GS_HDv1
ENSELUP00000017028	ENSELUG00000016812	Esox_lucius
ENSHCOP00000025602	ENSHCOG00000015881	Hippocampus_comes
ENSPNYP00000012449	ENSPNYG00000009425	Pundamilia_nyererei
ENSMNEP00000044972	ENSMNEG00000045040	Macaca_nemestrina
ENSNVIP00000000873	ENSNVIG00000000721	Neovison_vison
ENSCPRP00005022107	ENSCPRG00005015409	Crocodylus_porosus
ENSCSAP00000006066	ENSCSAG00000009824	Chlorocebus_sabaeus
ENSORLP00000025590	ENSORLG00000020656	Oryzias_latipes_ASM223467v1	ENSORLT00000025591
ENSONIP00000025012	ENSONIG00000019869	Oreochromis_niloticus
ENSCATP00000045977	ENSCATG00000045333	Cercocebus_atys
ENSMMMP00000010012	ENSMMMG00000008891	Marmota_marmota_marmota
ENSSHAP00000010335	ENSSHAG00000008924	Sarcophilus_harrisii
ENSATEP00000000860	ENSATEG00000000560	Anabas_testudineus
ENSANAP00000000488	ENSANAG00000003359	Aotus_nancymaae
ENSPFOP00000013575	ENSPFOG00000013405	Poecilia_formosa	ENSPFOT00000013594
ENSZALP00000003571	ENSZALG00000003535	Zonotrichia_albicollis
ENSCGRP00015007450	ENSCGRG00015005811	Cricetulus_griseus_CriGri-PICR
ENSCHAP00000025183	ENSCHAG00000011991	Clupea_harengus
ENSGAGP00000032615	ENSGAGG00000023315	Gopherus_agassizii
ENSHGLP00100000175	ENSHGLG00100000149	Heterocephalus_glaber_HetGla_1.0
ENSPEMP00000020552	ENSPEMG00000018464	Peromyscus_maniculatus_bairdii
ENSCPOP00000003403	ENSCPOG00000003768	Cavia_porcellus
ENSMSIP00000029488	ENSMSIG00000024751	Mus_spicilegus
ENSKMAP00000021262	ENSKMAG00000015759	Kryptolebias_marmoratus	ENSKMAT00000021539
ENSJJAP00000010164	ENSJJAG00000013824	Jaculus_jaculus
ENSRNOP00000008337	ENSRNOG00000005849	Rattus_norvegicus
ENSNBRP00000011552	ENSNBRG00000008973	Neolamprologus_brichardi
ENSCPGP00000028359	ENSCPGG00000019499	Calidris_pygmaea
ENSTBEP00000010731	ENSTBEG00000012369	Tupaia_belangeri
ENSCHIP00000003526	ENSCHIG00000007667	Capra_hircus
ENSNLEP00000004213	ENSNLEG00000003409	Nomascus_leucogenys
ENSMVIP00005028458	ENSMVIG00005019806	Manacus_vitellinus
ENSMOCP00000016519	ENSMOCG00000015393	Microtus_ochrogaster
ENSCGRP00000006674	ENSCGRG00000004877	Cricetulus_griseus_CriGri_1.0
ENSMGAP00000009104	ENSMGAG00000008851	Meleagris_gallopavo
ENSNMEP00000010922	ENSNMEG00000010305	Numida_meleagris
ENSLCOP00000009968	ENSLCOG00000007237	Lepidothrix_coronata
ENSCLAP00000003480	ENSCLAG00000002487	Chinchilla_lanigera
ENSPSMP00000015604	ENSPSMG00000011080	Prolemur_simus
ENSUAMP00000026754	ENSUAMG00000020699	Ursus_americanus
ENSCMIP00000026821	ENSCMIG00000011572	Callorhinchus_milii
ENSTRUP00000016904	ENSTRUG00000006888	Takifugu_rubripes
ENSPSIP00000009155	ENSPSIG00000008030	Pelodiscus_sinensis
ENSCJAP00000014322	ENSCJAG00000007687	Callithrix_jacchus
ENSPMGP00000025651	ENSPMGG00000020708	Periophthalmus_magnuspinnatus
ENSEBUP00000025013	ENSEBUG00000015441	Eptatretus_burgeri
ENSSFOP00015029542	ENSSFOG00015018941	Scleropages_formosus
ENSFALP00000001212	ENSFALG00000001167	Ficedula_albicollis
ENSLOCP00000013614	ENSLOCG00000011082	Lepisosteus_oculatus
ENSPVAP00000002240	ENSPVAG00000002372	Pteropus_vampyrus
ENSMUNP00000016525	ENSMUNG00000012724	Melopsittacus_undulatus
ENSOPRP00000015341	ENSOPRG00000016791	Ochotona_princeps
ENSPMEP00000027402	ENSPMEG00000011800	Poecilia_mexicana	ENSPMET00000000063
ENSPCOP00000018600	ENSPCOG00000021198	Propithecus_coquereli
ENSMLUP00000002755	ENSMLUG00000003029	Myotis_lucifugus
ENSMPUP00000004307	ENSMPUG00000004340	Mustela_putorius_furo
ENSLCAP00010046864	ENSLCAG00010021627	Lates_calcarifer
ENSMAMP00000004353	ENSMAMG00000002915	Mastacembelus_armatus
ENSABRP00000007269	ENSABRG00000006688	Anser_brachyrhynchus
MGP_PahariEiJ_P0057433	MGP_PahariEiJ_G0024015	Mus_pahari_strain_PAHARI_EIJ
ENSHBUP00000007411	ENSHBUG00000008952	Haplochromis_burtoni
ENSODEP00000020939	ENSODEG00000015432	Octodon_degus
ENSLACP00000001046	ENSLACG00000000936	Latimeria_chalumnae
ENSEASP00005006218	ENSEASG00005004602	Equus_asinus_asinus
ENSSTOP00000006234	ENSSTOG00000006942	Ictidomys_tridecemlineatus
ENSTGEP00000014604	ENSTGEG00000011864	Theropithecus_gelada
ENSSMRP00000027104	ENSSMRG00000020901	Salvator_merianae
ENSGWIP00000008129	ENSGWIG00000004781	Gouania_willdenowi
ENSOGAP00000009424	ENSOGAG00000010522	Otolemur_garnettii
ENSMFAP00000003967	ENSMFAG00000001702	Macaca_fascicularis
MGP_SPRETEiJ_P0064202	MGP_SPRETEiJ_G0026841	Mus_spretus_strain_SPRET/EiJ
ENSSSCP00000058798	ENSSSCG00000023807	Sus_scrofa_strain_reference
ENSXETP00000020467	ENSXETG00000005121	Xenopus_tropicalis
ENSACIP00000018451	ENSACIG00000014377	Amphilophus_citrinellus
ENSEEEP00000038825	ENSEEEG00000018371	Electrophorus_electricus
ENSGALP00000055270	ENSGALG00000002162	Gallus_gallus
ENSCPBP00000010522	ENSCPBG00000008077	Chrysemys_picta_bellii
ENSRROP00000038598	ENSRROG00000042672	Rhinopithecus_roxellana
ENSETEP00000010064	ENSETEG00000012415	Echinops_telfairi
ENSSPUP00000003851	ENSSPUG00000002916	Sphenodon_punctatus
ENSSARP00000007624	ENSSARG00000008437	Sorex_araneus
ENSSBOP00000018782	ENSSBOG00000026008	Saimiri_boliviensis_boliviensis
ENSPMAP00000001537	ENSPMAG00000001363	Petromyzon_marinus
ENSXMAP00000021182	ENSXMAG00000023603	Xiphophorus_maculatus	ENSXMAT00000035607
ENSCCNP00000030709	ENSCCNG00000029347	Castor_canadensis
ENSOANP00000019215	ENSOANG00000012132	Ornithorhynchus_anatinus
ENSDARP00000045252	ENSDARG00000026376	Danio_rerio
ENSEEUP00000013863	ENSEEUG00000015174	Erinaceus_europaeus
ENSGACP00000002197	ENSGACG00000001637	Gasterosteus_aculeatus
ENSSDUP00000004012	ENSSDUG00000002984	Seriola_dumerili
ENSNSUP00000009485	ENSNSUG00000007256	Notechis_scutatus
ENSTNIP00000007967	ENSTNIG00000005288	Tetraodon_nigroviridis
ENSORLP00015010956	ENSORLG00015011785	Oryzias_latipes_ASM223469v1
ENSPKIP00000007179	ENSPKIG00000023168	Paramormyrops_kingsleyae
ENSCVAP00000017154	ENSCVAG00000020264	Cyprinodon_variegatus	ENSCVAT00000025790
ENSPTEP00000038168	ENSPTEG00000035544	Piliocolobus_tephrosceles
ENSCAFP00020018198	ENSCAFG00020014553	Canis_lupus_dingo
ENSMICP00000018543	ENSMICG00000006540	Microcebus_murinus
ENSMZEP00005016971	ENSMZEG00005012733	Maylandia_zebra
ENSAPOP00000025523	ENSAPOG00000008670	Acanthochromis_polyacanthus
MGP_CAROLIEiJ_P0061770	MGP_CAROLIEiJ_G0025892	Mus_caroli_strain_CAROLI_EIJ
ENSCANP00000004244	ENSCANG00000014847	Colobus_angolensis_palliatus
ENSMALP00000028566	ENSMALG00000019764	Monopterus_albus
ENSMAUP00000024612	ENSMAUG00000021408	Mesocricetus_auratus
ENSDNVP00000009513	ENSDNVG00000006725	Dromaius_novaehollandiae
ENSPNAP00000012142	ENSPNAG00000017918	Pygocentrus_nattereri
ENSPRNP00000027847	ENSPRNG00000013384	Parambassis_ranga
ENSOCUP00000042092	ENSOCUG00000015960	Oryctolagus_cuniculus
ENSARWP00000003053	ENSARWG00000002300	Apteryx_rowi
ENSFDAP00000007584	ENSFDAG00000016058	Fukomys_damarensis
ENSPCAP00000012375	ENSPCAG00000013222	Procavia_capensis
ENSCGOP00000056515	ENSCGOG00000024452	Cottoperca_gobio
ENSACAP00000001847	ENSACAG00000001541	Anolis_carolinensis
ENSFCAP00000048066	ENSFCAG00000001293	Felis_catus
ENSPPAP00000020648	ENSPPAG00000033498	Pan_paniscus
ENSACLP00000011336	ENSACLG00000007755	Astatotilapia_calliptera
ENSMUSP00000100038	ENSMUSG00000028405	Mus_musculus_strain_reference_(CL57BL6)
ENSBMUP00000024080	ENSBMUG00000018073	Bos_mutus
ENSAOCP00000022270	ENSAOCG00000007699	Amphiprion_ocellaris
ENSRBIP00000021221	ENSRBIG00000034592	Rhinopithecus_bieti
ENSDNOP00000003048	ENSDNOG00000003951	Dasypus_novemcinctus
ENSHHUP00000016120	ENSHHUG00000009921	Hucho_hucho
ENSPPRP00000018117	ENSPPRG00000009875	Panthera_pardus
ENSMLEP00000001456	ENSMLEG00000005636	Mandrillus_leucophaeus
ENSTGUP00000001559	ENSTGUG00000001505	Taeniopygia_guttata
ENSSMAP00000030881	ENSSMAG00000018908	Scophthalmus_maximus
ENSPCIP00000040057	ENSPCIG00000029321	Phascolarctos_cinereus
ENSPREP00000032174	ENSPREG00000021791	Poecilia_reticulata	ENSPRET00000032537
ENSTSYP00000003835	ENSTSYG00000004179	Carlito_syrichta
ENSMUGP00000008039	ENSMUGG00000007271	Meriones_unguiculatus
ENSLBEP00000018045	ENSLBEG00000013866	Labrus_bergylta
ENSSPAP00000025362	ENSSPAG00000019147	Stegastes_partitus
ENSXCOP00000007288	ENSXCOG00000005638	Xiphophorus_couchianus	ENSXCOT00000007382
ENSLCRP00005043003	ENSLCRG00005016506	Larimichthys_crocea
ENSLAFP00000019136	ENSLAFG00000013470	Loxodonta_africana
ENSAPEP00000020166	ENSAPEG00000014370	Amphiprion_percula
ENSMMUP00000079487	ENSMMUG00000008196	Macaca_mulatta
ENSBSLP00000016440	ENSBSLG00000008395	Betta_splendens
ENSSCAP00000017557	ENSSCAG00000012745	Serinus_canaria
ENSLSDP00000015922	ENSLSDG00000011483	Lonchura_striata_domestica
ENSECRP00000011771	ENSECRG00000007842	Erpetoichthys_calabaricus
ENSSDAP00000001074	ENSSDAG00000000907	Spermophilus_dauricus
ENSPTIP00000018500	ENSPTIG00000016606	Panthera_tigris_altaica
ENSTTRP00000016108	ENSTTRG00000016991	Tursiops_truncatus
ENSCABP00000004547	ENSCABG00000003421	Chelonoidis_abingdonii
ENSVVUP00000028932	ENSVVUG00000021152	Vulpes_vulpes
ENSAHAP00000027402	ENSAHAG00000019076	Apteryx_haastii
ENSPVIP00000015204	ENSPVIG00000011725	Pogona_vitticeps
ENSPMAP00000002405	ENSPMAG00000002156	Petromyzon_marinus
ENSMMOP00000026823	ENSMMOG00000020282	Mola_mola
ENSGMOP00000005884	ENSGMOG00000005514	Gadus_morhua
ENSVURP00010008162	ENSVURG00010006312	Vombatus_ursinus
ENSCAFP00000040880	ENSCAFG00000001786	Canis_lupus_familiaris
ENSPANP00000019165	ENSPANG00000025270	Papio_anubis
ENSBIXP00000018293	ENSBIXG00000022160	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000026091	ENSBBBG00000021752	Bison_bison_bison
ENSAMXP00005042963	ENSAMXG00005019315	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSORLP00020010099	ENSORLG00020010991	Oryzias_latipes_ASM223471v1
ENSCHOP00000007969	ENSCHOG00000008996	Choloepus_hoffmanni
ENSGGOP00000015930	ENSGGOG00000016306	Gorilla_gorilla
ENSCPUP00000001672	ENSCPUG00000001304	Calidris_pugnax
ENSPMJP00000004908	ENSPMJG00000004235	Parus_major
ENSDORP00000013397	ENSDORG00000014246	Dipodomys_ordii
ENSP00000309477	ENSG00000122729	Homo_sapiens
ENSAOWP00000014016	ENSAOWG00000009555	Apteryx_owenii
ENSNPEP00000012057	ENSNPEG00000009029	Nothoprocta_perdicaria
ENSAPLP00000015419	ENSAPLG00000015490	Anas_platyrhynchos_platyrhynchos
ENSCSEP00000028543	ENSCSEG00000018262	Cynoglossus_semilaevis
ENSSLDP00000017708	ENSSLDG00000013952	Seriola_lalandi_dorsalis
ENSUPAP00010009767	ENSUPAG00010007907	Urocitellus_parryii
ENSOMEP00000026015	ENSOMEG00000000660	Oryzias_melastigma
ENSBIXP00005043438	ENSBIXG00005027147	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSODEP00000001578	ENSODEG00000001240	Octodon_degus
ENSOARP00000015780	ENSOARG00000014707	Ovis_aries
