ENSMEUP00000012000	ENSMEUG00000013158	Notamacropus_eugenii	ENSMEUT00000013193
ENSSHAP00000006744	ENSSHAG00000005863	Sarcophilus_harrisii	ENSSHAT00000006803
ENSETEP00000012356	ENSETEG00000015244	Echinops_telfairi	ENSETET00000015242
ENSLAFP00000028064	ENSLAFG00000026810	Loxodonta_africana	ENSLAFT00000032181
ENSMSIP00000001226	ENSMSIG00000001213	Mus_spicilegus
MGP_SPRETEiJ_P0053547	MGP_SPRETEiJ_G0024433	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000150608	ENSMUSG00000068947	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0051498	MGP_CAROLIEiJ_G0023513	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0062506	MGP_PahariEiJ_G0024966	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000029019	ENSRNOG00000025721	Rattus_norvegicus
ENSMUGP00000002816	ENSMUGG00000002649	Meriones_unguiculatus
ENSCGRP00001012144	ENSCGRG00001013629	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000008240	ENSCGRG00000006013	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015000548	ENSCGRG00015000547	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000032662	ENSPEMG00000024284	Peromyscus_maniculatus_bairdii
ENSSTOP00000009553	ENSSTOG00000010646	Ictidomys_tridecemlineatus
ENSUPAP00010015763	ENSUPAG00010012623	Urocitellus_parryii
ENSSDAP00000015533	ENSSDAG00000014020	Spermophilus_dauricus
ENSCLAP00000025756	ENSCLAG00000017880	Chinchilla_lanigera	ENSCLAT00000026054
ENSCPOP00000020215	ENSCPOG00000023130	Cavia_porcellus	ENSCPOT00000021888
ENSHGLP00000028306	ENSHGLG00000020543	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100027815	ENSHGLG00100020971	Heterocephalus_glaber_HetGla_1.0
ENSCCNP00000015299	ENSCCNG00000015710	Castor_canadensis
ENSOCUP00000022847	ENSOCUG00000001935	Oryctolagus_cuniculus
ENSPSMP00000033338	ENSPSMG00000022994	Prolemur_simus
ENSOGAP00000014124	ENSOGAG00000015770	Otolemur_garnettii
ENSTBEP00000007057	ENSTBEG00000008167	Tupaia_belangeri
ENSPVAP00000010614	ENSPVAG00000011260	Pteropus_vampyrus
ENSPVAP00000005828	ENSPVAG00000006164	Pteropus_vampyrus
ENSECAP00000000748	ENSECAG00000031554	Equus_caballus
ENSBTAP00000006124	ENSBTAG00000004667	Bos_taurus
ENSBIXP00000016515	ENSBIXG00000020680	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSSCP00000006284	ENSSSCG00000005874	Sus_scrofa_strain_reference
ENSVPAP00000004151	ENSVPAG00000004471	Vicugna_pacos
ENSUMAP00000004075	ENSUMAG00000003316	Ursus_maritimus
ENSUAMP00000019413	ENSUAMG00000015344	Ursus_americanus
ENSAMEP00000020689	ENSAMEG00000019643	Ailuropoda_melanoleuca
ENSMPUP00000019135	ENSMPUG00000019259	Mustela_putorius_furo
ENSCAFP00000057566	ENSCAFG00000044181	Canis_lupus_familiaris
ENSCAFP00020019217	ENSCAFG00020015267	Canis_lupus_dingo
ENSVVUP00000012963	ENSVVUG00000009495	Vulpes_vulpes
ENSFCAP00000055042	ENSFCAG00000053101	Felis_catus
ENSEEUP00000008390	ENSEEUG00000009237	Erinaceus_europaeus
