ENSMSIP00000034181	ENSMSIG00000028505	Mus_spicilegus
MGP_SPRETEiJ_P0035925	MGP_SPRETEiJ_G0019381	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000105714	ENSMUSG00000037946	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0034299	MGP_CAROLIEiJ_G0018501	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0040905	MGP_PahariEiJ_G0019567	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000072384	ENSRNOG00000016225	Rattus_norvegicus
ENSMUGP00000017998	ENSMUGG00000015256	Meriones_unguiculatus
ENSMUGP00000029711	ENSMUGG00000024675	Meriones_unguiculatus
ENSCGRP00015001412	ENSCGRG00015000999	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001015701	ENSCGRG00001016233	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000023948	ENSCGRG00000017351	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000006463	ENSMAUG00000008383	Mesocricetus_auratus
ENSMOCP00000010474	ENSMOCG00000010692	Microtus_ochrogaster
ENSPEMP00000001853	ENSPEMG00000001715	Peromyscus_maniculatus_bairdii
ENSNGAP00000016967	ENSNGAG00000017520	Nannospalax_galili
ENSJJAP00000011659	ENSJJAG00000014922	Jaculus_jaculus
ENSDORP00000000546	ENSDORG00000000585	Dipodomys_ordii
ENSCCNP00000009004	ENSCCNG00000009485	Castor_canadensis
ENSUPAP00010009078	ENSUPAG00010007277	Urocitellus_parryii
ENSSTOP00000009112	ENSSTOG00000010157	Ictidomys_tridecemlineatus
ENSSDAP00000020576	ENSSDAG00000018701	Spermophilus_dauricus
ENSMMMP00000006780	ENSMMMG00000006033	Marmota_marmota_marmota
ENSCLAP00000003916	ENSCLAG00000002785	Chinchilla_lanigera
ENSODEP00000013085	ENSODEG00000009686	Octodon_degus
ENSCPOP00000026181	ENSCPOG00000035143	Cavia_porcellus
ENSCAPP00000001283	ENSCAPG00000002294	Cavia_aperea
ENSHGLP00000025189	ENSHGLG00000017946	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100013749	ENSHGLG00100010165	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000007851	ENSFDAG00000016281	Fukomys_damarensis
ENSOCUP00000033629	ENSOCUG00000015829	Oryctolagus_cuniculus
ENSOPRP00000004889	ENSOPRG00000005306	Ochotona_princeps
ENSTBEP00000014659	ENSTBEG00000016852	Tupaia_belangeri
ENSPTRP00000062944	ENSPTRG00000021120	Pan_troglodytes
ENSPPAP00000011901	ENSPPAG00000029151	Pan_paniscus
ENSP00000336914	ENSG00000127084	Homo_sapiens
ENSGGOP00000008713	ENSGGOG00000008907	Gorilla_gorilla
ENSPPYP00000021725	ENSPPYG00000019384	Pongo_abelii
ENSNLEP00000020053	ENSNLEG00000016521	Nomascus_leucogenys
ENSTGEP00000003355	ENSTGEG00000002841	Theropithecus_gelada
ENSMLEP00000025161	ENSMLEG00000036756	Mandrillus_leucophaeus
ENSCATP00000043632	ENSCATG00000044345	Cercocebus_atys
ENSMFAP00000005639	ENSMFAG00000002491	Macaca_fascicularis
ENSMMUP00000038783	ENSMMUG00000020795	Macaca_mulatta
ENSMNEP00000023609	ENSMNEG00000035382	Macaca_nemestrina
ENSCSAP00000003439	ENSCSAG00000007165	Chlorocebus_sabaeus
ENSPANP00000038791	ENSPANG00000024695	Papio_anubis
ENSRROP00000000569	ENSRROG00000001993	Rhinopithecus_roxellana
ENSRBIP00000012015	ENSRBIG00000029917	Rhinopithecus_bieti
ENSPTEP00000041899	ENSPTEG00000038296	Piliocolobus_tephrosceles
ENSCANP00000005954	ENSCANG00000020182	Colobus_angolensis_palliatus
ENSCCAP00000016863	ENSCCAG00000026220	Cebus_capucinus_imitator
ENSCJAP00000038142	ENSCJAG00000020520	Callithrix_jacchus
ENSANAP00000034032	ENSANAG00000034666	Aotus_nancymaae
ENSSBOP00000028454	ENSSBOG00000030603	Saimiri_boliviensis_boliviensis
ENSTSYP00000006340	ENSTSYG00000006926	Carlito_syrichta
ENSPCOP00000009907	ENSPCOG00000016359	Propithecus_coquereli
ENSMICP00000011219	ENSMICG00000012321	Microcebus_murinus
ENSPSMP00000013322	ENSPSMG00000009559	Prolemur_simus
ENSOGAP00000007069	ENSOGAG00000007894	Otolemur_garnettii
ENSVPAP00000000093	ENSVPAG00000000101	Vicugna_pacos
ENSSARP00000009081	ENSSARG00000010004	Sorex_araneus
ENSMLUP00000011416	ENSMLUG00000012537	Myotis_lucifugus
ENSCHIP00000005240	ENSCHIG00000009338	Capra_hircus
ENSOARP00000008760	ENSOARG00000008161	Ovis_aries
ENSBIXP00000039949	ENSBIXG00000023958	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005012029	ENSBIXG00005005644	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000009131	ENSBTAG00000006939	Bos_taurus
ENSBMUP00000011971	ENSBMUG00000009200	Bos_mutus
ENSBBBP00000002614	ENSBBBG00000011727	Bison_bison_bison
ENSTTRP00000000294	ENSTTRG00000000313	Tursiops_truncatus
ENSSSCP00000020195	ENSSSCG00000028185	Sus_scrofa_strain_reference
ENSEEUP00000009455	ENSEEUG00000010331	Erinaceus_europaeus
ENSUAMP00000025947	ENSUAMG00000020155	Ursus_americanus
ENSUMAP00000021448	ENSUMAG00000015593	Ursus_maritimus
