ENSPTRP00000061044	ENSPTRG00000039819	Pan_troglodytes	ENSPTRT00000072550
ENSP00000406718	ENSG00000225940	Homo_sapiens
ENSGGOP00000020439	ENSGGOG00000024041	Gorilla_gorilla
ENSNLEP00000034327	ENSNLEG00000028269	Nomascus_leucogenys
ENSMMUP00000043658	ENSMMUG00000041620	Macaca_mulatta
ENSPANP00000024103	ENSPANG00000030188	Papio_anubis
ENSCANP00000027828	ENSCANG00000037310	Colobus_angolensis_palliatus
ENSRBIP00000035864	ENSRBIG00000041568	Rhinopithecus_bieti
ENSCATP00000034820	ENSCATG00000040313	Cercocebus_atys
ENSMLEP00000014421	ENSMLEG00000031370	Mandrillus_leucophaeus
ENSMNEP00000030876	ENSMNEG00000038876	Macaca_nemestrina
ENSMFAP00000037918	ENSMFAG00000002738	Macaca_fascicularis
ENSRROP00000000199	ENSRROG00000000480	Rhinopithecus_roxellana
ENSSBOP00000021269	ENSSBOG00000027187	Saimiri_boliviensis_boliviensis
ENSCCAP00000023934	ENSCCAG00000029755	Cebus_capucinus_imitator
ENSCJAP00000003831	ENSCJAG00000002135	Callithrix_jacchus
ENSANAP00000030842	ENSANAG00000033167	Aotus_nancymaae
ENSPCOP00000011103	ENSPCOG00000017057	Propithecus_coquereli
