ENSMAUP00000022712	ENSMAUG00000020068	Mesocricetus_auratus
ENSODEP00000017899	ENSODEG00000013199	Octodon_degus
ENSPSMP00000002382	ENSPSMG00000001868	Prolemur_simus
ENSCHOP00000002163	ENSCHOG00000002440	Choloepus_hoffmanni
ENSPTRP00000062013	ENSPTRG00000013276	Pan_troglodytes	ENSPTRT00000079899
ENSPPAP00000024674	ENSPPAG00000035464	Pan_paniscus	ENSPPAT00000047499
ENSGGOP00000008825	ENSGGOG00000009013	Gorilla_gorilla
ENSP00000367038	ENSG00000125844	Homo_sapiens
ENSPPYP00000011992	ENSPPYG00000010728	Pongo_abelii
ENSNLEP00000011804	ENSNLEG00000009692	Nomascus_leucogenys
ENSPTEP00000039367	ENSPTEG00000036432	Piliocolobus_tephrosceles
ENSCANP00000004010	ENSCANG00000013717	Colobus_angolensis_palliatus
ENSRBIP00000041881	ENSRBIG00000044244	Rhinopithecus_bieti
ENSRROP00000008318	ENSRROG00000028582	Rhinopithecus_roxellana
ENSMFAP00000011099	ENSMFAG00000008658	Macaca_fascicularis
ENSMMUP00000018134	ENSMMUG00000013787	Macaca_mulatta
ENSTGEP00000022268	ENSTGEG00000017948	Theropithecus_gelada
ENSPANP00000017098	ENSPANG00000018776	Papio_anubis
ENSCATP00000042383	ENSCATG00000043743	Cercocebus_atys
ENSCSAP00000007839	ENSCSAG00000011641	Chlorocebus_sabaeus
ENSMNEP00000026279	ENSMNEG00000036412	Macaca_nemestrina
ENSMLEP00000014442	ENSMLEG00000031256	Mandrillus_leucophaeus
ENSSBOP00000010830	ENSSBOG00000022194	Saimiri_boliviensis_boliviensis
ENSCJAP00000070643	ENSCJAG00000004913	Callithrix_jacchus
ENSANAP00000026944	ENSANAG00000031056	Aotus_nancymaae
ENSCCAP00000020908	ENSCCAG00000028254	Cebus_capucinus_imitator
ENSTSYP00000019885	ENSTSYG00000037036	Carlito_syrichta
ENSPCOP00000009568	ENSPCOG00000016164	Propithecus_coquereli
ENSMICP00000012505	ENSMICG00000013693	Microcebus_murinus
ENSPSMP00000000354	ENSPSMG00000000299	Prolemur_simus
ENSOGAP00000009722	ENSOGAG00000010859	Otolemur_garnettii
ENSCCNP00000013729	ENSCCNG00000011305	Castor_canadensis
ENSDORP00000020501	ENSDORG00000002490	Dipodomys_ordii
MGP_SPRETEiJ_P0057073	MGP_SPRETEiJ_G0025296	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000029572	ENSMSIG00000021488	Mus_spicilegus
ENSMUSP00000016072	ENSMUSG00000027422	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0054944	MGP_CAROLIEiJ_G0024377	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0065929	MGP_PahariEiJ_G0025821	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000052465	ENSRNOG00000005958	Rattus_norvegicus
ENSMUGP00000011359	ENSMUGG00000009902	Meriones_unguiculatus
ENSCGRP00000006922	ENSCGRG00000005046	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001026632	ENSCGRG00001023883	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015009823	ENSCGRG00015007531	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000012400	ENSPEMG00000012715	Peromyscus_maniculatus_bairdii
ENSMOCP00000010198	ENSMOCG00000010378	Microtus_ochrogaster
ENSNGAP00000007022	ENSNGAG00000010319	Nannospalax_galili
ENSJJAP00000007165	ENSJJAG00000011577	Jaculus_jaculus
ENSSTOP00000024243	ENSSTOG00000025839	Ictidomys_tridecemlineatus
ENSSDAP00000006059	ENSSDAG00000003777	Spermophilus_dauricus
ENSUPAP00010004698	ENSUPAG00010003789	Urocitellus_parryii
ENSMMMP00000002923	ENSMMMG00000002621	Marmota_marmota_marmota
ENSHGLP00100009852	ENSHGLG00100007309	Heterocephalus_glaber_HetGla_1.0
