ENSSMAP00000011992	ENSSMAG00000007396	Scophthalmus_maximus
ENSONIP00000008945	ENSONIG00000007088	Oreochromis_niloticus
ENSLCAP00010014175	ENSLCAG00010006743	Lates_calcarifer
ENSATEP00000015741	ENSATEG00000010859	Anabas_testudineus	ENSATET00000015985
ENSMAMP00000024588	ENSMAMG00000016519	Mastacembelus_armatus
ENSMODP00000057984	ENSMODG00000037857	Monodelphis_domestica
ENSMODP00000041837	ENSMODG00000045849	Monodelphis_domestica
ENSVURP00010019216	ENSVURG00010014649	Vombatus_ursinus
ENSMODP00000057399	ENSMODG00000051150	Monodelphis_domestica
ENSMODP00000044760	ENSMODG00000042488	Monodelphis_domestica
ENSMODP00000041887	ENSMODG00000045955	Monodelphis_domestica
ENSVURP00010019124	ENSVURG00010014566	Vombatus_ursinus
ENSOARP00000003543	ENSOARG00000003326	Ovis_aries
ENSBBBP00000028021	ENSBBBG00000024546	Bison_bison_bison
ENSMPUP00000001227	ENSMPUG00000001237	Mustela_putorius_furo
ENSUPAP00010029796	ENSUPAG00010023435	Urocitellus_parryii
ENSCPUP00000001033	ENSCPUG00000000786	Calidris_pugnax
ENSCPBP00000013119	ENSCPBG00000009849	Chrysemys_picta_bellii
ENSAHAP00000014559	ENSAHAG00000010483	Apteryx_haastii
ENSAOWP00000028652	ENSAOWG00000019299	Apteryx_owenii
ENSDNVP00000014441	ENSDNVG00000010154	Dromaius_novaehollandiae
ENSGALP00000062728	ENSGALG00000045908	Gallus_gallus
ENSGALP00000069279	ENSGALG00000047005	Gallus_gallus
ENSNMEP00000003135	ENSNMEG00000003716	Numida_meleagris
ENSSMRP00000001333	ENSSMRG00000001175	Salvator_merianae
ENSPVIP00000028639	ENSPVIG00000021193	Pogona_vitticeps
ENSCCEP00000001515	ENSCCEG00000001743	Cyanistes_caeruleus
ENSBBBP00000028372	ENSBBBG00000025092	Bison_bison_bison
ENSPVIP00000016490	ENSPVIG00000012759	Pogona_vitticeps
ENSACAP00000012706	ENSACAG00000012963	Anolis_carolinensis
ENSSPUP00000017611	ENSSPUG00000013591	Sphenodon_punctatus
ENSECAP00000037857	ENSECAG00000039710	Equus_caballus	ENSECAT00000037059
ENSNVIP00000016745	ENSNVIG00000013135	Neovison_vison	ENSNVIT00000019532
ENSVPAP00000010692	ENSVPAG00000011484	Vicugna_pacos	ENSVPAT00000011484
ENSPSMP00000024860	ENSPSMG00000017513	Prolemur_simus
ENSPCOP00000031393	ENSPCOG00000028468	Propithecus_coquereli
ENSPPAP00000023116	ENSPPAG00000034733	Pan_paniscus
ENSPTRP00000019874	ENSPTRG00000011549	Pan_troglodytes
ENSP00000322545	ENSG00000178229	Homo_sapiens
ENSGGOP00000009524	ENSGGOG00000009753	Gorilla_gorilla
ENSNLEP00000013260	ENSNLEG00000010929	Nomascus_leucogenys
ENSPPYP00000011721	ENSPPYG00000010461	Pongo_abelii
ENSMNEP00000024799	ENSMNEG00000035927	Macaca_nemestrina
ENSMFAP00000025477	ENSMFAG00000044239	Macaca_fascicularis
ENSMMUP00000025341	ENSMMUG00000019286	Macaca_mulatta
ENSPANP00000000527	ENSPANG00000001783	Papio_anubis
ENSMLEP00000013410	ENSMLEG00000030887	Mandrillus_leucophaeus
ENSCSAP00000016381	ENSCSAG00000001644	Chlorocebus_sabaeus
ENSRBIP00000011969	ENSRBIG00000029900	Rhinopithecus_bieti
ENSRROP00000043372	ENSRROG00000044746	Rhinopithecus_roxellana
ENSCANP00000038705	ENSCANG00000043035	Colobus_angolensis_palliatus
ENSPTEP00000001894	ENSPTEG00000002163	Piliocolobus_tephrosceles
ENSSBOP00000035034	ENSSBOG00000033690	Saimiri_boliviensis_boliviensis
ENSCCAP00000029219	ENSCCAG00000032664	Cebus_capucinus_imitator
ENSCJAP00000000037	ENSCJAG00000000024	Callithrix_jacchus
ENSANAP00000010396	ENSANAG00000023198	Aotus_nancymaae
ENSTBEP00000010626	ENSTBEG00000012287	Tupaia_belangeri
ENSCHOP00000001332	ENSCHOG00000001508	Choloepus_hoffmanni
ENSDNOP00000001792	ENSDNOG00000002304	Dasypus_novemcinctus
ENSPSMP00000024835	ENSPSMG00000017492	Prolemur_simus
ENSMICP00000010248	ENSMICG00000011261	Microcebus_murinus
ENSOCUP00000040837	ENSOCUG00000029011	Oryctolagus_cuniculus
ENSCAFP00000058930	ENSCAFG00000030732	Canis_lupus_familiaris
ENSCHIP00000030392	ENSCHIG00000025167	Capra_hircus
ENSAMEP00000005210	ENSAMEG00000004929	Ailuropoda_melanoleuca
ENSUMAP00000005291	ENSUMAG00000004201	Ursus_maritimus
