ENSCPUP00000017864	ENSCPUG00000012295	Calidris_pugnax
ENSCPGP00000015023	ENSCPGG00000010582	Calidris_pygmaea
ENSMUNP00000011268	ENSMUNG00000008839	Melopsittacus_undulatus
ENSLCOP00000001988	ENSLCOG00000001555	Lepidothrix_coronata
ENSMVIP00005008962	ENSMVIG00005006617	Manacus_vitellinus
ENSFALP00000002198	ENSFALG00000002117	Ficedula_albicollis
ENSCCEP00000021047	ENSCCEG00000019082	Cyanistes_caeruleus
ENSTGUP00000005471	ENSTGUG00000005268	Taeniopygia_guttata
ENSSCAP00000014872	ENSSCAG00000010911	Serinus_canaria
ENSLSDP00000013459	ENSLSDG00000009771	Lonchura_striata_domestica
ENSJHYP00000018923	ENSJHYG00000014392	Junco_hyemalis
ENSZALP00000002060	ENSZALG00000002367	Zonotrichia_albicollis
ENSCJPP00005009874	ENSCJPG00005008649	Coturnix_japonica
ENSMGAP00000015424	ENSMGAG00000014564	Meleagris_gallopavo
ENSGALP00000048287	ENSGALG00000034932	Gallus_gallus
ENSNMEP00000014417	ENSNMEG00000012968	Numida_meleagris
ENSAPLP00000024859	ENSAPLG00000028806	Anas_platyrhynchos_platyrhynchos
ENSAPLP00000028318	ENSAPLG00000019326	Anas_platyrhynchos_platyrhynchos
ENSABRP00000009182	ENSABRG00000008215	Anser_brachyrhynchus
ENSAHAP00000020964	ENSAHAG00000014721	Apteryx_haastii
ENSDNVP00000012707	ENSDNVG00000008976	Dromaius_novaehollandiae
ENSAOWP00000023194	ENSAOWG00000015630	Apteryx_owenii
ENSARWP00000020901	ENSARWG00000014262	Apteryx_rowi
ENSNPEP00000000234	ENSNPEG00000000194	Nothoprocta_perdicaria
ENSPMJP00000013830	ENSPMJG00000010499	Parus_major
ENSCPRP00005023161	ENSCPRG00005016096	Crocodylus_porosus
ENSCABP00000021024	ENSCABG00000015496	Chelonoidis_abingdonii
ENSGAGP00000005919	ENSGAGG00000004813	Gopherus_agassizii
ENSCPBP00000017533	ENSCPBG00000012845	Chrysemys_picta_bellii
ENSPSIP00000011071	ENSPSIG00000009969	Pelodiscus_sinensis
ENSPVIP00000032743	ENSPVIG00000023969	Pogona_vitticeps
ENSACAP00000005779	ENSACAG00000005800	Anolis_carolinensis
ENSNSUP00000009409	ENSNSUG00000007201	Notechis_scutatus
