ENSAHAP00000026611	ENSAHAG00000018534	Apteryx_haastii	ENSAHAT00000029321
ENSARWP00000009290	ENSARWG00000006490	Apteryx_rowi	ENSARWT00000010596
ENSAOWP00000010573	ENSAOWG00000007283	Apteryx_owenii	ENSAOWT00000012015
ENSDNVP00000013017	ENSDNVG00000009224	Dromaius_novaehollandiae
ENSCPGP00000023336	ENSCPGG00000016170	Calidris_pygmaea
ENSCPUP00000021358	ENSCPUG00000014574	Calidris_pugnax
ENSMUNP00000009843	ENSMUNG00000007783	Melopsittacus_undulatus
ENSMGAP00000006443	ENSMGAG00000006442	Meleagris_gallopavo
ENSCJPP00005027409	ENSCJPG00005021253	Coturnix_japonica
ENSGALP00000035337	ENSGALG00000022536	Gallus_gallus
ENSNMEP00000002582	ENSNMEG00000003239	Numida_meleagris
ENSABRP00000012050	ENSABRG00000010838	Anser_brachyrhynchus
ENSFALP00000013297	ENSFALG00000012741	Ficedula_albicollis
ENSJHYP00000002462	ENSJHYG00000002072	Junco_hyemalis
ENSLSDP00000004896	ENSLSDG00000003842	Lonchura_striata_domestica
ENSSCAP00000018269	ENSSCAG00000013225	Serinus_canaria
ENSLCOP00000004302	ENSLCOG00000003277	Lepidothrix_coronata
ENSCCEP00000020582	ENSCCEG00000018706	Cyanistes_caeruleus
ENSPMJP00000023057	ENSPMJG00000017047	Parus_major
ENSCPRP00005026512	ENSCPRG00005018403	Crocodylus_porosus
ENSGAGP00000007918	ENSGAGG00000006310	Gopherus_agassizii
ENSCABP00000015941	ENSCABG00000011892	Chelonoidis_abingdonii
ENSCPBP00000013908	ENSCPBG00000010367	Chrysemys_picta_bellii
ENSACAP00000014786	ENSACAG00000015064	Anolis_carolinensis
ENSPVIP00000010384	ENSPVIG00000008229	Pogona_vitticeps
ENSNSUP00000013228	ENSNSUG00000009892	Notechis_scutatus
ENSSMRP00000005842	ENSSMRG00000004708	Salvator_merianae
ENSSPUP00000018721	ENSSPUG00000014444	Sphenodon_punctatus
ENSLAFP00000000303	ENSLAFG00000000359	Loxodonta_africana
ENSPCAP00000000311	ENSPCAG00000000280	Procavia_capensis
ENSETEP00000010013	ENSETEG00000012342	Echinops_telfairi
ENSDNOP00000028423	ENSDNOG00000045254	Dasypus_novemcinctus
ENSCHOP00000005613	ENSCHOG00000006345	Choloepus_hoffmanni
ENSBIXP00000034713	ENSBIXG00000017740	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005045893	ENSBIXG00005030905	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000070379	ENSBTAG00000048415	Bos_taurus
ENSBMUP00000030008	ENSBMUG00000022432	Bos_mutus
ENSBBBP00000015108	ENSBBBG00000022899	Bison_bison_bison
ENSCHIP00000031331	ENSCHIG00000025726	Capra_hircus
ENSOARP00000013609	ENSOARG00000012706	Ovis_aries
ENSVPAP00000011716	ENSVPAG00000015441	Vicugna_pacos
ENSTTRP00000007101	ENSTTRG00000007502	Tursiops_truncatus
