ENSLCOP00000022580	ENSLCOG00000015891	Lepidothrix_coronata
ENSMVIP00005016516	ENSMVIG00005011861	Manacus_vitellinus
ENSPMJP00000002116	ENSPMJG00000001732	Parus_major
ENSCCEP00000001512	ENSCCEG00000001756	Cyanistes_caeruleus
ENSJHYP00000022467	ENSJHYG00000016936	Junco_hyemalis
ENSZALP00000009402	ENSZALG00000008096	Zonotrichia_albicollis
ENSFALP00000008030	ENSFALG00000007697	Ficedula_albicollis
ENSTGUP00000013352	ENSTGUG00000012966	Taeniopygia_guttata
ENSSCAP00000002839	ENSSCAG00000002460	Serinus_canaria
ENSCPUP00000028865	ENSCPUG00000019388	Calidris_pugnax
ENSGALP00000021596	ENSGALG00000013247	Gallus_gallus
ENSCJPP00005004420	ENSCJPG00005004381	Coturnix_japonica
ENSMGAP00000016169	ENSMGAG00000015238	Meleagris_gallopavo
ENSNMEP00000023153	ENSNMEG00000019764	Numida_meleagris
ENSAPLP00000011941	ENSAPLG00000012173	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000001597	ENSAHAG00000001361	Apteryx_haastii
ENSDNVP00000008459	ENSDNVG00000006013	Dromaius_novaehollandiae
ENSCPRP00005023195	ENSCPRG00005016129	Crocodylus_porosus
ENSGAGP00000027424	ENSGAGG00000019936	Gopherus_agassizii
ENSCABP00000022690	ENSCABG00000016700	Chelonoidis_abingdonii
ENSCPBP00000008546	ENSCPBG00000006650	Chrysemys_picta_bellii
ENSPSIP00000007760	ENSPSIG00000007052	Pelodiscus_sinensis
ENSPVIP00000019384	ENSPVIG00000014793	Pogona_vitticeps
ENSACAP00000001922	ENSACAG00000002001	Anolis_carolinensis
ENSSMRP00000012084	ENSSMRG00000009455	Salvator_merianae
ENSPCIP00000025041	ENSPCIG00000018849	Phascolarctos_cinereus
ENSMEUP00000004051	ENSMEUG00000004445	Notamacropus_eugenii
ENSSHAP00000007680	ENSSHAG00000006672	Sarcophilus_harrisii
ENSMODP00000005309	ENSMODG00000004311	Monodelphis_domestica
ENSBIXP00000001142	ENSBIXG00000028899	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005011157	ENSBIXG00005015679	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000014789	ENSBTAG00000011132	Bos_taurus
ENSBMUP00000025820	ENSBMUG00000019367	Bos_mutus
ENSBBBP00000012388	ENSBBBG00000005453	Bison_bison_bison
ENSOARP00000005027	ENSOARG00000004699	Ovis_aries
ENSCHIP00000011562	ENSCHIG00000013675	Capra_hircus
ENSTTRP00000011394	ENSTTRG00000012015	Tursiops_truncatus
ENSSSCP00000015833	ENSSSCG00000014912	Sus_scrofa_strain_reference
ENSVPAP00000001587	ENSVPAG00000001720	Vicugna_pacos
ENSUMAP00000033131	ENSUMAG00000023895	Ursus_maritimus
ENSUAMP00000018653	ENSUAMG00000014783	Ursus_americanus
ENSAMEP00000009223	ENSAMEG00000008762	Ailuropoda_melanoleuca
ENSNVIP00000003910	ENSNVIG00000003123	Neovison_vison
ENSMPUP00000009919	ENSMPUG00000009994	Mustela_putorius_furo
ENSCAFP00000006709	ENSCAFG00000004494	Canis_lupus_familiaris
ENSCAFP00020022471	ENSCAFG00020017748	Canis_lupus_dingo
ENSVVUP00000023985	ENSVVUG00000017603	Vulpes_vulpes
ENSPTIP00000011682	ENSPTIG00000012014	Panthera_tigris_altaica
ENSPPRP00000027061	ENSPPRG00000018265	Panthera_pardus
ENSFCAP00000032771	ENSFCAG00000030354	Felis_catus
ENSPVAP00000005411	ENSPVAG00000005724	Pteropus_vampyrus
ENSMLUP00000005418	ENSMLUG00000005923	Myotis_lucifugus
ENSEASP00005018410	ENSEASG00005012690	Equus_asinus_asinus
ENSECAP00000054939	ENSECAG00000023925	Equus_caballus
ENSSARP00000009772	ENSSARG00000010815	Sorex_araneus
ENSEEUP00000012583	ENSEEUG00000013793	Erinaceus_europaeus
ENSPPAP00000004327	ENSPPAG00000018209	Pan_paniscus
ENSPTRP00000087536	ENSPTRG00000004139	Pan_troglodytes
ENSP00000280245	ENSG00000150676	Homo_sapiens
ENSGGOP00000002278	ENSGGOG00000002315	Gorilla_gorilla
ENSPPYP00000004280	ENSPPYG00000003743	Pongo_abelii
ENSNLEP00000019783	ENSNLEG00000016302	Nomascus_leucogenys
ENSMFAP00000032538	ENSMFAG00000002840	Macaca_fascicularis
