ENSPTRP00000030475	ENSPTRG00000017874	Pan_troglodytes	ENSPTRT00000032990
ENSPPAP00000008463	ENSPPAG00000027465	Pan_paniscus	ENSPPAT00000031099
ENSP00000390076	ENSG00000235109	Homo_sapiens
ENSGGOP00000005415	ENSGGOG00000005528	Gorilla_gorilla
ENSPPYP00000018300	ENSPPYG00000016370	Pongo_abelii
ENSNLEP00000005473	ENSNLEG00000004512	Nomascus_leucogenys
ENSMLEP00000016282	ENSMLEG00000032332	Mandrillus_leucophaeus
ENSTGEP00000004241	ENSTGEG00000003547	Theropithecus_gelada
ENSPANP00000013867	ENSPANG00000020275	Papio_anubis
ENSCATP00000025572	ENSCATG00000036250	Cercocebus_atys
ENSMFAP00000003330	ENSMFAG00000001436	Macaca_fascicularis
ENSMNEP00000018304	ENSMNEG00000033080	Macaca_nemestrina
ENSMMUP00000073555	ENSMMUG00000007231	Macaca_mulatta
ENSCSAP00000004274	ENSCSAG00000008010	Chlorocebus_sabaeus
ENSPTEP00000039456	ENSPTEG00000036502	Piliocolobus_tephrosceles
ENSCANP00000039966	ENSCANG00000043654	Colobus_angolensis_palliatus
ENSRBIP00000008211	ENSRBIG00000027999	Rhinopithecus_bieti
ENSRROP00000015213	ENSRROG00000031788	Rhinopithecus_roxellana
ENSCCAP00000021599	ENSCCAG00000028631	Cebus_capucinus_imitator
ENSSBOP00000002969	ENSSBOG00000014987	Saimiri_boliviensis_boliviensis
ENSCJAP00000059479	ENSCJAG00000045495	Callithrix_jacchus
ENSANAP00000010762	ENSANAG00000023350	Aotus_nancymaae
ENSTSYP00000003719	ENSTSYG00000004066	Carlito_syrichta
ENSPCOP00000016058	ENSPCOG00000019781	Propithecus_coquereli
ENSPSMP00000022343	ENSPSMG00000015793	Prolemur_simus
ENSCCNP00000001110	ENSCCNG00000001216	Castor_canadensis
ENSSSCP00000026437	ENSSSCG00000025335	Sus_scrofa_strain_reference
ENSVPAP00000000034	ENSVPAG00000000040	Vicugna_pacos
ENSCHIP00000009952	ENSCHIG00000012646	Capra_hircus
ENSOARP00000019132	ENSOARG00000017831	Ovis_aries
ENSBIXP00000007335	ENSBIXG00000013308	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005007767	ENSBIXG00005012968	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000032537	ENSBMUG00000024273	Bos_mutus
ENSBTAP00000052313	ENSBTAG00000037988	Bos_taurus
ENSBBBP00000020698	ENSBBBG00000014337	Bison_bison_bison
ENSTTRP00000014795	ENSTTRG00000015617	Tursiops_truncatus
ENSECAP00000008287	ENSECAG00000010345	Equus_caballus
ENSEASP00005017508	ENSEASG00005012103	Equus_asinus_asinus
ENSUAMP00000015528	ENSUAMG00000012431	Ursus_americanus
ENSUMAP00000026619	ENSUMAG00000019378	Ursus_maritimus
ENSAMEP00000010987	ENSAMEG00000010450	Ailuropoda_melanoleuca
ENSMPUP00000001266	ENSMPUG00000001277	Mustela_putorius_furo
ENSNVIP00000018095	ENSNVIG00000014166	Neovison_vison
ENSCAFP00020003556	ENSCAFG00020002994	Canis_lupus_dingo
ENSCAFP00000036915	ENSCAFG00000032133	Canis_lupus_familiaris
ENSVVUP00000027470	ENSVVUG00000020182	Vulpes_vulpes
ENSPPRP00000023145	ENSPPRG00000013434	Panthera_pardus
ENSPTIP00000024926	ENSPTIG00000020878	Panthera_tigris_altaica
ENSFCAP00000055135	ENSFCAG00000000242	Felis_catus
ENSPVAP00000005864	ENSPVAG00000006200	Pteropus_vampyrus
ENSSARP00000002197	ENSSARG00000002422	Sorex_araneus
ENSCHOP00000005113	ENSCHOG00000005779	Choloepus_hoffmanni
ENSDNOP00000018021	ENSDNOG00000042121	Dasypus_novemcinctus
ENSPCAP00000001754	ENSPCAG00000001882	Procavia_capensis
ENSETEP00000010793	ENSETEG00000013308	Echinops_telfairi
