ENSNGAP00000022079	ENSNGAG00000021062	Nannospalax_galili
ENSNVIP00000001064	ENSNVIG00000000846	Neovison_vison
ENSPNYP00000028272	ENSPNYG00000021224	Pundamilia_nyererei
ENSAPOP00000015222	ENSAPOG00000018180	Acanthochromis_polyacanthus
ENSTSYP00000013056	ENSTSYG00000014218	Carlito_syrichta
ENSMALP00000012004	ENSMALG00000008505	Monopterus_albus
ENSMPUP00000005626	ENSMPUG00000005671	Mustela_putorius_furo
ENSCCNP00000000433	ENSCCNG00000000387	Castor_canadensis
ENSVVUP00000041023	ENSVVUG00000029206	Vulpes_vulpes
ENSGAFP00000010076	ENSGAFG00000006843	Gambusia_affinis
ENSAMEP00000016974	ENSAMEG00000015964	Ailuropoda_melanoleuca
ENSONIP00000000386	ENSONIG00000000307	Oreochromis_niloticus
ENSFCAP00000005199	ENSFCAG00000005600	Felis_catus
ENSNSUP00000013485	ENSNSUG00000010035	Notechis_scutatus	ENSNSUT00000014363
ENSLCAP00010009849	ENSLCAG00010004689	Lates_calcarifer
ENSNBRP00000031869	ENSNBRG00000024212	Neolamprologus_brichardi
ENSORLP00000025991	ENSORLG00000009028	Oryzias_latipes_ASM223467v1
ENSPVAP00000006642	ENSPVAG00000007040	Pteropus_vampyrus
ENSTNIP00000000139	ENSTNIG00000000936	Tetraodon_nigroviridis
ENSAOCP00000009473	ENSAOCG00000013625	Amphiprion_ocellaris
ENSSPUP00000011667	ENSSPUG00000008856	Sphenodon_punctatus	ENSSPUT00000012450
ENSGAGP00000006624	ENSGAGG00000005347	Gopherus_agassizii
ENSMZEP00005028391	ENSMZEG00005021168	Maylandia_zebra
ENSSLDP00000010884	ENSSLDG00000008666	Seriola_lalandi_dorsalis
ENSPSIP00000011548	ENSPSIG00000010411	Pelodiscus_sinensis
ENSOGAP00000005435	ENSOGAG00000006079	Otolemur_garnettii
ENSSMAP00000023657	ENSSMAG00000014428	Scophthalmus_maximus
ENSMUSP00000130530	ENSMUSG00000022220	Mus_musculus_strain_reference_(CL57BL6)
ENSECAP00000011399	ENSECAG00000013004	Equus_caballus
ENSDCDP00000023438	ENSDCDG00000017759	Denticeps_clupeoides
ENSEBUP00000019042	ENSEBUG00000011755	Eptatretus_burgeri
ENSPPRP00000027804	ENSPPRG00000019543	Panthera_pardus
ENSHHUP00000003918	ENSHHUG00000002452	Hucho_hucho	ENSHHUT00000004048
ENSLOCP00000011357	ENSLOCG00000009313	Lepisosteus_oculatus
MGP_SPRETEiJ_P0038625	MGP_SPRETEiJ_G0020208	Mus_spretus_strain_SPRET/EiJ
ENSMEUP00000012819	ENSMEUG00000014038	Notamacropus_eugenii
