FBpp0304031	FBgn0025366	Drosophila_melanogaster	FBtr0331641
W09C5.1.1	WBGene00012351	Caenorhabditis_elegans_strain_N2	W09C5.1.1
ENSPVIP00000013501	ENSPVIG00000010457	Pogona_vitticeps
ENSACAP00000008798	ENSACAG00000008969	Anolis_carolinensis
ENSNSUP00000014259	ENSNSUG00000010546	Notechis_scutatus
ENSSMRP00000007302	ENSSMRG00000005871	Salvator_merianae
ENSSPUP00000000770	ENSSPUG00000000619	Sphenodon_punctatus
ENSGAGP00000016506	ENSGAGG00000012348	Gopherus_agassizii
ENSCABP00000019412	ENSCABG00000014331	Chelonoidis_abingdonii
ENSCPBP00000001048	ENSCPBG00000000845	Chrysemys_picta_bellii
ENSPSIP00000014434	ENSPSIG00000012904	Pelodiscus_sinensis
ENSCPUP00000015697	ENSCPUG00000010925	Calidris_pugnax
ENSCPUP00000015696	ENSCPUG00000010924	Calidris_pugnax
ENSCPGP00000000318	ENSCPGG00000000233	Calidris_pygmaea
ENSMUNP00000003214	ENSMUNG00000002751	Melopsittacus_undulatus
ENSLCOP00000000935	ENSLCOG00000000780	Lepidothrix_coronata
ENSMVIP00005020305	ENSMVIG00005014361	Manacus_vitellinus
ENSFALP00000010527	ENSFALG00000010090	Ficedula_albicollis
ENSZALP00000021095	ENSZALG00000016548	Zonotrichia_albicollis
ENSPMJP00000021775	ENSPMJG00000016164	Parus_major
ENSCCEP00000017827	ENSCCEG00000016443	Cyanistes_caeruleus
ENSLSDP00000020142	ENSLSDG00000014273	Lonchura_striata_domestica
ENSTGUP00000006215	ENSTGUG00000006033	Taeniopygia_guttata
ENSSCAP00000006188	ENSSCAG00000004842	Serinus_canaria
ENSABRP00000000368	ENSABRG00000000420	Anser_brachyrhynchus
ENSAPLP00000022397	ENSAPLG00000007082	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000018914	ENSAHAG00000013389	Apteryx_haastii
ENSAOWP00000010038	ENSAOWG00000006899	Apteryx_owenii
ENSARWP00000020815	ENSARWG00000014228	Apteryx_rowi
ENSDNVP00000018946	ENSDNVG00000013231	Dromaius_novaehollandiae
ENSNPEP00000021557	ENSNPEG00000015988	Nothoprocta_perdicaria
ENSGALP00000061559	ENSGALG00000014942	Gallus_gallus
ENSMGAP00000005358	ENSMGAG00000005446	Meleagris_gallopavo
ENSCJPP00005001824	ENSCJPG00005001870	Coturnix_japonica
ENSNMEP00000008752	ENSNMEG00000008516	Numida_meleagris
ENSCPRP00005000809	ENSCPRG00005000620	Crocodylus_porosus
ENSVPAP00000006851	ENSVPAG00000007368	Vicugna_pacos
ENSNVIP00000017629	ENSNVIG00000013800	Neovison_vison
ENSBIXP00005014645	ENSBIXG00005018592	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSSCP00000060892	ENSSSCG00000014075	Sus_scrofa_strain_reference
ENSMLUP00000013153	ENSMLUG00000014464	Myotis_lucifugus
ENSECAP00000004081	ENSECAG00000005528	Equus_caballus
ENSUMAP00000009684	ENSUMAG00000007325	Ursus_maritimus
ENSCAFP00000012206	ENSCAFG00000008311	Canis_lupus_familiaris
ENSPVAP00000005110	ENSPVAG00000005396	Pteropus_vampyrus
ENSUAMP00000003903	ENSUAMG00000003601	Ursus_americanus
ENSBIXP00000009759	ENSBIXG00000015385	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000024016	ENSBMUG00000018033	Bos_mutus
ENSBTAP00000003989	ENSBTAG00000003066	Bos_taurus
ENSOARP00000021058	ENSOARG00000019608	Ovis_aries
ENSEASP00005027038	ENSEASG00005018414	Equus_asinus_asinus
ENSSBOP00000004812	ENSSBOG00000019071	Saimiri_boliviensis_boliviensis
ENSFDAP00000010795	ENSFDAG00000018467	Fukomys_damarensis
ENSAMEP00000000627	ENSAMEG00000000593	Ailuropoda_melanoleuca
ENSCAFP00000037994	ENSCAFG00000030299	Canis_lupus_familiaris
ENSSARP00000008522	ENSSARG00000009424	Sorex_araneus
ENSMPUP00000005748	ENSMPUG00000005795	Mustela_putorius_furo
ENSEEUP00000005147	ENSEEUG00000005673	Erinaceus_europaeus
ENSCHIP00000002556	ENSCHIG00000005844	Capra_hircus
ENSPPRP00000008251	ENSPPRG00000003110	Panthera_pardus
ENSPTIP00000025746	ENSPTIG00000021404	Panthera_tigris_altaica
ENSFCAP00000011113	ENSFCAG00000011978	Felis_catus
ENSFCAP00000019682	ENSFCAG00000025379	Felis_catus
ENSPPRP00000012822	ENSPPRG00000006249	Panthera_pardus
ENSVVUP00000012660	ENSVVUG00000009264	Vulpes_vulpes
ENSTTRP00000004917	ENSTTRG00000005219	Tursiops_truncatus
ENSTSYP00000019535	ENSTSYG00000032708	Carlito_syrichta
ENSBBBP00000020819	ENSBBBG00000014517	Bison_bison_bison
ENSCAFP00020021492	ENSCAFG00020016993	Canis_lupus_dingo
ENSOANP00000024868	ENSOANG00000015775	Ornithorhynchus_anatinus
ENSPSMP00000018794	ENSPSMG00000013281	Prolemur_simus
ENSMICP00000019734	ENSMICG00000036331	Microcebus_murinus
ENSTSYP00000029874	ENSTSYG00000028518	Carlito_syrichta
ENSSTOP00000007121	ENSSTOG00000007959	Ictidomys_tridecemlineatus
ENSCLAP00000008664	ENSCLAG00000006062	Chinchilla_lanigera
ENSBBBP00000024964	ENSBBBG00000019491	Bison_bison_bison
ENSSARP00000012967	ENSSARG00000014334	Sorex_araneus
ENSUMAP00000007795	ENSUMAG00000006018	Ursus_maritimus
ENSUAMP00000031956	ENSUAMG00000024463	Ursus_americanus
ENSPTIP00000003673	ENSPTIG00000006374	Panthera_tigris_altaica
ENSFCAP00000033091	ENSFCAG00000035937	Felis_catus
ENSPTIP00000026639	ENSPTIG00000021983	Panthera_tigris_altaica
ENSMICP00000051257	ENSMICG00000049006	Microcebus_murinus
ENSCGRP00000005299	ENSCGRG00000003873	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001005732	ENSCGRG00001007587	Cricetulus_griseus_CHOK1GS_HDv1
ENSTSYP00000033225	ENSTSYG00000030822	Carlito_syrichta
ENSANAP00000007791	ENSANAG00000021966	Aotus_nancymaae
ENSANAP00000003052	ENSANAG00000019383	Aotus_nancymaae
ENSRBIP00000003429	ENSRBIG00000016108	Rhinopithecus_bieti
ENSCANP00000027728	ENSCANG00000037256	Colobus_angolensis_palliatus
ENSMFAP00000008027	ENSMFAG00000045787	Macaca_fascicularis
ENSOCUP00000047344	ENSOCUG00000024931	Oryctolagus_cuniculus
ENSRNOP00000064478	ENSRNOG00000031935	Rattus_norvegicus
ENSCCAP00000031285	ENSCCAG00000033694	Cebus_capucinus_imitator
ENSNLEP00000037744	ENSNLEG00000033057	Nomascus_leucogenys
ENSPSMP00000009622	ENSPSMG00000007041	Prolemur_simus
ENSRROP00000011691	ENSRROG00000030179	Rhinopithecus_roxellana
ENSCANP00000035897	ENSCANG00000041646	Colobus_angolensis_palliatus
ENSMNEP00000029743	ENSMNEG00000038356	Macaca_nemestrina
ENSMFAP00000003416	ENSMFAG00000001465	Macaca_fascicularis
ENSPANP00000045744	ENSPANG00000035445	Papio_anubis
ENSSTOP00000026589	ENSSTOG00000033061	Ictidomys_tridecemlineatus
ENSCATP00000013346	ENSCATG00000030798	Cercocebus_atys
ENSMLEP00000003415	ENSMLEG00000014742	Mandrillus_leucophaeus
ENSPTEP00000008715	ENSPTEG00000009895	Piliocolobus_tephrosceles
ENSNLEP00000041307	ENSNLEG00000029121	Nomascus_leucogenys
ENSOCUP00000032951	ENSOCUG00000036968	Oryctolagus_cuniculus
ENSCGRP00015028720	ENSCGRG00015021736	Cricetulus_griseus_CriGri-PICR
ENSSBOP00000002274	ENSSBOG00000012022	Saimiri_boliviensis_boliviensis
ENSNVIP00000000522	ENSNVIG00000000465	Neovison_vison
ENSBBBP00000020361	ENSBBBG00000013963	Bison_bison_bison
ENSCAFP00020034175	ENSCAFG00020026529	Canis_lupus_dingo
ENSCAFP00000042243	ENSCAFG00000007385	Canis_lupus_familiaris
ENSCAFP00020013758	ENSCAFG00020011130	Canis_lupus_dingo
ENSVVUP00000026097	ENSVVUG00000019162	Vulpes_vulpes
ENSPPAP00000012368	ENSPPAG00000029364	Pan_paniscus
ENSPTRP00000073278	ENSPTRG00000044182	Pan_troglodytes
ENSGGOP00000049298	ENSGGOG00000037269	Gorilla_gorilla
ENSPTRP00000090652	ENSPTRG00000046335	Pan_troglodytes
ENSTSYP00000032505	ENSTSYG00000032279	Carlito_syrichta
