ENSPTEP00000003760	ENSPTEG00000004458	Piliocolobus_tephrosceles	ENSPTET00000005893
ENSTGEP00000003674	ENSTGEG00000003098	Theropithecus_gelada	ENSTGET00000004470
ENSMMUP00000072961	ENSMMUG00000052301	Macaca_mulatta	ENSMMUT00000103855
ENSCATP00000003497	ENSCATG00000013474	Cercocebus_atys	ENSCATT00000015196
ENSRROP00000034308	ENSRROG00000040715	Rhinopithecus_roxellana	ENSRROT00000058752
ENSPPAP00000006374	ENSPPAG00000024964	Pan_paniscus	ENSPPAT00000027565
ENSMLEP00000000482	ENSMLEG00000001403	Mandrillus_leucophaeus	ENSMLET00000001573
ENSPANP00000037573	ENSPANG00000031238	Papio_anubis	ENSPANT00000049573
ENSCCAP00000031951	ENSCCAG00000034004	Cebus_capucinus_imitator
ENSMFAP00000013488	ENSMFAG00000029168	Macaca_fascicularis	ENSMFAT00000063369
ENSPTRP00000066543	ENSPTRG00000052572	Pan_troglodytes	ENSPTRT00000109505
ENSNLEP00000048411	ENSNLEG00000033643	Nomascus_leucogenys	ENSNLET00000033321
ENSMNEP00000004783	ENSMNEG00000021838	Macaca_nemestrina	ENSMNET00000023894
ENSGGOP00000020616	ENSGGOG00000025546	Gorilla_gorilla	ENSGGOT00000031283
