ENSORLP00020014405	ENSORLG00020015412	Oryzias_latipes_ASM223471v1
ENSPREP00000032626	ENSPREG00000022109	Poecilia_reticulata
ENSPNYP00000031333	ENSPNYG00000023628	Pundamilia_nyererei
ENSLCAP00010060710	ENSLCAG00010028238	Lates_calcarifer
ENSSFOP00015006104	ENSSFOG00015003994	Scleropages_formosus	ENSSFOT00015006202
ENSSMAP00000023944	ENSSMAG00000014626	Scophthalmus_maximus
ENSGWIP00000019728	ENSGWIG00000010756	Gouania_willdenowi
ENSPNYP00000031374	ENSPNYG00000023659	Pundamilia_nyererei
ENSXCOP00000023021	ENSXCOG00000017206	Xiphophorus_couchianus
ENSACLP00000038332	ENSACLG00000025887	Astatotilapia_calliptera
ENSAMXP00000026843	ENSAMXG00000026138	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMALP00000020759	ENSMALG00000014521	Monopterus_albus
ENSSPAP00000014242	ENSSPAG00000010764	Stegastes_partitus
ENSAPEP00000033317	ENSAPEG00000023652	Amphiprion_percula
ENSLOCP00000022247	ENSLOCG00000018146	Lepisosteus_oculatus
ENSAPOP00000005543	ENSAPOG00000007256	Acanthochromis_polyacanthus
ENSCGOP00000010917	ENSCGOG00000005477	Cottoperca_gobio
ENSEEEP00000049453	ENSEEEG00000023244	Electrophorus_electricus
ENSHCOP00000022195	ENSHCOG00000009645	Hippocampus_comes
ENSPLAP00000001580	ENSPLAG00000002666	Poecilia_latipinna
ENSONIP00000016874	ENSONIG00000013420	Oreochromis_niloticus
ENSACIP00000021253	ENSACIG00000016511	Amphilophus_citrinellus
ENSBSLP00000004701	ENSBSLG00000002520	Betta_splendens
ENSPKIP00000010494	ENSPKIG00000025198	Paramormyrops_kingsleyae	ENSPKIT00000034627
ENSPMGP00000023157	ENSPMGG00000018739	Periophthalmus_magnuspinnatus
ENSXMAP00000028598	ENSXMAG00000029741	Xiphophorus_maculatus
ENSMAMP00000024027	ENSMAMG00000016156	Mastacembelus_armatus
ENSGAFP00000019140	ENSGAFG00000012925	Gambusia_affinis
ENSPNAP00000005468	ENSPNAG00000001869	Pygocentrus_nattereri
ENSCVAP00000032703	ENSCVAG00000022842	Cyprinodon_variegatus
ENSAMXP00005010466	ENSAMXG00005005842	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPRNP00000011168	ENSPRNG00000006320	Parambassis_ranga
ENSMZEP00005020380	ENSMZEG00005015281	Maylandia_zebra
ENSPMEP00000018400	ENSPMEG00000021326	Poecilia_mexicana
ENSTNIP00000018954	ENSTNIG00000015869	Tetraodon_nigroviridis
ENSCSEP00000018632	ENSCSEG00000011934	Cynoglossus_semilaevis
ENSAOCP00000010732	ENSAOCG00000014997	Amphiprion_ocellaris
ENSIPUP00000031379	ENSIPUG00000021132	Ictalurus_punctatus
ENSHHUP00000033713	ENSHHUG00000021273	Hucho_hucho	ENSHHUT00000035066
ENSELUP00000034399	ENSELUG00000012968	Esox_lucius	ENSELUT00000038229
ENSDARP00000122383	ENSDARG00000092834	Danio_rerio
ENSNBRP00000010558	ENSNBRG00000008230	Neolamprologus_brichardi
ENSHBUP00000003908	ENSHBUG00000005181	Haplochromis_burtoni
ENSORLP00000008685	ENSORLG00000006917	Oryzias_latipes_ASM223467v1
ENSTRUP00000036471	ENSTRUG00000014265	Takifugu_rubripes
ENSSDUP00000016160	ENSSDUG00000011760	Seriola_dumerili	ENSSDUT00000016453
ENSDCDP00000022638	ENSDCDG00000017328	Denticeps_clupeoides
ENSFHEP00000030350	ENSFHEG00000015601	Fundulus_heteroclitus
ENSLBEP00000001576	ENSLBEG00000001239	Labrus_bergylta
ENSORLP00015023715	ENSORLG00015003818	Oryzias_latipes_ASM223469v1
ENSSLDP00000032628	ENSSLDG00000025016	Seriola_lalandi_dorsalis
ENSOMEP00000022582	ENSOMEG00000002188	Oryzias_melastigma
ENSLCRP00005043093	ENSLCRG00005016547	Larimichthys_crocea
ENSPFOP00000020407	ENSPFOG00000020281	Poecilia_formosa
ENSMMOP00000023173	ENSMMOG00000017636	Mola_mola
