ENSSARP00000000500	ENSSARG00000000553	Sorex_araneus	ENSSART00000000550
ENSEEUP00000014545	ENSEEUG00000015920	Erinaceus_europaeus
ENSTGUP00000016761	ENSTGUG00000016463	Taeniopygia_guttata
ENSCGRP00000000730	ENSCGRG00000000598	Cricetulus_griseus_CriGri_1.0
ENSCCNP00000023348	ENSCCNG00000022946	Castor_canadensis
ENSMSIP00000025084	ENSMSIG00000021198	Mus_spicilegus
ENSCJAP00000075531	ENSCJAG00000055469	Callithrix_jacchus
ENSUPAP00010023331	ENSUPAG00010018498	Urocitellus_parryii
FBpp0076849	FBgn0260856	Drosophila_melanogaster
ENSCPGP00000001725	ENSCPGG00000001309	Calidris_pygmaea
ENSJHYP00000009725	ENSJHYG00000007641	Junco_hyemalis
ENSPVAP00000002256	ENSPVAG00000002390	Pteropus_vampyrus	ENSPVAT00000002389
ENSIPUP00000022740	ENSIPUG00000015403	Ictalurus_punctatus
ENSANAP00000014141	ENSANAG00000024988	Aotus_nancymaae
ENSLCRP00005010558	ENSLCRG00005004845	Larimichthys_crocea
ENSAPLP00000028388	ENSAPLG00000004588	Anas_platyrhynchos_platyrhynchos
ENSETEP00000005669	ENSETEG00000006995	Echinops_telfairi
ENSEBUP00000006674	ENSEBUG00000004406	Eptatretus_burgeri
ENSMEUP00000000564	ENSMEUG00000000622	Notamacropus_eugenii
ENSCAPP00000010370	ENSCAPG00000011656	Cavia_aperea
ENSMLUP00000017365	ENSMLUG00000030683	Myotis_lucifugus
ENSSPUP00000014186	ENSSPUG00000010943	Sphenodon_punctatus
ENSCHOP00000011620	ENSCHOG00000013123	Choloepus_hoffmanni
ENSNPEP00000018736	ENSNPEG00000013965	Nothoprocta_perdicaria
ENSCHOP00000006907	ENSCHOG00000007796	Choloepus_hoffmanni
ENSJHYP00000009711	ENSJHYG00000007634	Junco_hyemalis
ENSCCEP00000024936	ENSCCEG00000022086	Cyanistes_caeruleus
ENSSHAP00000019453	ENSSHAG00000016521	Sarcophilus_harrisii
ENSXETP00000044629	ENSXETG00000017819	Xenopus_tropicalis
ENSGAGP00000007234	ENSGAGG00000005811	Gopherus_agassizii
ENSCPGP00000001733	ENSCPGG00000001312	Calidris_pygmaea
ENSTRUP00000055044	ENSTRUG00000014249	Takifugu_rubripes
ENSMLUP00000021899	ENSMLUG00000026449	Myotis_lucifugus
ENSSTOP00000030106	ENSSTOG00000034170	Ictidomys_tridecemlineatus
ENSSBOP00000028565	ENSSBOG00000030654	Saimiri_boliviensis_boliviensis
