ENSCHOP00000010331	ENSCHOG00000011668	Choloepus_hoffmanni
ENSETEP00000004300	ENSETEG00000005283	Echinops_telfairi
ENSOMEP00000015201	ENSOMEG00000016756	Oryzias_melastigma
ENSMEUP00000013334	ENSMEUG00000014597	Notamacropus_eugenii
ENSMOCP00000015635	ENSMOCG00000014769	Microtus_ochrogaster
ENSCJPP00005015656	ENSCJPG00005012940	Coturnix_japonica
ENSPVIP00000009539	ENSPVIG00000007602	Pogona_vitticeps
ENSAPLP00000016509	ENSAPLG00000014391	Anas_platyrhynchos_platyrhynchos
ENSRNOP00000045431	ENSRNOG00000002538	Rattus_norvegicus
ENSMVIP00005014209	ENSMVIG00005010261	Manacus_vitellinus
ENSMPUP00000000969	ENSMPUG00000000976	Mustela_putorius_furo
ENSUAMP00000000708	ENSUAMG00000000703	Ursus_americanus
ENSCHIP00000012342	ENSCHIG00000014138	Capra_hircus
ENSCPRP00005001481	ENSCPRG00005001125	Crocodylus_porosus
ENSTNIP00000002028	ENSTNIG00000007569	Tetraodon_nigroviridis
ENSCAFP00020017404	ENSCAFG00020013791	Canis_lupus_dingo
ENSCMIP00000020563	ENSCMIG00000009465	Callorhinchus_milii
ENSNSUP00000014805	ENSNSUG00000010949	Notechis_scutatus
ENSHHUP00000046656	ENSHHUG00000028380	Hucho_hucho	ENSHHUT00000048369
ENSOCUP00000007247	ENSOCUG00000008381	Oryctolagus_cuniculus
ENSCPBP00000018892	ENSCPBG00000013701	Chrysemys_picta_bellii
ENSARWP00000015637	ENSARWG00000010787	Apteryx_rowi
ENSXCOP00000019259	ENSXCOG00000014482	Xiphophorus_couchianus
ENSRBIP00000009870	ENSRBIG00000028508	Rhinopithecus_bieti
ENSGAFP00000027026	ENSGAFG00000018258	Gambusia_affinis
ENSCPOP00000003413	ENSCPOG00000003780	Cavia_porcellus
ENSSMRP00000015205	ENSSMRG00000011835	Salvator_merianae
ENSFCAP00000018074	ENSFCAG00000022135	Felis_catus
ENSCHIP00000005210	ENSCHIG00000009337	Capra_hircus
ENSLCAP00010060367	ENSLCAG00010028083	Lates_calcarifer
