ENSPCAP00000001915	ENSPCAG00000002042	Procavia_capensis
ENSFCAP00000040345	ENSFCAG00000045119	Felis_catus
ENSPTRP00000085742	ENSPTRG00000009338	Pan_troglodytes
ENSCPUP00000020968	ENSCPUG00000014345	Calidris_pugnax
ENSCATP00000014781	ENSCATG00000031406	Cercocebus_atys
ENSGGOP00000052260	ENSGGOG00000012667	Gorilla_gorilla
ENSLSDP00000002450	ENSLSDG00000001964	Lonchura_striata_domestica
ENSUMAP00000021898	ENSUMAG00000016015	Ursus_maritimus
ENSMICP00000004389	ENSMICG00000004816	Microcebus_murinus
ENSUAMP00000021800	ENSUAMG00000017138	Ursus_americanus
ENSPANP00000020078	ENSPANG00000022918	Papio_anubis
ENSTTRP00000011821	ENSTTRG00000012463	Tursiops_truncatus
ENSSPUP00000023041	ENSSPUG00000017689	Sphenodon_punctatus
ENSGAGP00000009770	ENSGAGG00000007700	Gopherus_agassizii
ENSCPRP00005009993	ENSCPRG00005007132	Crocodylus_porosus
ENSUPAP00010008123	ENSUPAG00010006533	Urocitellus_parryii
ENSMMUP00000064566	ENSMMUG00000061605	Macaca_mulatta
ENSPVIP00000023872	ENSPVIG00000018009	Pogona_vitticeps
ENSMVIP00005013222	ENSMVIG00005009578	Manacus_vitellinus
ENSCSAP00000015471	ENSCSAG00000002574	Chlorocebus_sabaeus
ENSBIXP00005000612	ENSBIXG00005030008	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMGAP00000008180	ENSMGAG00000008015	Meleagris_gallopavo
ENSMLUP00000005855	ENSMLUG00000006409	Myotis_lucifugus
ENSACAP00000006728	ENSACAG00000006887	Anolis_carolinensis
ENSTBEP00000002679	ENSTBEG00000003096	Tupaia_belangeri
ENSFALP00000002854	ENSFALG00000002737	Ficedula_albicollis
ENSCJPP00005024616	ENSCJPG00005019390	Coturnix_japonica	ENSCJPT00005033511
ENSCPOP00000006246	ENSCPOG00000006925	Cavia_porcellus
MGP_PahariEiJ_P0036218	MGP_PahariEiJ_G0018175	Mus_pahari_strain_PAHARI_EIJ
ENSCJAP00000014420	ENSCJAG00000007776	Callithrix_jacchus
ENSCHIP00000014497	ENSCHIG00000015497	Capra_hircus
ENSAMEP00000005005	ENSAMEG00000004734	Ailuropoda_melanoleuca
ENSOPRP00000003645	ENSOPRG00000003963	Ochotona_princeps
ENSTGEP00000001653	ENSTGEG00000001523	Theropithecus_gelada
ENSSTOP00000001842	ENSSTOG00000002068	Ictidomys_tridecemlineatus
ENSMSIP00000021420	ENSMSIG00000018171	Mus_spicilegus
ENSJJAP00000005483	ENSJJAG00000010412	Jaculus_jaculus
ENSGALP00000061774	ENSGALG00000046384	Gallus_gallus	ENSGALT00000084539
ENSODEP00000023724	ENSODEG00000017367	Octodon_degus
ENSBIXP00000005524	ENSBIXG00000011689	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSHGLP00000023148	ENSHGLG00000016506	Heterocephalus_glaber_HetGla_female_1.0
ENSRNOP00000013542	ENSRNOG00000009902	Rattus_norvegicus
ENSPMJP00000007018	ENSPMJG00000005834	Parus_major
ENSOGAP00000005518	ENSOGAG00000006177	Otolemur_garnettii
ENSCCAP00000025576	ENSCCAG00000030568	Cebus_capucinus_imitator
ENSAOWP00000020845	ENSAOWG00000014101	Apteryx_owenii
ENSPPYP00000009960	ENSPPYG00000008882	Pongo_abelii
ENSMEUP00000006662	ENSMEUG00000007300	Notamacropus_eugenii
ENSETEP00000011575	ENSETEG00000014263	Echinops_telfairi
ENSNLEP00000002308	ENSNLEG00000001902	Nomascus_leucogenys
ENSCGRP00000017435	ENSCGRG00000012681	Cricetulus_griseus_CriGri_1.0
ENSBBBP00000026266	ENSBBBG00000021972	Bison_bison_bison
ENSNGAP00000024236	ENSNGAG00000022557	Nannospalax_galili
ENSAPLP00000027521	ENSAPLG00000026278	Anas_platyrhynchos_platyrhynchos
ENSSDAP00000014341	ENSSDAG00000012921	Spermophilus_dauricus
ENSLAFP00000005736	ENSLAFG00000006826	Loxodonta_africana
ENSCGRP00015025811	ENSCGRG00015019612	Cricetulus_griseus_CriGri-PICR
ENSPTEP00000033056	ENSPTEG00000031658	Piliocolobus_tephrosceles
ENSMNEP00000027254	ENSMNEG00000037035	Macaca_nemestrina
ENSOCUP00000008154	ENSOCUG00000009453	Oryctolagus_cuniculus
ENSARWP00000001157	ENSARWG00000000938	Apteryx_rowi
ENSPVAP00000004027	ENSPVAG00000004252	Pteropus_vampyrus
ENSCAPP00000010059	ENSCAPG00000011397	Cavia_aperea
ENSMFAP00000017592	ENSMFAG00000031915	Macaca_fascicularis
MGP_SPRETEiJ_P0030916	MGP_SPRETEiJ_G0017891	Mus_spretus_strain_SPRET/EiJ
ENSMOCP00000018393	ENSMOCG00000016707	Microtus_ochrogaster
ENSMODP00000015611	ENSMODG00000012473	Monodelphis_domestica
ENSCLAP00000024338	ENSCLAG00000016713	Chinchilla_lanigera
ENSSBOP00000020812	ENSSBOG00000026980	Saimiri_boliviensis_boliviensis
ENSCPBP00000039788	ENSCPBG00000027399	Chrysemys_picta_bellii
ENSLOCP00000016921	ENSLOCG00000013725	Lepisosteus_oculatus
ENSBTAP00000002392	ENSBTAG00000001830	Bos_taurus
ENSMPUP00000015177	ENSMPUG00000015287	Mustela_putorius_furo
ENSPPRP00000006515	ENSPPRG00000001915	Panthera_pardus
ENSPSIP00000015724	ENSPSIG00000014002	Pelodiscus_sinensis
ENSPCIP00000001083	ENSPCIG00000000900	Phascolarctos_cinereus
ENSTSYP00000003381	ENSTSYG00000003710	Carlito_syrichta
ENSMUGP00000026980	ENSMUGG00000022469	Meriones_unguiculatus
ENSCAFP00020029826	ENSCAFG00020023236	Canis_lupus_dingo
ENSCCEP00000024650	ENSCCEG00000021862	Cyanistes_caeruleus
ENSCAFP00000042601	ENSCAFG00000030744	Canis_lupus_familiaris
ENSMMMP00000023242	ENSMMMG00000020356	Marmota_marmota_marmota
ENSECAP00000005625	ENSECAG00000007543	Equus_caballus
ENSMAUP00000021809	ENSMAUG00000019416	Mesocricetus_auratus
MGP_CAROLIEiJ_P0029496	MGP_CAROLIEiJ_G0017045	Mus_caroli_strain_CAROLI_EIJ
ENSSSCP00000042344	ENSSSCG00000017520	Sus_scrofa_strain_reference
ENSP00000269025	ENSG00000141294	Homo_sapiens
ENSHGLP00100005432	ENSHGLG00100004121	Heterocephalus_glaber_HetGla_1.0
ENSLACP00000023116	ENSLACG00000022295	Latimeria_chalumnae
ENSPSMP00000010355	ENSPSMG00000007500	Prolemur_simus
ENSDNOP00000024024	ENSDNOG00000047964	Dasypus_novemcinctus
ENSPCOP00000009004	ENSPCOG00000015829	Propithecus_coquereli
ENSAHAP00000010300	ENSAHAG00000007467	Apteryx_haastii
ENSCCNP00000008790	ENSCCNG00000009270	Castor_canadensis
ENSNPEP00000013626	ENSNPEG00000010160	Nothoprocta_perdicaria
ENSANAP00000021401	ENSANAG00000028496	Aotus_nancymaae
ENSRBIP00000025467	ENSRBIG00000036612	Rhinopithecus_bieti
ENSCMIP00000016176	ENSCMIG00000007829	Callorhinchus_milii
ENSFDAP00000012308	ENSFDAG00000019672	Fukomys_damarensis
ENSEEUP00000003641	ENSEEUG00000004007	Erinaceus_europaeus
ENSSMRP00000000017	ENSSMRG00000000025	Salvator_merianae
ENSPEMP00000023475	ENSPEMG00000020507	Peromyscus_maniculatus_bairdii
ENSCGRP00001020668	ENSCGRG00001019758	Cricetulus_griseus_CHOK1GS_HDv1
ENSDNVP00000004002	ENSDNVG00000002844	Dromaius_novaehollandiae
ENSCPGP00000026044	ENSCPGG00000017961	Calidris_pygmaea
ENSOANP00000002452	ENSOANG00000001541	Ornithorhynchus_anatinus
ENSPTIP00000021239	ENSPTIG00000018466	Panthera_tigris_altaica
ENSCANP00000025512	ENSCANG00000036184	Colobus_angolensis_palliatus
ENSVVUP00000004004	ENSVVUG00000003146	Vulpes_vulpes
ENSABRP00000001069	ENSABRG00000001138	Anser_brachyrhynchus
ENSNVIP00000007091	ENSNVIG00000005619	Neovison_vison
ENSPPAP00000032186	ENSPPAG00000038983	Pan_paniscus
ENSMLEP00000014836	ENSMLEG00000031583	Mandrillus_leucophaeus
ENSLCOP00000020403	ENSLCOG00000014455	Lepidothrix_coronata
ENSOARP00000008499	ENSOARG00000007918	Ovis_aries
ENSECRP00000032071	ENSECRG00000021739	Erpetoichthys_calabaricus
ENSSHAP00000004245	ENSSHAG00000003740	Sarcophilus_harrisii
ENSBMUP00000000957	ENSBMUG00000000816	Bos_mutus
ENSEASP00005000758	ENSEASG00005000676	Equus_asinus_asinus
ENSVURP00010009451	ENSVURG00010007320	Vombatus_ursinus
ENSMUSP00000021251	ENSMUSG00000020878	Mus_musculus_strain_reference_(CL57BL6)
ENSRROP00000031769	ENSRROG00000039559	Rhinopithecus_roxellana
