ENSOCUP00000006490	ENSOCUG00000007503	Oryctolagus_cuniculus
ENSCPOP00000008539	ENSCPOG00000009512	Cavia_porcellus
ENSAMEP00000000527	ENSAMEG00000000467	Ailuropoda_melanoleuca
ENSTGEP00000018472	ENSTGEG00000014881	Theropithecus_gelada
ENSBIXP00000005765	ENSBIXG00000011900	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCANP00000015581	ENSCANG00000031251	Colobus_angolensis_palliatus
ENSSBOP00000027403	ENSSBOG00000030105	Saimiri_boliviensis_boliviensis
ENSOPRP00000009199	ENSOPRG00000010078	Ochotona_princeps
ENSCPOP00000010637	ENSCPOG00000011825	Cavia_porcellus
ENSTBEP00000007526	ENSTBEG00000008692	Tupaia_belangeri
ENSOARP00000003263	ENSOARG00000003068	Ovis_aries
ENSPPYP00000004374	ENSPPYG00000003825	Pongo_abelii
ENSPTRP00000007279	ENSPTRG00000004230	Pan_troglodytes
ENSPPYP00000004373	ENSPPYG00000003824	Pongo_abelii
ENSMFAP00000006184	ENSMFAG00000000204	Macaca_fascicularis
ENSCATP00000019238	ENSCATG00000033400	Cercocebus_atys
ENSNLEP00000008777	ENSNLEG00000007194	Nomascus_leucogenys
ENSPTIP00000001294	ENSPTIG00000003345	Panthera_tigris_altaica
ENSCJAP00000018034	ENSCJAG00000009805	Callithrix_jacchus
ENSMNEP00000024751	ENSMNEG00000035890	Macaca_nemestrina
ENSSSCP00000015922	ENSSSCG00000014997	Sus_scrofa_strain_reference
ENSODEP00000015765	ENSODEG00000011629	Octodon_degus
ENSBIXP00005034313	ENSBIXG00005015227	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCHOP00000005077	ENSCHOG00000005737	Choloepus_hoffmanni
ENSTGEP00000018324	ENSTGEG00000014790	Theropithecus_gelada
ENSEEUP00000001852	ENSEEUG00000002036	Erinaceus_europaeus
ENSCCAP00000014569	ENSCCAG00000025091	Cebus_capucinus_imitator
ENSPTRP00000041705	ENSPTRG00000023646	Pan_troglodytes
ENSMLUP00000019995	ENSMLUG00000026807	Myotis_lucifugus
ENSPPAP00000039371	ENSPPAG00000042390	Pan_paniscus
ENSETEP00000004807	ENSETEG00000005921	Echinops_telfairi
ENSPSMP00000008192	ENSPSMG00000006029	Prolemur_simus
ENSGGOP00000015374	ENSGGOG00000015759	Gorilla_gorilla
ENSCSAP00000014963	ENSCSAG00000003077	Chlorocebus_sabaeus
ENSBBBP00000015928	ENSBBBG00000023760	Bison_bison_bison
ENSTTRP00000013536	ENSTTRG00000014280	Tursiops_truncatus
ENSNLEP00000008781	ENSNLEG00000007197	Nomascus_leucogenys
ENSTTRP00000013531	ENSTTRG00000014275	Tursiops_truncatus
ENSPCOP00000005540	ENSPCOG00000013698	Propithecus_coquereli
ENSPVAP00000012858	ENSPVAG00000013632	Pteropus_vampyrus
ENSPANP00000000646	ENSPANG00000018232	Papio_anubis
ENSBTAP00000027820	ENSBTAG00000020884	Bos_taurus
ENSMMUP00000012894	ENSMMUG00000009850	Macaca_mulatta
ENSMLEP00000008929	ENSMLEG00000028661	Mandrillus_leucophaeus
ENSMLUP00000022751	ENSMLUG00000025491	Myotis_lucifugus
ENSMFAP00000021465	ENSMFAG00000035640	Macaca_fascicularis
ENSPCAP00000007366	ENSPCAG00000007851	Procavia_capensis
ENSDNOP00000019500	ENSDNOG00000012369	Dasypus_novemcinctus	ENSDNOT00000042960
ENSTSYP00000010696	ENSTSYG00000011687	Carlito_syrichta
ENSRBIP00000025689	ENSRBIG00000036720	Rhinopithecus_bieti
ENSCHOP00000006608	ENSCHOG00000007454	Choloepus_hoffmanni
ENSANAP00000020008	ENSANAG00000027784	Aotus_nancymaae
ENSHGLP00000000396	ENSHGLG00000000369	Heterocephalus_glaber_HetGla_female_1.0
ENSMLUP00000019420	ENSMLUG00000028533	Myotis_lucifugus
ENSPANP00000024592	ENSPANG00000022854	Papio_anubis
ENSFCAP00000005500	ENSFCAG00000005921	Felis_catus
ENSPCOP00000018544	ENSPCOG00000021168	Propithecus_coquereli
ENSUMAP00000012038	ENSUMAG00000009022	Ursus_maritimus	ENSUMAT00000014319
ENSCLAP00000018713	ENSCLAG00000012832	Chinchilla_lanigera
ENSTBEP00000009609	ENSTBEG00000011127	Tupaia_belangeri
ENSPPRP00000003530	ENSPPRG00000022690	Panthera_pardus
ENSRBIP00000025916	ENSRBIG00000036839	Rhinopithecus_bieti
ENSMLUP00000007027	ENSMLUG00000007691	Myotis_lucifugus
ENSCATP00000021307	ENSCATG00000034381	Cercocebus_atys
ENSMICP00000001675	ENSMICG00000001838	Microcebus_murinus
ENSOGAP00000018563	ENSOGAG00000025866	Otolemur_garnettii
ENSP00000388566	ENSG00000196954	Homo_sapiens
ENSMMUP00000042525	ENSMMUG00000009851	Macaca_mulatta
ENSECAP00000010831	ENSECAG00000012876	Equus_caballus
ENSCCNP00000010792	ENSCCNG00000011212	Castor_canadensis
ENSMNEP00000006444	ENSMNEG00000027443	Macaca_nemestrina
ENSCHIP00000027556	ENSCHIG00000023433	Capra_hircus
