ENSPPAP00000007252	ENSPPAG00000026417	Pan_paniscus
ENSPTRP00000018006	ENSPTRG00000010548	Pan_troglodytes
ENSP00000466845	ENSG00000105607	Homo_sapiens
ENSGGOP00000003350	ENSGGOG00000003411	Gorilla_gorilla
ENSPPYP00000010777	ENSPPYG00000009613	Pongo_abelii
ENSNLEP00000015653	ENSNLEG00000012871	Nomascus_leucogenys
ENSPTEP00000006455	ENSPTEG00000007392	Piliocolobus_tephrosceles
ENSCANP00000017007	ENSCANG00000031970	Colobus_angolensis_palliatus
ENSRROP00000043419	ENSRROG00000044762	Rhinopithecus_roxellana
ENSRBIP00000014478	ENSRBIG00000031343	Rhinopithecus_bieti
ENSMMUP00000070800	ENSMMUG00000007043	Macaca_mulatta
ENSMFAP00000034538	ENSMFAG00000003761	Macaca_fascicularis
ENSMNEP00000023051	ENSMNEG00000035137	Macaca_nemestrina
ENSMLEP00000021539	ENSMLEG00000034975	Mandrillus_leucophaeus
ENSCATP00000009087	ENSCATG00000027594	Cercocebus_atys
ENSTGEP00000002487	ENSTGEG00000002179	Theropithecus_gelada
ENSPANP00000001418	ENSPANG00000007728	Papio_anubis
ENSCSAP00000002824	ENSCSAG00000006539	Chlorocebus_sabaeus
ENSCCAP00000019931	ENSCCAG00000027806	Cebus_capucinus_imitator
ENSSBOP00000009276	ENSSBOG00000021506	Saimiri_boliviensis_boliviensis
ENSCJAP00000008643	ENSCJAG00000004741	Callithrix_jacchus
ENSANAP00000038085	ENSANAG00000036490	Aotus_nancymaae
ENSTSYP00000003575	ENSTSYG00000003920	Carlito_syrichta
ENSMICP00000042397	ENSMICG00000016264	Microcebus_murinus
ENSPCOP00000029567	ENSPCOG00000027495	Propithecus_coquereli
ENSPSMP00000006389	ENSPSMG00000004781	Prolemur_simus
ENSOGAP00000010947	ENSOGAG00000012240	Otolemur_garnettii
ENSTBEP00000011645	ENSTBEG00000013451	Tupaia_belangeri
ENSMSIP00000016249	ENSMSIG00000013969	Mus_spicilegus
MGP_SPRETEiJ_P0088816	MGP_SPRETEiJ_G0032433	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000003907	ENSMUSG00000003809	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0085314	MGP_CAROLIEiJ_G0031314	Mus_caroli_strain_CAROLI_EIJ
