ENSLCRP00005035273	ENSLCRG00005013777	Larimichthys_crocea
ENSTNIP00000006319	ENSTNIG00000003719	Tetraodon_nigroviridis
ENSFHEP00000028444	ENSFHEG00000012564	Fundulus_heteroclitus
ENSKMAP00000005867	ENSKMAG00000004460	Kryptolebias_marmoratus
ENSGWIP00000019800	ENSGWIG00000010791	Gouania_willdenowi
ENSGAFP00000022713	ENSGAFG00000015357	Gambusia_affinis
ENSCSEP00000031423	ENSCSEG00000020124	Cynoglossus_semilaevis
ENSHCOP00000019172	ENSHCOG00000004304	Hippocampus_comes
ENSBSLP00000045939	ENSBSLG00000021930	Betta_splendens
ENSBSLP00000046973	ENSBSLG00000022349	Betta_splendens
ENSGAFP00000007216	ENSGAFG00000004911	Gambusia_affinis
ENSATEP00000031945	ENSATEG00000022001	Anabas_testudineus
ENSMALP00000001216	ENSMALG00000000929	Monopterus_albus
ENSSDUP00000021400	ENSSDUG00000015570	Seriola_dumerili
ENSSLDP00000001457	ENSSLDG00000001215	Seriola_lalandi_dorsalis
ENSLCAP00010019876	ENSLCAG00010009371	Lates_calcarifer
ENSTNIP00000022954	ENSTNIG00000019709	Tetraodon_nigroviridis
ENSMZEP00005029100	ENSMZEG00005021692	Maylandia_zebra
ENSPNYP00000020868	ENSPNYG00000015788	Pundamilia_nyererei
ENSACLP00000020525	ENSACLG00000013948	Astatotilapia_calliptera
ENSHBUP00000023967	ENSHBUG00000005096	Haplochromis_burtoni
ENSNBRP00000016544	ENSNBRG00000012777	Neolamprologus_brichardi
ENSONIP00000022592	ENSONIG00000017925	Oreochromis_niloticus
ENSACIP00000005441	ENSACIG00000004290	Amphilophus_citrinellus
ENSXCOP00000015754	ENSXCOG00000011905	Xiphophorus_couchianus
ENSXMAP00000031855	ENSXMAG00000026201	Xiphophorus_maculatus
ENSPLAP00000031019	ENSPLAG00000022649	Poecilia_latipinna
ENSPFOP00000013014	ENSPFOG00000012984	Poecilia_formosa
ENSPMEP00000018304	ENSPMEG00000021227	Poecilia_mexicana
ENSPREP00000026693	ENSPREG00000018055	Poecilia_reticulata
ENSCVAP00000031137	ENSCVAG00000020204	Cyprinodon_variegatus
ENSFHEP00000007630	ENSFHEG00000008748	Fundulus_heteroclitus
ENSKMAP00000019811	ENSKMAG00000014721	Kryptolebias_marmoratus
ENSORLP00020005604	ENSORLG00020006455	Oryzias_latipes_ASM223471v1
ENSORLP00015025101	ENSORLG00015006050	Oryzias_latipes_ASM223469v1
ENSORLP00000021422	ENSORLG00000017122	Oryzias_latipes_ASM223467v1
ENSOMEP00000035998	ENSOMEG00000023544	Oryzias_melastigma
ENSAPEP00000024542	ENSAPEG00000017452	Amphiprion_percula
ENSAOCP00000012882	ENSAOCG00000001216	Amphiprion_ocellaris
ENSAPOP00000030772	ENSAPOG00000017597	Acanthochromis_polyacanthus
ENSSPAP00000006125	ENSSPAG00000004713	Stegastes_partitus
ENSPRNP00000004485	ENSPRNG00000002524	Parambassis_ranga
ENSMAMP00000026570	ENSMAMG00000017856	Mastacembelus_armatus
ENSPMGP00000000723	ENSPMGG00000000663	Periophthalmus_magnuspinnatus
ENSLBEP00000030874	ENSLBEG00000023315	Labrus_bergylta
ENSCGOP00000033871	ENSCGOG00000015657	Cottoperca_gobio
ENSMMOP00000008676	ENSMMOG00000006707	Mola_mola
ENSTRUP00000026306	ENSTRUG00000010450	Takifugu_rubripes
ENSSMAP00000010763	ENSSMAG00000006639	Scophthalmus_maximus
ENSGMOP00000003887	ENSGMOG00000003544	Gadus_morhua
ENSDCDP00000053856	ENSDCDG00000032213	Denticeps_clupeoides
ENSDCDP00000053870	ENSDCDG00000032219	Denticeps_clupeoides
ENSCHAP00000030267	ENSCHAG00000014525	Clupea_harengus
ENSAMXP00000050428	ENSAMXG00000037252	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005014572	ENSAMXG00005007761	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000024075	ENSPNAG00000001082	Pygocentrus_nattereri
ENSIPUP00000012560	ENSIPUG00000008560	Ictalurus_punctatus
ENSEEEP00000032262	ENSEEEG00000015389	Electrophorus_electricus
ENSDARP00000017572	ENSDARG00000016526	Danio_rerio
ENSHHUP00000017518	ENSHHUG00000010896	Hucho_hucho
ENSHHUP00000073496	ENSHHUG00000043124	Hucho_hucho
ENSELUP00000004799	ENSELUG00000005916	Esox_lucius
ENSSFOP00015037682	ENSSFOG00015023984	Scleropages_formosus
ENSPKIP00000010173	ENSPKIG00000024996	Paramormyrops_kingsleyae
ENSSFOP00015037434	ENSSFOG00015023824	Scleropages_formosus
ENSPKIP00000011044	ENSPKIG00000025515	Paramormyrops_kingsleyae
ENSLOCP00000019308	ENSLOCG00000015684	Lepisosteus_oculatus
ENSECRP00000015015	ENSECRG00000010007	Erpetoichthys_calabaricus
ENSCABP00000018361	ENSCABG00000013597	Chelonoidis_abingdonii	ENSCABT00000020120
ENSGAGP00000020399	ENSGAGG00000015028	Gopherus_agassizii	ENSGAGT00000023241
ENSCPBP00000027986	ENSCPBG00000019782	Chrysemys_picta_bellii
ENSPSIP00000015248	ENSPSIG00000013572	Pelodiscus_sinensis
ENSAOWP00000005247	ENSAOWG00000003619	Apteryx_owenii
ENSARWP00000001420	ENSARWG00000001152	Apteryx_rowi
ENSNPEP00000002529	ENSNPEG00000001949	Nothoprocta_perdicaria
ENSGALP00000068882	ENSGALG00000029270	Gallus_gallus
ENSCJPP00005004204	ENSCJPG00005004226	Coturnix_japonica
ENSNMEP00000001223	ENSNMEG00000001634	Numida_meleagris
ENSAPLP00000009770	ENSAPLG00000010046	Anas_platyrhynchos_platyrhynchos
ENSMVIP00005028522	ENSMVIG00005019844	Manacus_vitellinus
ENSLCOP00000013664	ENSLCOG00000009853	Lepidothrix_coronata
ENSLSDP00000004627	ENSLSDG00000003608	Lonchura_striata_domestica
ENSTGUP00000002200	ENSTGUG00000002134	Taeniopygia_guttata
ENSSCAP00000013043	ENSSCAG00000009719	Serinus_canaria
ENSJHYP00000023453	ENSJHYG00000017650	Junco_hyemalis
ENSFALP00000001943	ENSFALG00000001869	Ficedula_albicollis
ENSPMJP00000001226	ENSPMJG00000001023	Parus_major
ENSCCEP00000001674	ENSCCEG00000001961	Cyanistes_caeruleus
ENSMUNP00000013037	ENSMUNG00000010190	Melopsittacus_undulatus
ENSCPGP00000025889	ENSCPGG00000017857	Calidris_pygmaea
ENSCPUP00000019765	ENSCPUG00000013549	Calidris_pugnax
ENSMGAP00000004313	ENSMGAG00000004516	Meleagris_gallopavo
ENSABRP00000015523	ENSABRG00000013625	Anser_brachyrhynchus
ENSZALP00000011806	ENSZALG00000009949	Zonotrichia_albicollis
ENSAHAP00000019211	ENSAHAG00000013604	Apteryx_haastii
ENSDNVP00000015874	ENSDNVG00000011166	Dromaius_novaehollandiae
ENSACAP00000008932	ENSACAG00000009109	Anolis_carolinensis
ENSPVIP00000021644	ENSPVIG00000016419	Pogona_vitticeps
ENSNSUP00000026440	ENSNSUG00000018981	Notechis_scutatus
ENSSMRP00000008920	ENSSMRG00000007132	Salvator_merianae
ENSSPUP00000020584	ENSSPUG00000015814	Sphenodon_punctatus
ENSLAFP00000002265	ENSLAFG00000002707	Loxodonta_africana
ENSPCAP00000004820	ENSPCAG00000005175	Procavia_capensis
ENSETEP00000015086	ENSETEG00000018559	Echinops_telfairi
ENSAMEP00000013596	ENSAMEG00000012886	Ailuropoda_melanoleuca
ENSUAMP00000028860	ENSUAMG00000022269	Ursus_americanus
ENSMPUP00000016298	ENSMPUG00000016402	Mustela_putorius_furo
ENSNVIP00000019293	ENSNVIG00000015112	Neovison_vison
ENSCAFP00020007097	ENSCAFG00020005766	Canis_lupus_dingo
ENSCAFP00000007467	ENSCAFG00000005019	Canis_lupus_familiaris
ENSVVUP00000008669	ENSVVUG00000006488	Vulpes_vulpes
ENSPPRP00000012009	ENSPPRG00000005677	Panthera_pardus
ENSPTIP00000021524	ENSPTIG00000018648	Panthera_tigris_altaica
ENSFCAP00000044199	ENSFCAG00000042993	Felis_catus
ENSECAP00000024082	ENSECAG00000024574	Equus_caballus
ENSEASP00005028331	ENSEASG00005019258	Equus_asinus_asinus
ENSMLUP00000013490	ENSMLUG00000014819	Myotis_lucifugus
ENSPVAP00000006151	ENSPVAG00000006514	Pteropus_vampyrus
