ENSCSAVP00000005856	ENSCSAVG00000003496	Ciona_savignyi
ENSCINP00000016979	ENSCING00000008321	Ciona_intestinalis
F53G2.7.1	WBGene00018769	Caenorhabditis_elegans_strain_N2
ENSGAGP00000032910	ENSGAGG00000023504	Gopherus_agassizii	ENSGAGT00000037300
ENSCABP00000022153	ENSCABG00000016316	Chelonoidis_abingdonii	ENSCABT00000024268
ENSCPBP00000031846	ENSCPBG00000022366	Chrysemys_picta_bellii
ENSPSIP00000016061	ENSPSIG00000014282	Pelodiscus_sinensis
ENSCPRP00005025986	ENSCPRG00005018041	Crocodylus_porosus
ENSPVIP00000028556	ENSPVIG00000021144	Pogona_vitticeps
ENSACAP00000006430	ENSACAG00000006546	Anolis_carolinensis
ENSNSUP00000026628	ENSNSUG00000019105	Notechis_scutatus
ENSSMRP00000016005	ENSSMRG00000012445	Salvator_merianae
ENSSPUP00000013081	ENSSPUG00000010084	Sphenodon_punctatus
ENSGALP00000019408	ENSGALG00000011910	Gallus_gallus
ENSNMEP00000019716	ENSNMEG00000016977	Numida_meleagris
ENSCPUP00000001396	ENSCPUG00000001069	Calidris_pugnax
ENSMVIP00005012893	ENSMVIG00005009361	Manacus_vitellinus
ENSLCOP00000007537	ENSLCOG00000005546	Lepidothrix_coronata
ENSLSDP00000018245	ENSLSDG00000013030	Lonchura_striata_domestica
ENSTGUP00000013378	ENSTGUG00000012990	Taeniopygia_guttata
ENSSCAP00000007703	ENSSCAG00000005917	Serinus_canaria
ENSJHYP00000018636	ENSJHYG00000014180	Junco_hyemalis
ENSCCEP00000013830	ENSCCEG00000013236	Cyanistes_caeruleus
ENSPMJP00000002504	ENSPMJG00000002122	Parus_major
ENSMUNP00000002896	ENSMUNG00000002532	Melopsittacus_undulatus
ENSNPEP00000016394	ENSNPEG00000012217	Nothoprocta_perdicaria
ENSABRP00000015638	ENSABRG00000013710	Anser_brachyrhynchus
ENSAPLP00000007732	ENSAPLG00000008083	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000014339	ENSMGAG00000013566	Meleagris_gallopavo
ENSCJPP00005005778	ENSCJPG00005005463	Coturnix_japonica
ENSFALP00000003583	ENSFALG00000003436	Ficedula_albicollis
ENSZALP00000006305	ENSZALG00000005768	Zonotrichia_albicollis
ENSCPGP00000026879	ENSCPGG00000018527	Calidris_pygmaea
ENSARWP00000016635	ENSARWG00000011466	Apteryx_rowi
ENSAOWP00000019569	ENSAOWG00000013286	Apteryx_owenii
ENSAHAP00000007383	ENSAHAG00000005547	Apteryx_haastii
ENSDNVP00000022787	ENSDNVG00000015856	Dromaius_novaehollandiae
ENSCPOP00000012966	ENSCPOG00000014393	Cavia_porcellus
ENSCAPP00000015422	ENSCAPG00000015548	Cavia_aperea
ENSCLAP00000004409	ENSCLAG00000003132	Chinchilla_lanigera
ENSODEP00000000006	ENSODEG00000000008	Octodon_degus
ENSODEP00000016982	ENSODEG00000012514	Octodon_degus
ENSODEP00000019419	ENSODEG00000014326	Octodon_degus
ENSHGLP00100008298	ENSHGLG00100006173	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000016329	ENSHGLG00000011704	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100004611	ENSHGLG00100003481	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000016287	ENSHGLG00000011675	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000000298	ENSFDAG00000010598	Fukomys_damarensis
ENSMMMP00000023461	ENSMMMG00000020544	Marmota_marmota_marmota
ENSSDAP00000023305	ENSSDAG00000021223	Spermophilus_dauricus
ENSSTOP00000021783	ENSSTOG00000023345	Ictidomys_tridecemlineatus
ENSUPAP00010011127	ENSUPAG00010009017	Urocitellus_parryii
ENSCGRP00000025331	ENSCGRG00000018338	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015036043	ENSCGRG00015027042	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001012603	ENSCGRG00001013958	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000020726	ENSMAUG00000018674	Mesocricetus_auratus
ENSPEMP00000009585	ENSPEMG00000010838	Peromyscus_maniculatus_bairdii
ENSMSIP00000029493	ENSMSIG00000024773	Mus_spicilegus
ENSMUSP00000021523	ENSMUSG00000021103	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0032528	MGP_CAROLIEiJ_G0017842	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0034038	MGP_SPRETEiJ_G0018689	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0082642	MGP_PahariEiJ_G0029600	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000010163	ENSRNOG00000007267	Rattus_norvegicus
ENSMUGP00000023321	ENSMUGG00000019528	Meriones_unguiculatus
ENSMOCP00000025805	ENSMOCG00000021804	Microtus_ochrogaster
ENSNGAP00000010676	ENSNGAG00000013034	Nannospalax_galili
ENSJJAP00000003828	ENSJJAG00000007692	Jaculus_jaculus
ENSOCUP00000012268	ENSOCUG00000014274	Oryctolagus_cuniculus
ENSPSMP00000037456	ENSPSMG00000025744	Prolemur_simus
ENSMICP00000020194	ENSMICG00000033557	Microcebus_murinus
ENSPCOP00000015939	ENSPCOG00000019718	Propithecus_coquereli
ENSOGAP00000014398	ENSOGAG00000016085	Otolemur_garnettii
ENSPANP00000024137	ENSPANG00000020971	Papio_anubis
ENSTGEP00000018520	ENSTGEG00000014924	Theropithecus_gelada
ENSCATP00000013809	ENSCATG00000030975	Cercocebus_atys
ENSMMUP00000043818	ENSMMUG00000001642	Macaca_mulatta
ENSMNEP00000015013	ENSMNEG00000031605	Macaca_nemestrina
ENSMFAP00000009270	ENSMFAG00000000901	Macaca_fascicularis
ENSCSAP00000010302	ENSCSAG00000014164	Chlorocebus_sabaeus
ENSCANP00000020167	ENSCANG00000033478	Colobus_angolensis_palliatus
ENSPTEP00000000659	ENSPTEG00000000758	Piliocolobus_tephrosceles
ENSRBIP00000018555	ENSRBIG00000033271	Rhinopithecus_bieti
ENSRROP00000023776	ENSRROG00000035712	Rhinopithecus_roxellana
ENSP00000261245	ENSG00000020426	Homo_sapiens
ENSGGOP00000008915	ENSGGOG00000009127	Gorilla_gorilla
ENSPTRP00000092922	ENSPTRG00000006412	Pan_troglodytes
ENSPPAP00000020844	ENSPPAG00000033622	Pan_paniscus
ENSPPYP00000006678	ENSPPYG00000005876	Pongo_abelii
ENSNLEP00000016742	ENSNLEG00000013781	Nomascus_leucogenys
